SMILES,BRD4
CC1(C)C[C@H]1[C@@H](N)c1ccccc1C1CCC1,0.13179521
C[C@]1(N)CNC[C@H]1c1ccccc1C1CC1,0.13078995
C[C@]1(N)CNC[C@@H]1c1ccccc1C1CC1,0.13078995
CC1(C)C[C@@H]1[C@H](N)c1ccccc1C1CCC1,0.13179521
Cn1c(N)c(c2ccccc2C2CC2)nc1C(C)(C)C,0.2011591
CCc1nc(c2ccccc2C2CC2)c(N)n1CC,0.16644059
CN1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.31581208
CN1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.31581208
C[C@@H]1C[C@@H]1[C@H](N)c1ccccc1C1CCC1,0.28459993
C[C@@H]1C[C@H]1[C@H](N)c1ccccc1C1CCC1,0.28459993
CC[C@@H]1CCN[C@H]1c1ccccc1C1CC1,0.20454079
CC[C@@H]1CCN[C@@H]1c1ccccc1C1CC1,0.20454079
CC[C@H]1CCN[C@@H]1c1ccccc1C1CC1,0.20454079
CC[C@H]1CCN[C@H]1c1ccccc1C1CC1,0.20454079
C[C@@H]1C[C@H]1[C@H](O)c1ccccc1C1CCC1,0.32699075
C[C@@H]1C[C@@H]1[C@H](O)c1ccccc1C1CCC1,0.32699075
C[C@@H]1C[C@H]1[C@H](NN)c1ccccc1C1CCC1,0.32545346
C[C@@H]1C[C@H]1[C@@H](NN)c1ccccc1C1CCC1,0.32545346
C[C@@H]1C[C@@H]1[C@@H](NN)c1ccccc1C1CCC1,0.32545346
C[C@@H]1C[C@@H]1[C@H](NN)c1ccccc1C1CCC1,0.32545346
CCc1nc(c2ccccc2C2CC2)c(N)n1C(C)C,0.13704817
CCCCn1c(C)nc(c2ccccc2C2CC2)c1N,0.14035952
CC[C@@H]1N[C@H](C)C[C@H]1c1ccccc1C1CC1,0.1429408
CC(C)(C)c1nc(c2ccccc2C2CC2)c(N)n1N,0.13586229
CC(C)c1onc(c2ccccc2C2CC2)c1C(=O)O,0.12730193
Cc1nc(c2ccccc2C2CC2)c(N)n1CC(C)C,0.22707859
OC[C@@H]1CC(=NO1)c1ccccc1C1CC1,0.20770435
OC[C@H]1CC(=NO1)c1ccccc1C1CC1,0.20770435
NC[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.2117024
NC[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.2117024
NC[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.2117024
NC[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.2117024
CCCc1onc(c2ccccc2C2CC2)c1C(=O)O,0.18312883
C#CCn1c(N)c(c2ccccc2C2CC2)nc1CC,0.23630981
Cc1nc(c2ccccc2C2CC2)c(N)n1C(C)(C)C,0.29032606
CN1CC[C@@H](CN)[C@H]1c1ccccc1C1CC1,0.18274505
CN1CC[C@H](CN)[C@H]1c1ccccc1C1CC1,0.18274505
CCCn1c(N)c(c2ccccc2C2CC2)nc1CC,0.22431524
C=CCn1c(N)c(c2ccccc2C2CC2)nc1CC,0.17716356
CCN1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.20023908
CCN1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.20023908
COCCN1C(=NC[C@H]1c1ccccc1C1CC1)N,0.15645362
COCCN1C(=NC[C@@H]1c1ccccc1C1CC1)N,0.15645362
CC(C)N1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.19418222
CC(C)N1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.19418222
CC1(C)C([C@@H](N)c2ccccc2C2CCC2)C1(C)C,0.15158606
CC1(C)C([C@H](N)c2ccccc2C2CCC2)C1(C)C,0.15158606
C=CCn1c(N)c(c2ccccc2C2CC2)nc1CCC,0.119326524
CC[C@H](C)N1C(=NC[C@H]1c1ccccc1C1CC1)N,0.22071305
CC[C@H](C)N1C(=NC[C@@H]1c1ccccc1C1CC1)N,0.22071305
CC[C@@H](C)N1C(=NC[C@H]1c1ccccc1C1CC1)N,0.22071305
CC[C@@H](C)N1C(=NC[C@@H]1c1ccccc1C1CC1)N,0.22071305
CCCN[C@H](c1ccccc1C1CCC1)[C@@H]1C[C@@H]1C,0.26310968
CCCN[C@H](c1ccccc1C1CCC1)[C@H]1C[C@H]1C,0.26310968
CCCN[C@H](c1ccccc1C1CCC1)[C@H]1C[C@@H]1C,0.26310968
CCCN[C@H](c1ccccc1C1CCC1)[C@@H]1C[C@H]1C,0.26310968
C[C@@H]1CN[C@@H](c2ccccc2C2CC2)C1,0.18379155
C[C@H]1CN[C@@H](c2ccccc2C2CC2)C1,0.18379155
C[C@@H]1CN[C@H](c2ccccc2C2CC2)C1,0.18379155
C[C@H]1CN[C@H](c2ccccc2C2CC2)C1,0.18379155
CCCN[C@@H](c1ccccc1C1CCC1)C1(C)CC1,0.11960311
CCCN[C@H](c1ccccc1C1CCC1)C1(C)CC1,0.11960311
NS(=O)(=O)c1c(C(F)(F)F)ccc(C2CC2)c1c1nn[nH]n1,0.14072725
CC(C)Cc1onc(c2ccccc2C2CC2)c1C(=O)O,0.1927813
CCOc1cc(C=O)cc(C2CC2)c1C1CCCC1,0.32932228
C[C@@]1(C(=O)N)C[N@H+](Cc2ccccc2C2CC2)C1,0.21406063
CC(C)CN1C(=NC[C@H]1c1ccccc1C1CC1)N,0.16402419
CC(C)CN1C(=NC[C@@H]1c1ccccc1C1CC1)N,0.16402419
CC(C)N1CC[C@@H](CN)[C@H]1c1ccccc1C1CC1,0.12508394
CC(C)N1CC[C@H](CN)[C@@H]1c1ccccc1C1CC1,0.12508394
CC(C)N1CC[C@H](CN)[C@H]1c1ccccc1C1CC1,0.12508394
CC(C)N1CC[C@@H](CN)[C@@H]1c1ccccc1C1CC1,0.12508394
CCn1c(N)c(c2ccccc2C2CC2)nc1C(C)C,0.08221479
CCN1CC[C@H](CN)[C@H]1c1ccccc1C1CC1,0.1281284
CCN1CC[C@@H](CN)[C@H]1c1ccccc1C1CC1,0.1281284
CCCCn1c(N)c(c2ccccc2C2CC2)nc1CC,0.10800642
C=CCn1c(N)c(c2ccccc2C2CC2)nc1C(C)C,0.09313087
CCN[C@H](c1ccccc1C1CCC1)[C@H]1C[C@H]1C,0.29146373
CCN[C@H](c1ccccc1C1CCC1)[C@@H]1C[C@H]1C,0.29146373
CCCN1CC[C@H](CN)[C@@H]1c1ccccc1C1CC1,0.091385655
CCCN1CC[C@@H](CN)[C@H]1c1ccccc1C1CC1,0.091385655
CCCN1CC[C@H](CN)[C@H]1c1ccccc1C1CC1,0.091385655
CCCN1CC[C@@H](CN)[C@@H]1c1ccccc1C1CC1,0.091385655
NN[C@@H](c1ccccc1C1CCC1)C1CC1,0.24511029
NN[C@H](c1ccccc1C1CCC1)C1CC1,0.24511029
CC(C)CN1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.16290127
CC(C)CN1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.16290127
CC(C)CN1CC[C@@H](N)[C@@H]1c1ccccc1C1CC1,0.16290127
CC(C)CN1CC[C@H](N)[C@@H]1c1ccccc1C1CC1,0.16290127
CCOc1cc(C2CCC2)c(C2CC2)cc1CO,0.27131218
CC(C)Oc1cc(C2CCCC2)c(C2CC2)cc1CO,0.14627871
C#CCn1c(N)c(c2ccccc2C2CC2)nc1CCC,0.1629885
CN(C)CCN1C(=NC[C@@H]1c1ccccc1C1CC1)N,0.11990226
CN(C)CCN1C(=NC[C@H]1c1ccccc1C1CC1)N,0.11990226
CCOc1cc(C=O)cc(C2CC2)c1C1CCC1,0.2977726
CC1(OCC(=O)O)CN(Cc2ccccc2C2CC2)C1,0.10425183
CC(C)Oc1cc(C2CCC2)c(C2CC2)cc1C=O,0.18940854
CCCN1CC[C@@H](CNC)[C@H]1c1ccccc1C1CC1,0.071161985
CCCN1CC[C@@H](CNC)[C@@H]1c1ccccc1C1CC1,0.071161985
CCCN1CC[C@H](CNC)[C@H]1c1ccccc1C1CC1,0.071161985
CCCN1CC[C@H](CNC)[C@@H]1c1ccccc1C1CC1,0.071161985
CCCc1nc(c2ccccc2C2CC2)c(N)n1CC,0.11162927
CCOc1cc(C2CCC2)c(C2CC2)cc1C=O,0.3562867
CC(C)Oc1cc(C2CCCC2)c(C2CC2)cc1C=O,0.21295859
CCNC[C@@H]1CCN(C)[C@H]1c1ccccc1C1CC1,0.15139334
CCNC[C@@H]1CCN(C)[C@@H]1c1ccccc1C1CC1,0.15139334
CCNC[C@H]1CCN(C)[C@@H]1c1ccccc1C1CC1,0.15139334
CCNC[C@H]1CCN(C)[C@H]1c1ccccc1C1CC1,0.15139334
CC(C)(C)N1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.1745664
CC(C)(C)N1CC[C@H](N)[C@@H]1c1ccccc1C1CC1,0.1745664
CC(C)(C)N1CC[C@@H](N)[C@@H]1c1ccccc1C1CC1,0.1745664
CC(C)(C)N1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.1745664
CCN1CC[C@@H](CNC)[C@H]1c1ccccc1C1CC1,0.100674495
CCN1CC[C@H](CNC)[C@@H]1c1ccccc1C1CC1,0.100674495
CCN1CC[C@H](CNC)[C@H]1c1ccccc1C1CC1,0.100674495
CCN1CC[C@@H](CNC)[C@@H]1c1ccccc1C1CC1,0.100674495
CN[C@H](c1ccccc1C1CCC1)C1C(C)(C)C1(C)C,0.21228911
CN[C@@H](c1ccccc1C1CCC1)C1C(C)(C)C1(C)C,0.21228911
CC(C)c1nc(c2ccccc2C2CC2)c(N)n1C(C)C,0.10388063
CC(C)NC[C@@H]1CCN(C)[C@H]1c1ccccc1C1CC1,0.14708416
CC(C)NC[C@@H]1CCN(C)[C@@H]1c1ccccc1C1CC1,0.14708416
CC(C)NC[C@H]1CCN(C)[C@H]1c1ccccc1C1CC1,0.14708416
CC(C)NC[C@H]1CCN(C)[C@@H]1c1ccccc1C1CC1,0.14708416
CNC[C@@H]1CCN(C(C)C)[C@@H]1c1ccccc1C1CC1,0.0982089
CNC[C@H]1CCN(C(C)C)[C@@H]1c1ccccc1C1CC1,0.0982089
CNC[C@H]1CCN(C(C)C)[C@H]1c1ccccc1C1CC1,0.0982089
CNC[C@@H]1CCN(C(C)C)[C@H]1c1ccccc1C1CC1,0.0982089
CC(C)NC[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.19844379
CC(C)NC[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.19844379
CC(C)NC[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.19844379
CC(C)NC[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.19844379
CC(C)CNC[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.20305702
CC(C)CNC[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.20305702
CC(C)CNC[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.20305702
CC(C)CNC[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.20305702
COCCN1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.16855417
COCCN1CC[C@H](N)[C@@H]1c1ccccc1C1CC1,0.16855417
COCCN1CC[C@@H](N)[C@@H]1c1ccccc1C1CC1,0.16855417
COCCN1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.16855417
CCCNC[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.19431004
CCCNC[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.19431004
CCCNC[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.19431004
CCCNC[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.19431004
CC(C)(C)NC[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.20174898
CC(C)(C)NC[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.20174898
CC(C)(C)NC[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.20174898
CC(C)(C)NC[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.20174898
CCCNC[C@H]1CCN(C)[C@H]1c1ccccc1C1CC1,0.14382823
CCCNC[C@@H]1CCN(C)[C@H]1c1ccccc1C1CC1,0.14382823
CCCNC[C@H]1CCN(C)[C@@H]1c1ccccc1C1CC1,0.14382823
CCCNC[C@@H]1CCN(C)[C@@H]1c1ccccc1C1CC1,0.14382823
CCN[C@@H](c1ccccc1C1CCC1)C1C(C)(C)C1(C)C,0.14331268
CCN[C@H](c1ccccc1C1CCC1)C1C(C)(C)C1(C)C,0.14331268
CCOC(=O)c1cc(OCC)c(C2CCC2)c(C2CC2)c1,0.41799995
COCCNC[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.17952578
COCCNC[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.17952578
COCCNC[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.17952578
COCCNC[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.17952575
