SMILES,CFTR
C[C@@H]1NCC[C@@H]1c1ccccc1C1CC1,0.19616276
C[C@H]1NCC[C@@H]1c1ccccc1C1CC1,0.19616276
C[C@H]1NCC[C@H]1c1ccccc1C1CC1,0.19616276
C#CCn1c(C)nc(c2ccccc2C2CC2)c1N,0.12157541
C[C@@H]1NCC[C@H]1c1ccccc1C1CC1,0.19616276
C[C@H]1CCN[C@@H]1c1ccccc1C1CC1,0.32987288
C[C@H]1CCN[C@H]1c1ccccc1C1CC1,0.32987288
C[C@@H]1CCN[C@H]1c1ccccc1C1CC1,0.32987288
C[C@@H]1CCN[C@@H]1c1ccccc1C1CC1,0.32987288
CC(C)Cn1cnc(c2ccccc2C2CC2)c1N,0.20029563
N[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.2817365
N[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.2817365
N[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.2817365
N[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.2817365
C[C@H]1C[C@@H](c2ccccc2C2CC2)CN1,0.3187992
C[C@@H]1C[C@H](c2ccccc2C2CC2)CN1,0.3187992
C[C@H]1C[C@H](c2ccccc2C2CC2)CN1,0.3187992
C[C@@H]1C[C@@H](c2ccccc2C2CC2)CN1,0.3187992
CCC[C@H](N)c1cc(c2ccccc2C2CC2)no1,0.20689927
CCC[C@@H](N)c1cc(c2ccccc2C2CC2)no1,0.20689927
O[C@@H]1CN[C@H](c2ccccc2C2CC2)C1,0.3859739
O[C@H]1CN[C@@H](c2ccccc2C2CC2)C1,0.3859739
O[C@H]1CN[C@H](c2ccccc2C2CC2)C1,0.3859739
O[C@@H]1CN[C@@H](c2ccccc2C2CC2)C1,0.3859739
CC1(C#N)CN(Cc2ccccc2C2CC2)C1,0.18131691
NC1=NC[C@@H](c2ccccc2C2CC2)N1,0.30495334
NC1=NC[C@H](c2ccccc2C2CC2)N1,0.30495334
NC1=NC[C@@H](c2ccccc2C2CC2)O1,0.28947958
NC1=NC[C@H](c2ccccc2C2CC2)O1,0.28947958
CC(C)(C)n1cnc(c2ccccc2C2CC2)c1N,0.252584
N#C[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.2817556
N#C[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.2817556
N#C[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.2817556
N#C[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.2817556
CN[C@H](c1ccccc1C1CCC1)[C@@H]1C[C@H]1C,0.3047866
CN[C@H](c1ccccc1C1CCC1)[C@H]1C[C@H]1C,0.3047866
CC1([C@@H](NN)c2ccccc2C2CCC2)CC1,0.30520478
CC1([C@H](NN)c2ccccc2C2CCC2)CC1,0.30520478
CC1(C)NCC[C@H]1c1ccccc1C1CC1,0.21443102
CC1(C)NCC[C@@H]1c1ccccc1C1CC1,0.21443102
C[C@@]1(N)CNC[C@H]1c1ccccc1C1CC1,0.19362584
C[C@@]1(N)CNC[C@@H]1c1ccccc1C1CC1,0.19362584
CC1(C)C[C@H]1[C@H](N)c1ccccc1C1CCC1,0.2091737
CC1(C)C[C@@H]1[C@@H](N)c1ccccc1C1CCC1,0.2091737
CC1(C)C[C@H]1[C@@H](N)c1ccccc1C1CCC1,0.2091737
C[C@]1(N)CNC[C@H]1c1ccccc1C1CC1,0.19362584
C[C@]1(N)CNC[C@@H]1c1ccccc1C1CC1,0.19362584
CC1(C)C[C@@H]1[C@H](N)c1ccccc1C1CCC1,0.2091737
Cn1c(N)c(c2ccccc2C2CC2)nc1C(C)(C)C,0.3401403
CCc1nc(c2ccccc2C2CC2)c(N)n1CC,0.22395393
CN1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.29023024
CN1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.29023024
C[C@@H]1C[C@@H]1[C@H](N)c1ccccc1C1CCC1,0.27566987
C[C@@H]1C[C@H]1[C@H](N)c1ccccc1C1CCC1,0.27566987
CC[C@@H]1CCN[C@H]1c1ccccc1C1CC1,0.24557309
CC[C@@H]1CCN[C@@H]1c1ccccc1C1CC1,0.24557309
CC[C@H]1CCN[C@@H]1c1ccccc1C1CC1,0.24557309
CC[C@H]1CCN[C@H]1c1ccccc1C1CC1,0.24557309
C[C@@H]1C[C@H]1[C@H](O)c1ccccc1C1CCC1,0.3338905
C[C@@H]1C[C@@H]1[C@H](O)c1ccccc1C1CCC1,0.3338905
C[C@@H]1C[C@H]1[C@H](NN)c1ccccc1C1CCC1,0.21253829
C[C@@H]1C[C@H]1[C@@H](NN)c1ccccc1C1CCC1,0.21253829
C[C@@H]1C[C@@H]1[C@@H](NN)c1ccccc1C1CCC1,0.21253829
C[C@@H]1C[C@@H]1[C@H](NN)c1ccccc1C1CCC1,0.21253829
CCc1nc(c2ccccc2C2CC2)c(N)n1C(C)C,0.21229582
CCCCn1c(C)nc(c2ccccc2C2CC2)c1N,0.23971498
CC[C@@H]1N[C@H](C)C[C@H]1c1ccccc1C1CC1,0.31086618
CC(C)(C)c1nc(c2ccccc2C2CC2)c(N)n1N,0.22951497
CC(C)c1onc(c2ccccc2C2CC2)c1C(=O)O,0.20805599
Cc1nc(c2ccccc2C2CC2)c(N)n1CC(C)C,0.1332494
OC[C@@H]1CC(=NO1)c1ccccc1C1CC1,0.2175061
OC[C@H]1CC(=NO1)c1ccccc1C1CC1,0.2175061
NC[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.1569052
NC[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.1569052
NC[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.1569052
NC[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.1569052
CCCc1onc(c2ccccc2C2CC2)c1C(=O)O,0.26365826
C#CCn1c(N)c(c2ccccc2C2CC2)nc1CC,0.1663916
Cc1nc(c2ccccc2C2CC2)c(N)n1C(C)(C)C,0.2049754
CN1CC[C@@H](CN)[C@H]1c1ccccc1C1CC1,0.21054944
CN1CC[C@H](CN)[C@H]1c1ccccc1C1CC1,0.21054944
CCCn1c(N)c(c2ccccc2C2CC2)nc1CC,0.2899564
C=CCn1c(N)c(c2ccccc2C2CC2)nc1CC,0.18882592
CCN1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.2580345
CCN1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.2580345
COCCN1C(=NC[C@H]1c1ccccc1C1CC1)N,0.30683535
COCCN1C(=NC[C@@H]1c1ccccc1C1CC1)N,0.30683535
CC(C)N1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.18479776
CC(C)N1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.18479776
CC1(C)C([C@@H](N)c2ccccc2C2CCC2)C1(C)C,0.25022092
CC1(C)C([C@H](N)c2ccccc2C2CCC2)C1(C)C,0.25022092
C=CCn1c(N)c(c2ccccc2C2CC2)nc1CCC,0.16665334
CC[C@H](C)N1C(=NC[C@H]1c1ccccc1C1CC1)N,0.37174502
CC[C@H](C)N1C(=NC[C@@H]1c1ccccc1C1CC1)N,0.37174502
CC[C@@H](C)N1C(=NC[C@H]1c1ccccc1C1CC1)N,0.37174502
CC[C@@H](C)N1C(=NC[C@@H]1c1ccccc1C1CC1)N,0.37174502
CCCN[C@H](c1ccccc1C1CCC1)[C@@H]1C[C@@H]1C,0.26492563
CCCN[C@H](c1ccccc1C1CCC1)[C@H]1C[C@H]1C,0.26492563
CCCN[C@H](c1ccccc1C1CCC1)[C@H]1C[C@@H]1C,0.26492563
CCCN[C@H](c1ccccc1C1CCC1)[C@@H]1C[C@H]1C,0.26492563
C[C@@H]1CN[C@@H](c2ccccc2C2CC2)C1,0.29387838
C[C@H]1CN[C@@H](c2ccccc2C2CC2)C1,0.29387838
C[C@@H]1CN[C@H](c2ccccc2C2CC2)C1,0.29387838
C[C@H]1CN[C@H](c2ccccc2C2CC2)C1,0.29387838
CCCN[C@@H](c1ccccc1C1CCC1)C1(C)CC1,0.2833704
CCCN[C@H](c1ccccc1C1CCC1)C1(C)CC1,0.2833704
NS(=O)(=O)c1c(C(F)(F)F)ccc(C2CC2)c1c1nn[nH]n1,0.2209856
CC(C)Cc1onc(c2ccccc2C2CC2)c1C(=O)O,0.14087893
CCOc1cc(C=O)cc(C2CC2)c1C1CCCC1,0.34144494
C[C@@]1(C(=O)N)C[N@H+](Cc2ccccc2C2CC2)C1,0.19252692
CC(C)CN1C(=NC[C@H]1c1ccccc1C1CC1)N,0.2411821
CC(C)CN1C(=NC[C@@H]1c1ccccc1C1CC1)N,0.2411821
CC(C)N1CC[C@@H](CN)[C@H]1c1ccccc1C1CC1,0.14601709
CC(C)N1CC[C@H](CN)[C@@H]1c1ccccc1C1CC1,0.14601709
CC(C)N1CC[C@H](CN)[C@H]1c1ccccc1C1CC1,0.14601709
CC(C)N1CC[C@@H](CN)[C@@H]1c1ccccc1C1CC1,0.14601709
CCn1c(N)c(c2ccccc2C2CC2)nc1C(C)C,0.16457994
CCN1CC[C@H](CN)[C@H]1c1ccccc1C1CC1,0.18217202
CCN1CC[C@@H](CN)[C@H]1c1ccccc1C1CC1,0.18217202
CCCCn1c(N)c(c2ccccc2C2CC2)nc1CC,0.316317
C=CCn1c(N)c(c2ccccc2C2CC2)nc1C(C)C,0.11870643
CCN[C@H](c1ccccc1C1CCC1)[C@H]1C[C@H]1C,0.23345065
CCN[C@H](c1ccccc1C1CCC1)[C@@H]1C[C@H]1C,0.23345065
CCCN1CC[C@H](CN)[C@@H]1c1ccccc1C1CC1,0.20898516
CCCN1CC[C@@H](CN)[C@H]1c1ccccc1C1CC1,0.20898516
CCCN1CC[C@H](CN)[C@H]1c1ccccc1C1CC1,0.20898516
CCCN1CC[C@@H](CN)[C@@H]1c1ccccc1C1CC1,0.20898516
NN[C@@H](c1ccccc1C1CCC1)C1CC1,0.2932177
NN[C@H](c1ccccc1C1CCC1)C1CC1,0.2932177
CC(C)CN1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.20141494
CC(C)CN1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.20141494
CC(C)CN1CC[C@@H](N)[C@@H]1c1ccccc1C1CC1,0.20141494
CC(C)CN1CC[C@H](N)[C@@H]1c1ccccc1C1CC1,0.20141494
CCOc1cc(C2CCC2)c(C2CC2)cc1CO,0.30894887
CC(C)Oc1cc(C2CCCC2)c(C2CC2)cc1CO,0.32177496
C#CCn1c(N)c(c2ccccc2C2CC2)nc1CCC,0.14637798
CN(C)CCN1C(=NC[C@@H]1c1ccccc1C1CC1)N,0.2984102
CN(C)CCN1C(=NC[C@H]1c1ccccc1C1CC1)N,0.2984102
CCOc1cc(C=O)cc(C2CC2)c1C1CCC1,0.3265904
CC1(OCC(=O)O)CN(Cc2ccccc2C2CC2)C1,0.33124352
CC(C)Oc1cc(C2CCC2)c(C2CC2)cc1C=O,0.49546936
CCCN1CC[C@@H](CNC)[C@H]1c1ccccc1C1CC1,0.22551726
CCCN1CC[C@@H](CNC)[C@@H]1c1ccccc1C1CC1,0.22551726
CCCN1CC[C@H](CNC)[C@H]1c1ccccc1C1CC1,0.22551726
CCCN1CC[C@H](CNC)[C@@H]1c1ccccc1C1CC1,0.22551726
CCCc1nc(c2ccccc2C2CC2)c(N)n1CC,0.19866696
CCOc1cc(C2CCC2)c(C2CC2)cc1C=O,0.35090163
CC(C)Oc1cc(C2CCCC2)c(C2CC2)cc1C=O,0.5121631
CCNC[C@@H]1CCN(C)[C@H]1c1ccccc1C1CC1,0.22168487
CCNC[C@@H]1CCN(C)[C@@H]1c1ccccc1C1CC1,0.22168487
CCNC[C@H]1CCN(C)[C@@H]1c1ccccc1C1CC1,0.22168487
CCNC[C@H]1CCN(C)[C@H]1c1ccccc1C1CC1,0.22168487
CC(C)(C)N1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.20210673
CC(C)(C)N1CC[C@H](N)[C@@H]1c1ccccc1C1CC1,0.20210673
CC(C)(C)N1CC[C@@H](N)[C@@H]1c1ccccc1C1CC1,0.20210673
CC(C)(C)N1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.20210673
CCN1CC[C@@H](CNC)[C@H]1c1ccccc1C1CC1,0.19711156
CCN1CC[C@H](CNC)[C@@H]1c1ccccc1C1CC1,0.19711156
CCN1CC[C@H](CNC)[C@H]1c1ccccc1C1CC1,0.19711156
CCN1CC[C@@H](CNC)[C@@H]1c1ccccc1C1CC1,0.19711156
CN[C@H](c1ccccc1C1CCC1)C1C(C)(C)C1(C)C,0.29431725
CN[C@@H](c1ccccc1C1CCC1)C1C(C)(C)C1(C)C,0.29431725
CC(C)c1nc(c2ccccc2C2CC2)c(N)n1C(C)C,0.17289227
CC(C)NC[C@@H]1CCN(C)[C@H]1c1ccccc1C1CC1,0.19932349
CC(C)NC[C@@H]1CCN(C)[C@@H]1c1ccccc1C1CC1,0.19932349
CC(C)NC[C@H]1CCN(C)[C@H]1c1ccccc1C1CC1,0.19932349
CC(C)NC[C@H]1CCN(C)[C@@H]1c1ccccc1C1CC1,0.19932349
CNC[C@@H]1CCN(C(C)C)[C@@H]1c1ccccc1C1CC1,0.15856633
CNC[C@H]1CCN(C(C)C)[C@@H]1c1ccccc1C1CC1,0.15856633
CNC[C@H]1CCN(C(C)C)[C@H]1c1ccccc1C1CC1,0.15856633
CNC[C@@H]1CCN(C(C)C)[C@H]1c1ccccc1C1CC1,0.15856633
CC(C)NC[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.1493996
CC(C)NC[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.1493996
CC(C)NC[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.1493996
CC(C)NC[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.1493996
CC(C)CNC[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.14026944
CC(C)CNC[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.14026944
CC(C)CNC[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.14026944
CC(C)CNC[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.14026944
COCCN1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.24818297
COCCN1CC[C@H](N)[C@@H]1c1ccccc1C1CC1,0.24818297
COCCN1CC[C@@H](N)[C@@H]1c1ccccc1C1CC1,0.24818297
COCCN1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.24818297
CCCNC[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.16379644
CCCNC[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.16379644
CCCNC[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.16379644
CCCNC[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.16379644
CC(C)(C)NC[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.19275033
CC(C)(C)NC[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.19275033
CC(C)(C)NC[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.19275033
CC(C)(C)NC[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.19275033
CCCNC[C@H]1CCN(C)[C@H]1c1ccccc1C1CC1,0.21730226
CCCNC[C@@H]1CCN(C)[C@H]1c1ccccc1C1CC1,0.21730226
CCCNC[C@H]1CCN(C)[C@@H]1c1ccccc1C1CC1,0.21730226
CCCNC[C@@H]1CCN(C)[C@@H]1c1ccccc1C1CC1,0.21730226
CCN[C@@H](c1ccccc1C1CCC1)C1C(C)(C)C1(C)C,0.2635377
CCN[C@H](c1ccccc1C1CCC1)C1C(C)(C)C1(C)C,0.2635377
CCOC(=O)c1cc(OCC)c(C2CCC2)c(C2CC2)c1,0.31569886
COCCNC[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.13698554
COCCNC[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.13698554
COCCNC[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.13698554
COCCNC[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.13698545
