SMILES,HCK
CC1(C)C[C@@H]1[C@@H](N)c1ccccc1C1CCC1,0.1749641
CC1(C)C[C@H]1[C@@H](N)c1ccccc1C1CCC1,0.1749641
C[C@]1(N)CNC[C@H]1c1ccccc1C1CC1,0.16251999
C[C@]1(N)CNC[C@@H]1c1ccccc1C1CC1,0.16251999
CC1(C)C[C@@H]1[C@H](N)c1ccccc1C1CCC1,0.1749641
Cn1c(N)c(c2ccccc2C2CC2)nc1C(C)(C)C,0.1699887
CCc1nc(c2ccccc2C2CC2)c(N)n1CC,0.12629502
CN1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.15610507
CN1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.15610507
C[C@@H]1C[C@@H]1[C@H](N)c1ccccc1C1CCC1,0.17364046
C[C@@H]1C[C@H]1[C@H](N)c1ccccc1C1CCC1,0.17364046
CC[C@@H]1CCN[C@H]1c1ccccc1C1CC1,0.09434942
CC[C@@H]1CCN[C@@H]1c1ccccc1C1CC1,0.09434942
CC[C@H]1CCN[C@@H]1c1ccccc1C1CC1,0.09434942
CC[C@H]1CCN[C@H]1c1ccccc1C1CC1,0.09434942
C[C@@H]1C[C@H]1[C@H](O)c1ccccc1C1CCC1,0.15841101
C[C@@H]1C[C@@H]1[C@H](O)c1ccccc1C1CCC1,0.15841101
C[C@@H]1C[C@H]1[C@H](NN)c1ccccc1C1CCC1,0.1682195
C[C@@H]1C[C@H]1[C@@H](NN)c1ccccc1C1CCC1,0.1682195
C[C@@H]1C[C@@H]1[C@@H](NN)c1ccccc1C1CCC1,0.1682195
C[C@@H]1C[C@@H]1[C@H](NN)c1ccccc1C1CCC1,0.1682195
CCc1nc(c2ccccc2C2CC2)c(N)n1C(C)C,0.17529294
CCCCn1c(C)nc(c2ccccc2C2CC2)c1N,0.094725214
CC[C@@H]1N[C@H](C)C[C@H]1c1ccccc1C1CC1,0.08050219
CC(C)(C)c1nc(c2ccccc2C2CC2)c(N)n1N,0.1509093
CC(C)c1onc(c2ccccc2C2CC2)c1C(=O)O,0.077568054
Cc1nc(c2ccccc2C2CC2)c(N)n1CC(C)C,0.108743966
OC[C@@H]1CC(=NO1)c1ccccc1C1CC1,0.065524526
OC[C@H]1CC(=NO1)c1ccccc1C1CC1,0.065524526
NC[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.08739537
NC[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.08739537
NC[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.08739537
NC[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.08739537
CCCc1onc(c2ccccc2C2CC2)c1C(=O)O,0.040912617
C#CCn1c(N)c(c2ccccc2C2CC2)nc1CC,0.123254724
Cc1nc(c2ccccc2C2CC2)c(N)n1C(C)(C)C,0.1206555
CN1CC[C@@H](CN)[C@H]1c1ccccc1C1CC1,0.13769355
CN1CC[C@H](CN)[C@H]1c1ccccc1C1CC1,0.13769355
CCCn1c(N)c(c2ccccc2C2CC2)nc1CC,0.08930416
C=CCn1c(N)c(c2ccccc2C2CC2)nc1CC,0.08960505
CCN1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.13875245
CCN1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.13875245
COCCN1C(=NC[C@H]1c1ccccc1C1CC1)N,0.1006444
COCCN1C(=NC[C@@H]1c1ccccc1C1CC1)N,0.1006444
CC(C)N1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.13389571
CC(C)N1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.13389571
CC1(C)C([C@@H](N)c2ccccc2C2CCC2)C1(C)C,0.17831911
CC1(C)C([C@H](N)c2ccccc2C2CCC2)C1(C)C,0.17831911
C=CCn1c(N)c(c2ccccc2C2CC2)nc1CCC,0.059760608
CC[C@H](C)N1C(=NC[C@H]1c1ccccc1C1CC1)N,0.123039484
CC[C@H](C)N1C(=NC[C@@H]1c1ccccc1C1CC1)N,0.123039484
CC[C@@H](C)N1C(=NC[C@H]1c1ccccc1C1CC1)N,0.123039484
CC[C@@H](C)N1C(=NC[C@@H]1c1ccccc1C1CC1)N,0.123039484
CCCN[C@H](c1ccccc1C1CCC1)[C@@H]1C[C@@H]1C,0.07888101
CCCN[C@H](c1ccccc1C1CCC1)[C@H]1C[C@H]1C,0.07888101
CCCN[C@H](c1ccccc1C1CCC1)[C@H]1C[C@@H]1C,0.07888101
CCCN[C@H](c1ccccc1C1CCC1)[C@@H]1C[C@H]1C,0.07888101
C[C@@H]1CN[C@@H](c2ccccc2C2CC2)C1,0.1987307
C[C@H]1CN[C@@H](c2ccccc2C2CC2)C1,0.1987307
C[C@@H]1CN[C@H](c2ccccc2C2CC2)C1,0.1987307
C[C@H]1CN[C@H](c2ccccc2C2CC2)C1,0.1987307
CCCN[C@@H](c1ccccc1C1CCC1)C1(C)CC1,0.045157082
CCCN[C@H](c1ccccc1C1CCC1)C1(C)CC1,0.045157082
NS(=O)(=O)c1c(C(F)(F)F)ccc(C2CC2)c1c1nn[nH]n1,0.039417505
CC(C)Cc1onc(c2ccccc2C2CC2)c1C(=O)O,0.032072682
CCOc1cc(C=O)cc(C2CC2)c1C1CCCC1,0.16537789
C[C@@]1(C(=O)N)C[N@H+](Cc2ccccc2C2CC2)C1,0.09282733
CC(C)CN1C(=NC[C@H]1c1ccccc1C1CC1)N,0.07856464
CC(C)CN1C(=NC[C@@H]1c1ccccc1C1CC1)N,0.07856464
CC(C)N1CC[C@@H](CN)[C@H]1c1ccccc1C1CC1,0.1301184
CC(C)N1CC[C@H](CN)[C@@H]1c1ccccc1C1CC1,0.1301184
CC(C)N1CC[C@H](CN)[C@H]1c1ccccc1C1CC1,0.1301184
CC(C)N1CC[C@@H](CN)[C@@H]1c1ccccc1C1CC1,0.1301184
CCn1c(N)c(c2ccccc2C2CC2)nc1C(C)C,0.1492371
CCN1CC[C@H](CN)[C@H]1c1ccccc1C1CC1,0.1134827
CCN1CC[C@@H](CN)[C@H]1c1ccccc1C1CC1,0.1134827
CCCCn1c(N)c(c2ccccc2C2CC2)nc1CC,0.08647218
C=CCn1c(N)c(c2ccccc2C2CC2)nc1C(C)C,0.088984214
CCN[C@H](c1ccccc1C1CCC1)[C@H]1C[C@H]1C,0.12223031
CCN[C@H](c1ccccc1C1CCC1)[C@@H]1C[C@H]1C,0.12223031
CCCN1CC[C@H](CN)[C@@H]1c1ccccc1C1CC1,0.075365886
CCCN1CC[C@@H](CN)[C@H]1c1ccccc1C1CC1,0.075365886
CCCN1CC[C@H](CN)[C@H]1c1ccccc1C1CC1,0.075365886
CCCN1CC[C@@H](CN)[C@@H]1c1ccccc1C1CC1,0.075365886
NN[C@@H](c1ccccc1C1CCC1)C1CC1,0.19268346
NN[C@H](c1ccccc1C1CCC1)C1CC1,0.19268346
CC(C)CN1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.1143242
CC(C)CN1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.1143242
CC(C)CN1CC[C@@H](N)[C@@H]1c1ccccc1C1CC1,0.1143242
CC(C)CN1CC[C@H](N)[C@@H]1c1ccccc1C1CC1,0.1143242
CCOc1cc(C2CCC2)c(C2CC2)cc1CO,0.16583462
CC(C)Oc1cc(C2CCCC2)c(C2CC2)cc1CO,0.13470002
C#CCn1c(N)c(c2ccccc2C2CC2)nc1CCC,0.08322731
CN(C)CCN1C(=NC[C@@H]1c1ccccc1C1CC1)N,0.09366631
CN(C)CCN1C(=NC[C@H]1c1ccccc1C1CC1)N,0.09366631
CCOc1cc(C=O)cc(C2CC2)c1C1CCC1,0.16317487
CC1(OCC(=O)O)CN(Cc2ccccc2C2CC2)C1,0.0403775
CC(C)Oc1cc(C2CCC2)c(C2CC2)cc1C=O,0.19585192
CCCN1CC[C@@H](CNC)[C@H]1c1ccccc1C1CC1,0.038297657
CCCN1CC[C@@H](CNC)[C@@H]1c1ccccc1C1CC1,0.038297657
CCCN1CC[C@H](CNC)[C@H]1c1ccccc1C1CC1,0.038297657
CCCN1CC[C@H](CNC)[C@@H]1c1ccccc1C1CC1,0.038297657
CCCc1nc(c2ccccc2C2CC2)c(N)n1CC,0.0853764
CCOc1cc(C2CCC2)c(C2CC2)cc1C=O,0.2099346
CC(C)Oc1cc(C2CCCC2)c(C2CC2)cc1C=O,0.19839147
CCNC[C@@H]1CCN(C)[C@H]1c1ccccc1C1CC1,0.09986326
CCNC[C@@H]1CCN(C)[C@@H]1c1ccccc1C1CC1,0.09986326
CCNC[C@H]1CCN(C)[C@@H]1c1ccccc1C1CC1,0.09986326
CCNC[C@H]1CCN(C)[C@H]1c1ccccc1C1CC1,0.09986326
CC(C)(C)N1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.11971198
CC(C)(C)N1CC[C@H](N)[C@@H]1c1ccccc1C1CC1,0.11971198
CC(C)(C)N1CC[C@@H](N)[C@@H]1c1ccccc1C1CC1,0.11971198
CC(C)(C)N1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.11971198
CCN1CC[C@@H](CNC)[C@H]1c1ccccc1C1CC1,0.058860444
CCN1CC[C@H](CNC)[C@@H]1c1ccccc1C1CC1,0.058860444
CCN1CC[C@H](CNC)[C@H]1c1ccccc1C1CC1,0.058860444
CCN1CC[C@@H](CNC)[C@@H]1c1ccccc1C1CC1,0.058860444
CN[C@H](c1ccccc1C1CCC1)C1C(C)(C)C1(C)C,0.123466715
CN[C@@H](c1ccccc1C1CCC1)C1C(C)(C)C1(C)C,0.123466715
CC(C)c1nc(c2ccccc2C2CC2)c(N)n1C(C)C,0.20946302
CC(C)NC[C@@H]1CCN(C)[C@H]1c1ccccc1C1CC1,0.090590246
CC(C)NC[C@@H]1CCN(C)[C@@H]1c1ccccc1C1CC1,0.090590246
CC(C)NC[C@H]1CCN(C)[C@H]1c1ccccc1C1CC1,0.090590246
CC(C)NC[C@H]1CCN(C)[C@@H]1c1ccccc1C1CC1,0.090590246
CNC[C@@H]1CCN(C(C)C)[C@@H]1c1ccccc1C1CC1,0.068104066
CNC[C@H]1CCN(C(C)C)[C@@H]1c1ccccc1C1CC1,0.068104066
CNC[C@H]1CCN(C(C)C)[C@H]1c1ccccc1C1CC1,0.068104066
CNC[C@@H]1CCN(C(C)C)[C@H]1c1ccccc1C1CC1,0.068104066
CC(C)NC[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.06938974
CC(C)NC[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.06938974
CC(C)NC[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.06938974
CC(C)NC[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.06938974
CC(C)CNC[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.07658265
CC(C)CNC[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.07658265
CC(C)CNC[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.07658265
CC(C)CNC[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.07658265
COCCN1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.1365178
COCCN1CC[C@H](N)[C@@H]1c1ccccc1C1CC1,0.1365178
COCCN1CC[C@@H](N)[C@@H]1c1ccccc1C1CC1,0.1365178
COCCN1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.1365178
CCCNC[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.054999366
CCCNC[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.054999366
CCCNC[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.054999366
CCCNC[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.054999366
CC(C)(C)NC[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.071633846
CC(C)(C)NC[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.071633846
CC(C)(C)NC[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.071633846
CC(C)(C)NC[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.071633846
CCCNC[C@H]1CCN(C)[C@H]1c1ccccc1C1CC1,0.07214404
CCCNC[C@@H]1CCN(C)[C@H]1c1ccccc1C1CC1,0.07214404
CCCNC[C@H]1CCN(C)[C@@H]1c1ccccc1C1CC1,0.07214404
CCCNC[C@@H]1CCN(C)[C@@H]1c1ccccc1C1CC1,0.07214404
CCN[C@@H](c1ccccc1C1CCC1)C1C(C)(C)C1(C)C,0.111825265
CCN[C@H](c1ccccc1C1CCC1)C1C(C)(C)C1(C)C,0.111825265
CCOC(=O)c1cc(OCC)c(C2CCC2)c(C2CC2)c1,0.116456576
COCCNC[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.108879335
COCCNC[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.108879335
COCCNC[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.108879335
COCCNC[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.108879335
