SMILES,RET
CNC[C@H]1CCN(C(C)C)[C@@H]1c1ccccc1C1CC1,0.23212588
CNC[C@H]1CCN(C(C)C)[C@H]1c1ccccc1C1CC1,0.23212588
CNC[C@@H]1CCN(C(C)C)[C@H]1c1ccccc1C1CC1,0.23212588
CC(C)NC[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.14419186
CC(C)NC[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.14419186
CC(C)NC[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.14419186
CC(C)NC[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.14419186
CC(C)CNC[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.1423335
CC(C)CNC[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.1423335
CC(C)CNC[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.1423335
CC(C)CNC[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.1423335
COCCN1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.26220718
COCCN1CC[C@H](N)[C@@H]1c1ccccc1C1CC1,0.26220718
COCCN1CC[C@@H](N)[C@@H]1c1ccccc1C1CC1,0.26220718
COCCN1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.26220718
CCCNC[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.1781108
CCCNC[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.1781108
CCCNC[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.1781108
CCCNC[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.1781108
CC(C)(C)NC[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.12712175
CC(C)(C)NC[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.12712175
CC(C)(C)NC[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.12712175
CC(C)(C)NC[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.12712175
CCCNC[C@H]1CCN(C)[C@H]1c1ccccc1C1CC1,0.21713646
CCCNC[C@@H]1CCN(C)[C@H]1c1ccccc1C1CC1,0.21713646
CCCNC[C@H]1CCN(C)[C@@H]1c1ccccc1C1CC1,0.21713646
CCCNC[C@@H]1CCN(C)[C@@H]1c1ccccc1C1CC1,0.21713646
CCN[C@@H](c1ccccc1C1CCC1)C1C(C)(C)C1(C)C,0.15339151
CCN[C@H](c1ccccc1C1CCC1)C1C(C)(C)C1(C)C,0.15339151
CCOC(=O)c1cc(OCC)c(C2CCC2)c(C2CC2)c1,0.19586404
COCCNC[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.26116258
COCCNC[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.26116258
COCCNC[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.26116258
COCCNC[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.26116258
