SMILES,ADRB2
CCCCn1c(C)nc(c2ccccc2C2CC2)c1N,0.028982442
CC[C@@H]1N[C@H](C)C[C@H]1c1ccccc1C1CC1,0.4243279
CC(C)(C)c1nc(c2ccccc2C2CC2)c(N)n1N,0.031482182
CC(C)c1onc(c2ccccc2C2CC2)c1C(=O)O,0.1017171
Cc1nc(c2ccccc2C2CC2)c(N)n1CC(C)C,0.042889263
OC[C@@H]1CC(=NO1)c1ccccc1C1CC1,0.090639465
OC[C@H]1CC(=NO1)c1ccccc1C1CC1,0.090639465
NC[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.0812513
NC[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.0812513
NC[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.0812513
NC[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.0812513
CCCc1onc(c2ccccc2C2CC2)c1C(=O)O,0.023453536
C#CCn1c(N)c(c2ccccc2C2CC2)nc1CC,0.022765715
Cc1nc(c2ccccc2C2CC2)c(N)n1C(C)(C)C,0.032055248
CN1CC[C@@H](CN)[C@H]1c1ccccc1C1CC1,0.092693955
CN1CC[C@H](CN)[C@H]1c1ccccc1C1CC1,0.092693955
CCCn1c(N)c(c2ccccc2C2CC2)nc1CC,0.041191544
C=CCn1c(N)c(c2ccccc2C2CC2)nc1CC,0.012062448
CCN1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.043858152
CCN1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.043858152
COCCN1C(=NC[C@H]1c1ccccc1C1CC1)N,0.022925714
COCCN1C(=NC[C@@H]1c1ccccc1C1CC1)N,0.022925714
CC(C)N1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.0555863
CC(C)N1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.0555863
CC1(C)C([C@@H](N)c2ccccc2C2CCC2)C1(C)C,0.18363063
CC1(C)C([C@H](N)c2ccccc2C2CCC2)C1(C)C,0.18363063
C=CCn1c(N)c(c2ccccc2C2CC2)nc1CCC,0.018240739
CC[C@H](C)N1C(=NC[C@H]1c1ccccc1C1CC1)N,0.09032436
CC[C@H](C)N1C(=NC[C@@H]1c1ccccc1C1CC1)N,0.09032436
CC[C@@H](C)N1C(=NC[C@H]1c1ccccc1C1CC1)N,0.09032436
CC[C@@H](C)N1C(=NC[C@@H]1c1ccccc1C1CC1)N,0.09032436
CCCN[C@H](c1ccccc1C1CCC1)[C@@H]1C[C@@H]1C,0.32207453
CCCN[C@H](c1ccccc1C1CCC1)[C@H]1C[C@H]1C,0.32207453
CCCN[C@H](c1ccccc1C1CCC1)[C@H]1C[C@@H]1C,0.32207453
CCCN[C@H](c1ccccc1C1CCC1)[C@@H]1C[C@H]1C,0.32207453
C[C@@H]1CN[C@@H](c2ccccc2C2CC2)C1,0.18884581
C[C@H]1CN[C@@H](c2ccccc2C2CC2)C1,0.18884581
C[C@@H]1CN[C@H](c2ccccc2C2CC2)C1,0.18884581
C[C@H]1CN[C@H](c2ccccc2C2CC2)C1,0.18884581
CCCN[C@@H](c1ccccc1C1CCC1)C1(C)CC1,0.5689087
CCCN[C@H](c1ccccc1C1CCC1)C1(C)CC1,0.5689087
NS(=O)(=O)c1c(C(F)(F)F)ccc(C2CC2)c1c1nn[nH]n1,0.008509419
CC(C)Cc1onc(c2ccccc2C2CC2)c1C(=O)O,0.059962083
CCOc1cc(C=O)cc(C2CC2)c1C1CCCC1,0.2649198
C[C@@]1(C(=O)N)C[N@H+](Cc2ccccc2C2CC2)C1,0.100350216
CC(C)CN1C(=NC[C@H]1c1ccccc1C1CC1)N,0.057839654
CC(C)CN1C(=NC[C@@H]1c1ccccc1C1CC1)N,0.057839654
CC(C)N1CC[C@@H](CN)[C@H]1c1ccccc1C1CC1,0.13667673
CC(C)N1CC[C@H](CN)[C@@H]1c1ccccc1C1CC1,0.13667673
CC(C)N1CC[C@H](CN)[C@H]1c1ccccc1C1CC1,0.13667673
CC(C)N1CC[C@@H](CN)[C@@H]1c1ccccc1C1CC1,0.13667673
CCn1c(N)c(c2ccccc2C2CC2)nc1C(C)C,0.08591157
CCN1CC[C@H](CN)[C@H]1c1ccccc1C1CC1,0.08969809
CCN1CC[C@@H](CN)[C@H]1c1ccccc1C1CC1,0.08969809
CCCCn1c(N)c(c2ccccc2C2CC2)nc1CC,0.03804844
C=CCn1c(N)c(c2ccccc2C2CC2)nc1C(C)C,0.0391563
CCN[C@H](c1ccccc1C1CCC1)[C@H]1C[C@H]1C,0.4085651
CCN[C@H](c1ccccc1C1CCC1)[C@@H]1C[C@H]1C,0.4085651
CCCN1CC[C@H](CN)[C@@H]1c1ccccc1C1CC1,0.1275797
CCCN1CC[C@@H](CN)[C@H]1c1ccccc1C1CC1,0.1275797
CCCN1CC[C@H](CN)[C@H]1c1ccccc1C1CC1,0.1275797
CCCN1CC[C@@H](CN)[C@@H]1c1ccccc1C1CC1,0.1275797
NN[C@@H](c1ccccc1C1CCC1)C1CC1,0.3419483
NN[C@H](c1ccccc1C1CCC1)C1CC1,0.3419483
CC(C)CN1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.10729135
CC(C)CN1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.10729135
CC(C)CN1CC[C@@H](N)[C@@H]1c1ccccc1C1CC1,0.10729135
CC(C)CN1CC[C@H](N)[C@@H]1c1ccccc1C1CC1,0.10729135
CCOc1cc(C2CCC2)c(C2CC2)cc1CO,0.60779685
CC(C)Oc1cc(C2CCCC2)c(C2CC2)cc1CO,0.44882286
C#CCn1c(N)c(c2ccccc2C2CC2)nc1CCC,0.034236167
CN(C)CCN1C(=NC[C@@H]1c1ccccc1C1CC1)N,0.021428578
CN(C)CCN1C(=NC[C@H]1c1ccccc1C1CC1)N,0.021428578
CCOc1cc(C=O)cc(C2CC2)c1C1CCC1,0.23369049
CC1(OCC(=O)O)CN(Cc2ccccc2C2CC2)C1,0.12742779
CC(C)Oc1cc(C2CCC2)c(C2CC2)cc1C=O,0.18232831
CCCN1CC[C@@H](CNC)[C@H]1c1ccccc1C1CC1,0.1358686
CCCN1CC[C@@H](CNC)[C@@H]1c1ccccc1C1CC1,0.1358686
CCCN1CC[C@H](CNC)[C@H]1c1ccccc1C1CC1,0.1358686
CCCN1CC[C@H](CNC)[C@@H]1c1ccccc1C1CC1,0.1358686
CCCc1nc(c2ccccc2C2CC2)c(N)n1CC,0.04886001
CCOc1cc(C2CCC2)c(C2CC2)cc1C=O,0.39226437
CC(C)Oc1cc(C2CCCC2)c(C2CC2)cc1C=O,0.20856187
CCNC[C@@H]1CCN(C)[C@H]1c1ccccc1C1CC1,0.062199164
CCNC[C@@H]1CCN(C)[C@@H]1c1ccccc1C1CC1,0.062199164
CCNC[C@H]1CCN(C)[C@@H]1c1ccccc1C1CC1,0.062199164
CCNC[C@H]1CCN(C)[C@H]1c1ccccc1C1CC1,0.062199164
CC(C)(C)N1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.025922792
CC(C)(C)N1CC[C@H](N)[C@@H]1c1ccccc1C1CC1,0.025922792
CC(C)(C)N1CC[C@@H](N)[C@@H]1c1ccccc1C1CC1,0.025922792
CC(C)(C)N1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.025922792
CCN1CC[C@@H](CNC)[C@H]1c1ccccc1C1CC1,0.095796034
CCN1CC[C@H](CNC)[C@@H]1c1ccccc1C1CC1,0.095796034
CCN1CC[C@H](CNC)[C@H]1c1ccccc1C1CC1,0.095796034
CCN1CC[C@@H](CNC)[C@@H]1c1ccccc1C1CC1,0.095796034
CN[C@H](c1ccccc1C1CCC1)C1C(C)(C)C1(C)C,0.20688549
CN[C@@H](c1ccccc1C1CCC1)C1C(C)(C)C1(C)C,0.20688549
CC(C)c1nc(c2ccccc2C2CC2)c(N)n1C(C)C,0.065698676
CC(C)NC[C@@H]1CCN(C)[C@H]1c1ccccc1C1CC1,0.28612107
CC(C)NC[C@@H]1CCN(C)[C@@H]1c1ccccc1C1CC1,0.28612107
CC(C)NC[C@H]1CCN(C)[C@H]1c1ccccc1C1CC1,0.28612107
CC(C)NC[C@H]1CCN(C)[C@@H]1c1ccccc1C1CC1,0.28612107
CNC[C@@H]1CCN(C(C)C)[C@@H]1c1ccccc1C1CC1,0.14545813
CNC[C@H]1CCN(C(C)C)[C@@H]1c1ccccc1C1CC1,0.14545813
CNC[C@H]1CCN(C(C)C)[C@H]1c1ccccc1C1CC1,0.14545813
CNC[C@@H]1CCN(C(C)C)[C@H]1c1ccccc1C1CC1,0.14545813
CC(C)NC[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.39841187
CC(C)NC[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.39841187
CC(C)NC[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.39841187
CC(C)NC[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.39841187
CC(C)CNC[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.28918135
CC(C)CNC[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.28918135
CC(C)CNC[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.28918135
CC(C)CNC[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.28918135
COCCN1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.039519746
COCCN1CC[C@H](N)[C@@H]1c1ccccc1C1CC1,0.039519746
COCCN1CC[C@@H](N)[C@@H]1c1ccccc1C1CC1,0.039519746
COCCN1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.039519746
CCCNC[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.13617094
CCCNC[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.13617094
CCCNC[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.13617094
CCCNC[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.13617094
CC(C)(C)NC[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.32958663
CC(C)(C)NC[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.32958663
CC(C)(C)NC[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.32958663
CC(C)(C)NC[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.32958663
CCCNC[C@H]1CCN(C)[C@H]1c1ccccc1C1CC1,0.0870916
CCCNC[C@@H]1CCN(C)[C@H]1c1ccccc1C1CC1,0.0870916
CCCNC[C@H]1CCN(C)[C@@H]1c1ccccc1C1CC1,0.0870916
CCCNC[C@@H]1CCN(C)[C@@H]1c1ccccc1C1CC1,0.0870916
CCN[C@@H](c1ccccc1C1CCC1)C1C(C)(C)C1(C)C,0.33791512
CCN[C@H](c1ccccc1C1CCC1)C1C(C)(C)C1(C)C,0.33791512
CCOC(=O)c1cc(OCC)c(C2CCC2)c(C2CC2)c1,0.087803595
COCCNC[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.15322715
COCCNC[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.15322715
COCCNC[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.15322715
COCCNC[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.15322708
