SMILES,C5AR1
CCCN[C@H](c1ccccc1C1CCC1)[C@@H]1C[C@@H]1C,0.22217569
CCCN[C@H](c1ccccc1C1CCC1)[C@H]1C[C@H]1C,0.22217569
CCCN[C@H](c1ccccc1C1CCC1)[C@H]1C[C@@H]1C,0.22217569
CCCN[C@H](c1ccccc1C1CCC1)[C@@H]1C[C@H]1C,0.22217569
C[C@@H]1CN[C@@H](c2ccccc2C2CC2)C1,0.23631164
C[C@H]1CN[C@@H](c2ccccc2C2CC2)C1,0.23631164
C[C@@H]1CN[C@H](c2ccccc2C2CC2)C1,0.23631164
C[C@H]1CN[C@H](c2ccccc2C2CC2)C1,0.23631164
CCCN[C@@H](c1ccccc1C1CCC1)C1(C)CC1,0.3222036
CCCN[C@H](c1ccccc1C1CCC1)C1(C)CC1,0.3222036
NS(=O)(=O)c1c(C(F)(F)F)ccc(C2CC2)c1c1nn[nH]n1,0.04948878
CC(C)Cc1onc(c2ccccc2C2CC2)c1C(=O)O,0.14212583
CCOc1cc(C=O)cc(C2CC2)c1C1CCCC1,0.20357788
C[C@@]1(C(=O)N)C[N@H+](Cc2ccccc2C2CC2)C1,0.15401293
CC(C)CN1C(=NC[C@H]1c1ccccc1C1CC1)N,0.23655818
CC(C)CN1C(=NC[C@@H]1c1ccccc1C1CC1)N,0.23655818
CC(C)N1CC[C@@H](CN)[C@H]1c1ccccc1C1CC1,0.17622378
CC(C)N1CC[C@H](CN)[C@@H]1c1ccccc1C1CC1,0.17622378
CC(C)N1CC[C@H](CN)[C@H]1c1ccccc1C1CC1,0.17622378
CC(C)N1CC[C@@H](CN)[C@@H]1c1ccccc1C1CC1,0.17622378
CCn1c(N)c(c2ccccc2C2CC2)nc1C(C)C,0.1657514
CCN1CC[C@H](CN)[C@H]1c1ccccc1C1CC1,0.21868497
CCN1CC[C@@H](CN)[C@H]1c1ccccc1C1CC1,0.21868497
CCCCn1c(N)c(c2ccccc2C2CC2)nc1CC,0.15453482
C=CCn1c(N)c(c2ccccc2C2CC2)nc1C(C)C,0.08138959
CCN[C@H](c1ccccc1C1CCC1)[C@H]1C[C@H]1C,0.2494514
CCN[C@H](c1ccccc1C1CCC1)[C@@H]1C[C@H]1C,0.2494514
CCCN1CC[C@H](CN)[C@@H]1c1ccccc1C1CC1,0.18487348
CCCN1CC[C@@H](CN)[C@H]1c1ccccc1C1CC1,0.18487348
CCCN1CC[C@H](CN)[C@H]1c1ccccc1C1CC1,0.18487348
CCCN1CC[C@@H](CN)[C@@H]1c1ccccc1C1CC1,0.18487348
NN[C@@H](c1ccccc1C1CCC1)C1CC1,0.31078044
NN[C@H](c1ccccc1C1CCC1)C1CC1,0.31078044
CC(C)CN1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.22060171
CC(C)CN1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.22060171
CC(C)CN1CC[C@@H](N)[C@@H]1c1ccccc1C1CC1,0.22060171
CC(C)CN1CC[C@H](N)[C@@H]1c1ccccc1C1CC1,0.22060171
CCOc1cc(C2CCC2)c(C2CC2)cc1CO,0.40487713
CC(C)Oc1cc(C2CCCC2)c(C2CC2)cc1CO,0.31630677
C#CCn1c(N)c(c2ccccc2C2CC2)nc1CCC,0.07785323
