SMILES,BACE1
C#CCn1c(N)c(c2ccccc2C2CC2)nc1CC,0.0919937
Cc1nc(c2ccccc2C2CC2)c(N)n1C(C)(C)C,0.08262394
CN1CC[C@@H](CN)[C@H]1c1ccccc1C1CC1,0.524761
CN1CC[C@H](CN)[C@H]1c1ccccc1C1CC1,0.524761
CCCn1c(N)c(c2ccccc2C2CC2)nc1CC,0.14008246
C=CCn1c(N)c(c2ccccc2C2CC2)nc1CC,0.097883776
CCN1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.41613626
CCN1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.41613626
COCCN1C(=NC[C@H]1c1ccccc1C1CC1)N,0.64573866
COCCN1C(=NC[C@@H]1c1ccccc1C1CC1)N,0.64573866
CC(C)N1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.5828139
CC(C)N1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.5828139
CC1(C)C([C@@H](N)c2ccccc2C2CCC2)C1(C)C,0.046647288
CC1(C)C([C@H](N)c2ccccc2C2CCC2)C1(C)C,0.046647288
C=CCn1c(N)c(c2ccccc2C2CC2)nc1CCC,0.19771102
CC[C@H](C)N1C(=NC[C@H]1c1ccccc1C1CC1)N,0.40670434
CC[C@H](C)N1C(=NC[C@@H]1c1ccccc1C1CC1)N,0.40670434
CC[C@@H](C)N1C(=NC[C@H]1c1ccccc1C1CC1)N,0.40670434
CC[C@@H](C)N1C(=NC[C@@H]1c1ccccc1C1CC1)N,0.40670434
CCCN[C@H](c1ccccc1C1CCC1)[C@@H]1C[C@@H]1C,0.3755565
CCCN[C@H](c1ccccc1C1CCC1)[C@H]1C[C@H]1C,0.3755565
CCCN[C@H](c1ccccc1C1CCC1)[C@H]1C[C@@H]1C,0.3755565
CCCN[C@H](c1ccccc1C1CCC1)[C@@H]1C[C@H]1C,0.3755565
C[C@@H]1CN[C@@H](c2ccccc2C2CC2)C1,0.060061067
C[C@H]1CN[C@@H](c2ccccc2C2CC2)C1,0.060061067
C[C@@H]1CN[C@H](c2ccccc2C2CC2)C1,0.060061067
C[C@H]1CN[C@H](c2ccccc2C2CC2)C1,0.060061067
CCCN[C@@H](c1ccccc1C1CCC1)C1(C)CC1,0.14553908
CCCN[C@H](c1ccccc1C1CCC1)C1(C)CC1,0.14553908
NS(=O)(=O)c1c(C(F)(F)F)ccc(C2CC2)c1c1nn[nH]n1,0.029279139
CC(C)Cc1onc(c2ccccc2C2CC2)c1C(=O)O,0.19452462
CCOc1cc(C=O)cc(C2CC2)c1C1CCCC1,0.021349652
C[C@@]1(C(=O)N)C[N@H+](Cc2ccccc2C2CC2)C1,0.1288637
CC(C)CN1C(=NC[C@H]1c1ccccc1C1CC1)N,0.6946838
CC(C)CN1C(=NC[C@@H]1c1ccccc1C1CC1)N,0.6946838
CC(C)N1CC[C@@H](CN)[C@H]1c1ccccc1C1CC1,0.46556222
CC(C)N1CC[C@H](CN)[C@@H]1c1ccccc1C1CC1,0.46556222
CC(C)N1CC[C@H](CN)[C@H]1c1ccccc1C1CC1,0.46556222
CC(C)N1CC[C@@H](CN)[C@@H]1c1ccccc1C1CC1,0.46556222
CCn1c(N)c(c2ccccc2C2CC2)nc1C(C)C,0.11516478
CCN1CC[C@H](CN)[C@H]1c1ccccc1C1CC1,0.31720623
CCN1CC[C@@H](CN)[C@H]1c1ccccc1C1CC1,0.31720623
CCCCn1c(N)c(c2ccccc2C2CC2)nc1CC,0.16807294
C=CCn1c(N)c(c2ccccc2C2CC2)nc1C(C)C,0.10392194
CCN[C@H](c1ccccc1C1CCC1)[C@H]1C[C@H]1C,0.25400245
CCN[C@H](c1ccccc1C1CCC1)[C@@H]1C[C@H]1C,0.25400245
CCCN1CC[C@H](CN)[C@@H]1c1ccccc1C1CC1,0.5447949
CCCN1CC[C@@H](CN)[C@H]1c1ccccc1C1CC1,0.5447949
CCCN1CC[C@H](CN)[C@H]1c1ccccc1C1CC1,0.5447949
CCCN1CC[C@@H](CN)[C@@H]1c1ccccc1C1CC1,0.5447949
NN[C@@H](c1ccccc1C1CCC1)C1CC1,0.083491355
NN[C@H](c1ccccc1C1CCC1)C1CC1,0.083491355
CC(C)CN1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.7048129
CC(C)CN1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.7048129
CC(C)CN1CC[C@@H](N)[C@@H]1c1ccccc1C1CC1,0.7048129
CC(C)CN1CC[C@H](N)[C@@H]1c1ccccc1C1CC1,0.7048129
CCOc1cc(C2CCC2)c(C2CC2)cc1CO,0.10732942
CC(C)Oc1cc(C2CCCC2)c(C2CC2)cc1CO,0.2687537
C#CCn1c(N)c(c2ccccc2C2CC2)nc1CCC,0.1870595
CN(C)CCN1C(=NC[C@@H]1c1ccccc1C1CC1)N,0.33546442
CN(C)CCN1C(=NC[C@H]1c1ccccc1C1CC1)N,0.33546442
CCOc1cc(C=O)cc(C2CC2)c1C1CCC1,0.013962667
CC1(OCC(=O)O)CN(Cc2ccccc2C2CC2)C1,0.0549881
CC(C)Oc1cc(C2CCC2)c(C2CC2)cc1C=O,0.07517797
CCCN1CC[C@@H](CNC)[C@H]1c1ccccc1C1CC1,0.579742
CCCN1CC[C@@H](CNC)[C@@H]1c1ccccc1C1CC1,0.579742
CCCN1CC[C@H](CNC)[C@H]1c1ccccc1C1CC1,0.579742
CCCN1CC[C@H](CNC)[C@@H]1c1ccccc1C1CC1,0.579742
CCCc1nc(c2ccccc2C2CC2)c(N)n1CC,0.31446055
CCOc1cc(C2CCC2)c(C2CC2)cc1C=O,0.02170083
CC(C)Oc1cc(C2CCCC2)c(C2CC2)cc1C=O,0.11129567
CCNC[C@@H]1CCN(C)[C@H]1c1ccccc1C1CC1,0.6324263
CCNC[C@@H]1CCN(C)[C@@H]1c1ccccc1C1CC1,0.6324263
CCNC[C@H]1CCN(C)[C@@H]1c1ccccc1C1CC1,0.6324263
CCNC[C@H]1CCN(C)[C@H]1c1ccccc1C1CC1,0.6324263
