SMILES,MMP1
CCCN1CC[C@H](CN)[C@H]1c1ccccc1C1CC1,0.012092312
CCCN1CC[C@@H](CN)[C@@H]1c1ccccc1C1CC1,0.012092312
NN[C@@H](c1ccccc1C1CCC1)C1CC1,0.15302543
NN[C@H](c1ccccc1C1CCC1)C1CC1,0.15302543
CC(C)CN1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.06008792
CC(C)CN1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.06008792
CC(C)CN1CC[C@@H](N)[C@@H]1c1ccccc1C1CC1,0.06008792
CC(C)CN1CC[C@H](N)[C@@H]1c1ccccc1C1CC1,0.06008792
CCOc1cc(C2CCC2)c(C2CC2)cc1CO,0.080062136
CC(C)Oc1cc(C2CCCC2)c(C2CC2)cc1CO,0.276467
C#CCn1c(N)c(c2ccccc2C2CC2)nc1CCC,0.013720403
CN(C)CCN1C(=NC[C@@H]1c1ccccc1C1CC1)N,0.03721152
CN(C)CCN1C(=NC[C@H]1c1ccccc1C1CC1)N,0.03721152
CCOc1cc(C=O)cc(C2CC2)c1C1CCC1,0.08864499
CC1(OCC(=O)O)CN(Cc2ccccc2C2CC2)C1,0.13399401
CC(C)Oc1cc(C2CCC2)c(C2CC2)cc1C=O,0.158272
CCCN1CC[C@@H](CNC)[C@H]1c1ccccc1C1CC1,0.0211931
CCCN1CC[C@@H](CNC)[C@@H]1c1ccccc1C1CC1,0.0211931
CCCN1CC[C@H](CNC)[C@H]1c1ccccc1C1CC1,0.0211931
CCCN1CC[C@H](CNC)[C@@H]1c1ccccc1C1CC1,0.0211931
CCCc1nc(c2ccccc2C2CC2)c(N)n1CC,0.008744586
CCOc1cc(C2CCC2)c(C2CC2)cc1C=O,0.08867264
CC(C)Oc1cc(C2CCCC2)c(C2CC2)cc1C=O,0.17491
CCNC[C@@H]1CCN(C)[C@H]1c1ccccc1C1CC1,0.046737246
CCNC[C@@H]1CCN(C)[C@@H]1c1ccccc1C1CC1,0.046737246
CCNC[C@H]1CCN(C)[C@@H]1c1ccccc1C1CC1,0.046737246
CCNC[C@H]1CCN(C)[C@H]1c1ccccc1C1CC1,0.046737246
CC(C)(C)N1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.012801012
CC(C)(C)N1CC[C@H](N)[C@@H]1c1ccccc1C1CC1,0.012801012
CC(C)(C)N1CC[C@@H](N)[C@@H]1c1ccccc1C1CC1,0.012801012
CC(C)(C)N1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.012801012
CCN1CC[C@@H](CNC)[C@H]1c1ccccc1C1CC1,0.03267383
CCN1CC[C@H](CNC)[C@@H]1c1ccccc1C1CC1,0.03267383
CCN1CC[C@H](CNC)[C@H]1c1ccccc1C1CC1,0.03267383
CCN1CC[C@@H](CNC)[C@@H]1c1ccccc1C1CC1,0.03267383
CN[C@H](c1ccccc1C1CCC1)C1C(C)(C)C1(C)C,0.25072166
CN[C@@H](c1ccccc1C1CCC1)C1C(C)(C)C1(C)C,0.25072166
CC(C)c1nc(c2ccccc2C2CC2)c(N)n1C(C)C,0.06303787
CC(C)NC[C@@H]1CCN(C)[C@H]1c1ccccc1C1CC1,0.059439953
CC(C)NC[C@@H]1CCN(C)[C@@H]1c1ccccc1C1CC1,0.059439953
CC(C)NC[C@H]1CCN(C)[C@H]1c1ccccc1C1CC1,0.059439953
CC(C)NC[C@H]1CCN(C)[C@@H]1c1ccccc1C1CC1,0.059439953
CNC[C@@H]1CCN(C(C)C)[C@@H]1c1ccccc1C1CC1,0.08297365
CNC[C@H]1CCN(C(C)C)[C@@H]1c1ccccc1C1CC1,0.08297365
CNC[C@H]1CCN(C(C)C)[C@H]1c1ccccc1C1CC1,0.08297365
CNC[C@@H]1CCN(C(C)C)[C@H]1c1ccccc1C1CC1,0.08297365
CC(C)NC[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.11172792
CC(C)NC[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.11172792
CC(C)NC[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.11172792
CC(C)NC[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.11172792
CC(C)CNC[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.2388889
CC(C)CNC[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.2388889
CC(C)CNC[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.2388889
CC(C)CNC[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.2388889
COCCN1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.02975442
COCCN1CC[C@H](N)[C@@H]1c1ccccc1C1CC1,0.02975442
COCCN1CC[C@@H](N)[C@@H]1c1ccccc1C1CC1,0.02975442
COCCN1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.02975442
