SMILES,PDPK1
C[C@@H]1C[C@H](c2ccccc2C2CC2)CN1,0.23709124
C[C@H]1C[C@H](c2ccccc2C2CC2)CN1,0.23709124
C[C@@H]1C[C@@H](c2ccccc2C2CC2)CN1,0.23709124
CCC[C@H](N)c1cc(c2ccccc2C2CC2)no1,0.1356667
CCC[C@@H](N)c1cc(c2ccccc2C2CC2)no1,0.1356667
O[C@@H]1CN[C@H](c2ccccc2C2CC2)C1,0.21537513
O[C@H]1CN[C@@H](c2ccccc2C2CC2)C1,0.21537513
O[C@H]1CN[C@H](c2ccccc2C2CC2)C1,0.21537513
O[C@@H]1CN[C@@H](c2ccccc2C2CC2)C1,0.21537513
CC1(C#N)CN(Cc2ccccc2C2CC2)C1,0.15032133
NC1=NC[C@@H](c2ccccc2C2CC2)N1,0.22408874
NC1=NC[C@H](c2ccccc2C2CC2)N1,0.22408874
NC1=NC[C@@H](c2ccccc2C2CC2)O1,0.19026469
NC1=NC[C@H](c2ccccc2C2CC2)O1,0.19026469
CC(C)(C)n1cnc(c2ccccc2C2CC2)c1N,0.16017683
N#C[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.19017147
N#C[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.19017147
N#C[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.19017147
N#C[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.19017147
CN[C@H](c1ccccc1C1CCC1)[C@@H]1C[C@H]1C,0.21105506
CN[C@H](c1ccccc1C1CCC1)[C@H]1C[C@H]1C,0.21105506
CC1([C@@H](NN)c2ccccc2C2CCC2)CC1,0.19271588
CC1([C@H](NN)c2ccccc2C2CCC2)CC1,0.19271588
CC1(C)NCC[C@H]1c1ccccc1C1CC1,0.31912786
CC1(C)NCC[C@@H]1c1ccccc1C1CC1,0.31912786
C[C@@]1(N)CNC[C@H]1c1ccccc1C1CC1,0.2041029
C[C@@]1(N)CNC[C@@H]1c1ccccc1C1CC1,0.2041029
CC1(C)C[C@H]1[C@H](N)c1ccccc1C1CCC1,0.24187219
CC1(C)C[C@@H]1[C@@H](N)c1ccccc1C1CCC1,0.24187219
CC1(C)C[C@H]1[C@@H](N)c1ccccc1C1CCC1,0.24187219
C[C@]1(N)CNC[C@H]1c1ccccc1C1CC1,0.2041029
C[C@]1(N)CNC[C@@H]1c1ccccc1C1CC1,0.2041029
CC1(C)C[C@@H]1[C@H](N)c1ccccc1C1CCC1,0.24187219
Cn1c(N)c(c2ccccc2C2CC2)nc1C(C)(C)C,0.19269069
CCc1nc(c2ccccc2C2CC2)c(N)n1CC,0.20281497
CN1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.13129203
CN1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.13129203
C[C@@H]1C[C@@H]1[C@H](N)c1ccccc1C1CCC1,0.18734619
C[C@@H]1C[C@H]1[C@H](N)c1ccccc1C1CCC1,0.18734619
CC[C@@H]1CCN[C@H]1c1ccccc1C1CC1,0.24329084
CC[C@@H]1CCN[C@@H]1c1ccccc1C1CC1,0.24329084
CC[C@H]1CCN[C@@H]1c1ccccc1C1CC1,0.24329084
CC[C@H]1CCN[C@H]1c1ccccc1C1CC1,0.24329084
C[C@@H]1C[C@H]1[C@H](O)c1ccccc1C1CCC1,0.16405523
C[C@@H]1C[C@@H]1[C@H](O)c1ccccc1C1CCC1,0.16405523
C[C@@H]1C[C@H]1[C@H](NN)c1ccccc1C1CCC1,0.20904195
C[C@@H]1C[C@H]1[C@@H](NN)c1ccccc1C1CCC1,0.20904195
C[C@@H]1C[C@@H]1[C@@H](NN)c1ccccc1C1CCC1,0.20904195
C[C@@H]1C[C@@H]1[C@H](NN)c1ccccc1C1CCC1,0.20904195
CCc1nc(c2ccccc2C2CC2)c(N)n1C(C)C,0.23109688
CCCCn1c(C)nc(c2ccccc2C2CC2)c1N,0.18227778
CC[C@@H]1N[C@H](C)C[C@H]1c1ccccc1C1CC1,0.14506923
CC(C)(C)c1nc(c2ccccc2C2CC2)c(N)n1N,0.21747261
CC(C)c1onc(c2ccccc2C2CC2)c1C(=O)O,0.11208491
Cc1nc(c2ccccc2C2CC2)c(N)n1CC(C)C,0.25867924
OC[C@@H]1CC(=NO1)c1ccccc1C1CC1,0.1192831
OC[C@H]1CC(=NO1)c1ccccc1C1CC1,0.1192831
NC[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.128385
NC[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.128385
NC[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.128385
NC[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.128385
CCCc1onc(c2ccccc2C2CC2)c1C(=O)O,0.11797746
C#CCn1c(N)c(c2ccccc2C2CC2)nc1CC,0.21047817
Cc1nc(c2ccccc2C2CC2)c(N)n1C(C)(C)C,0.24859042
CN1CC[C@@H](CN)[C@H]1c1ccccc1C1CC1,0.157621
CN1CC[C@H](CN)[C@H]1c1ccccc1C1CC1,0.157621
CCCn1c(N)c(c2ccccc2C2CC2)nc1CC,0.17576027
C=CCn1c(N)c(c2ccccc2C2CC2)nc1CC,0.23820598
CCN1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.1413326
CCN1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.1413326
COCCN1C(=NC[C@H]1c1ccccc1C1CC1)N,0.22388662
COCCN1C(=NC[C@@H]1c1ccccc1C1CC1)N,0.22388662
CC(C)N1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.15021975
CC(C)N1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.15021975
CC1(C)C([C@@H](N)c2ccccc2C2CCC2)C1(C)C,0.17523585
CC1(C)C([C@H](N)c2ccccc2C2CCC2)C1(C)C,0.17523585
C=CCn1c(N)c(c2ccccc2C2CC2)nc1CCC,0.22132099
CC[C@H](C)N1C(=NC[C@H]1c1ccccc1C1CC1)N,0.23747294
CC[C@H](C)N1C(=NC[C@@H]1c1ccccc1C1CC1)N,0.23747294
CC[C@@H](C)N1C(=NC[C@H]1c1ccccc1C1CC1)N,0.23747294
CC[C@@H](C)N1C(=NC[C@@H]1c1ccccc1C1CC1)N,0.23747294
CCCN[C@H](c1ccccc1C1CCC1)[C@@H]1C[C@@H]1C,0.1770256
CCCN[C@H](c1ccccc1C1CCC1)[C@H]1C[C@H]1C,0.1770256
CCCN[C@H](c1ccccc1C1CCC1)[C@H]1C[C@@H]1C,0.1770256
CCCN[C@H](c1ccccc1C1CCC1)[C@@H]1C[C@H]1C,0.1770256
C[C@@H]1CN[C@@H](c2ccccc2C2CC2)C1,0.26183966
C[C@H]1CN[C@@H](c2ccccc2C2CC2)C1,0.26183966
C[C@@H]1CN[C@H](c2ccccc2C2CC2)C1,0.26183966
C[C@H]1CN[C@H](c2ccccc2C2CC2)C1,0.26183966
CCCN[C@@H](c1ccccc1C1CCC1)C1(C)CC1,0.18541269
CCCN[C@H](c1ccccc1C1CCC1)C1(C)CC1,0.18541269
NS(=O)(=O)c1c(C(F)(F)F)ccc(C2CC2)c1c1nn[nH]n1,0.11274011
CC(C)Cc1onc(c2ccccc2C2CC2)c1C(=O)O,0.14429772
CCOc1cc(C=O)cc(C2CC2)c1C1CCCC1,0.1681273
C[C@@]1(C(=O)N)C[N@H+](Cc2ccccc2C2CC2)C1,0.2722133
CC(C)CN1C(=NC[C@H]1c1ccccc1C1CC1)N,0.22628284
CC(C)CN1C(=NC[C@@H]1c1ccccc1C1CC1)N,0.22628284
CC(C)N1CC[C@@H](CN)[C@H]1c1ccccc1C1CC1,0.14015779
CC(C)N1CC[C@H](CN)[C@@H]1c1ccccc1C1CC1,0.14015779
CC(C)N1CC[C@H](CN)[C@H]1c1ccccc1C1CC1,0.14015779
CC(C)N1CC[C@@H](CN)[C@@H]1c1ccccc1C1CC1,0.14015779
CCn1c(N)c(c2ccccc2C2CC2)nc1C(C)C,0.1703476
CCN1CC[C@H](CN)[C@H]1c1ccccc1C1CC1,0.15609267
CCN1CC[C@@H](CN)[C@H]1c1ccccc1C1CC1,0.15609267
CCCCn1c(N)c(c2ccccc2C2CC2)nc1CC,0.17967638
C=CCn1c(N)c(c2ccccc2C2CC2)nc1C(C)C,0.23008071
CCN[C@H](c1ccccc1C1CCC1)[C@H]1C[C@H]1C,0.15838398
CCN[C@H](c1ccccc1C1CCC1)[C@@H]1C[C@H]1C,0.15838398
CCCN1CC[C@H](CN)[C@@H]1c1ccccc1C1CC1,0.1513626
CCCN1CC[C@@H](CN)[C@H]1c1ccccc1C1CC1,0.1513626
CCCN1CC[C@H](CN)[C@H]1c1ccccc1C1CC1,0.1513626
CCCN1CC[C@@H](CN)[C@@H]1c1ccccc1C1CC1,0.1513626
NN[C@@H](c1ccccc1C1CCC1)C1CC1,0.19212928
NN[C@H](c1ccccc1C1CCC1)C1CC1,0.19212928
CC(C)CN1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.18188067
CC(C)CN1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.18188067
CC(C)CN1CC[C@@H](N)[C@@H]1c1ccccc1C1CC1,0.18188067
CC(C)CN1CC[C@H](N)[C@@H]1c1ccccc1C1CC1,0.18188067
CCOc1cc(C2CCC2)c(C2CC2)cc1CO,0.1921268
CC(C)Oc1cc(C2CCCC2)c(C2CC2)cc1CO,0.17447121
C#CCn1c(N)c(c2ccccc2C2CC2)nc1CCC,0.19505544
CN(C)CCN1C(=NC[C@@H]1c1ccccc1C1CC1)N,0.15806575
CN(C)CCN1C(=NC[C@H]1c1ccccc1C1CC1)N,0.15806575
CCOc1cc(C=O)cc(C2CC2)c1C1CCC1,0.16135451
CC1(OCC(=O)O)CN(Cc2ccccc2C2CC2)C1,0.23801486
CC(C)Oc1cc(C2CCC2)c(C2CC2)cc1C=O,0.15539798
CCCN1CC[C@@H](CNC)[C@H]1c1ccccc1C1CC1,0.1253654
CCCN1CC[C@@H](CNC)[C@@H]1c1ccccc1C1CC1,0.1253654
CCCN1CC[C@H](CNC)[C@H]1c1ccccc1C1CC1,0.1253654
CCCN1CC[C@H](CNC)[C@@H]1c1ccccc1C1CC1,0.1253654
CCCc1nc(c2ccccc2C2CC2)c(N)n1CC,0.1878201
CCOc1cc(C2CCC2)c(C2CC2)cc1C=O,0.19640434
CC(C)Oc1cc(C2CCCC2)c(C2CC2)cc1C=O,0.161969
CCNC[C@@H]1CCN(C)[C@H]1c1ccccc1C1CC1,0.1371825
CCNC[C@@H]1CCN(C)[C@@H]1c1ccccc1C1CC1,0.1371825
CCNC[C@H]1CCN(C)[C@@H]1c1ccccc1C1CC1,0.1371825
CCNC[C@H]1CCN(C)[C@H]1c1ccccc1C1CC1,0.1371825
CC(C)(C)N1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.15077996
CC(C)(C)N1CC[C@H](N)[C@@H]1c1ccccc1C1CC1,0.15077996
CC(C)(C)N1CC[C@@H](N)[C@@H]1c1ccccc1C1CC1,0.15077996
CC(C)(C)N1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.15077996
CCN1CC[C@@H](CNC)[C@H]1c1ccccc1C1CC1,0.12940705
CCN1CC[C@H](CNC)[C@@H]1c1ccccc1C1CC1,0.12940705
CCN1CC[C@H](CNC)[C@H]1c1ccccc1C1CC1,0.12940705
CCN1CC[C@@H](CNC)[C@@H]1c1ccccc1C1CC1,0.12940705
CN[C@H](c1ccccc1C1CCC1)C1C(C)(C)C1(C)C,0.2724338
CN[C@@H](c1ccccc1C1CCC1)C1C(C)(C)C1(C)C,0.2724338
CC(C)c1nc(c2ccccc2C2CC2)c(N)n1C(C)C,0.1683821
CC(C)NC[C@@H]1CCN(C)[C@H]1c1ccccc1C1CC1,0.0974564
CC(C)NC[C@@H]1CCN(C)[C@@H]1c1ccccc1C1CC1,0.0974564
CC(C)NC[C@H]1CCN(C)[C@H]1c1ccccc1C1CC1,0.0974564
CC(C)NC[C@H]1CCN(C)[C@@H]1c1ccccc1C1CC1,0.0974564
CNC[C@@H]1CCN(C(C)C)[C@@H]1c1ccccc1C1CC1,0.1158224
CNC[C@H]1CCN(C(C)C)[C@@H]1c1ccccc1C1CC1,0.1158224
CNC[C@H]1CCN(C(C)C)[C@H]1c1ccccc1C1CC1,0.1158224
CNC[C@@H]1CCN(C(C)C)[C@H]1c1ccccc1C1CC1,0.1158224
CC(C)NC[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.07647032
CC(C)NC[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.07647032
CC(C)NC[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.07647032
CC(C)NC[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.07647032
CC(C)CNC[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.094606005
CC(C)CNC[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.094606005
CC(C)CNC[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.094606005
CC(C)CNC[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.094606005
COCCN1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.17954169
COCCN1CC[C@H](N)[C@@H]1c1ccccc1C1CC1,0.17954169
COCCN1CC[C@@H](N)[C@@H]1c1ccccc1C1CC1,0.17954169
COCCN1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.17954169
CCCNC[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.117749676
CCCNC[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.117749676
CCCNC[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.117749676
CCCNC[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.117749676
CC(C)(C)NC[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.09617335
CC(C)(C)NC[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.09617335
CC(C)(C)NC[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.09617335
CC(C)(C)NC[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.09617335
CCCNC[C@H]1CCN(C)[C@H]1c1ccccc1C1CC1,0.1482458
CCCNC[C@@H]1CCN(C)[C@H]1c1ccccc1C1CC1,0.1482458
CCCNC[C@H]1CCN(C)[C@@H]1c1ccccc1C1CC1,0.1482458
CCCNC[C@@H]1CCN(C)[C@@H]1c1ccccc1C1CC1,0.1482458
CCN[C@@H](c1ccccc1C1CCC1)C1C(C)(C)C1(C)C,0.20770599
CCN[C@H](c1ccccc1C1CCC1)C1C(C)(C)C1(C)C,0.20770599
CCOC(=O)c1cc(OCC)c(C2CCC2)c(C2CC2)c1,0.17723097
COCCNC[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.13629745
COCCNC[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.13629745
COCCNC[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.13629745
COCCNC[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.13629745
