SMILES,CSF1R
C=CCn1c(N)c(c2ccccc2C2CC2)nc1CCC,0.010062681
CC[C@H](C)N1C(=NC[C@H]1c1ccccc1C1CC1)N,0.04328001
CC[C@H](C)N1C(=NC[C@@H]1c1ccccc1C1CC1)N,0.04328001
CC[C@@H](C)N1C(=NC[C@H]1c1ccccc1C1CC1)N,0.04328001
CC[C@@H](C)N1C(=NC[C@@H]1c1ccccc1C1CC1)N,0.04328001
CCCN[C@H](c1ccccc1C1CCC1)[C@@H]1C[C@@H]1C,0.021939307
CCCN[C@H](c1ccccc1C1CCC1)[C@H]1C[C@H]1C,0.021939307
CCCN[C@H](c1ccccc1C1CCC1)[C@H]1C[C@@H]1C,0.021939307
CCCN[C@H](c1ccccc1C1CCC1)[C@@H]1C[C@H]1C,0.021939307
C[C@@H]1CN[C@@H](c2ccccc2C2CC2)C1,0.105211936
C[C@H]1CN[C@@H](c2ccccc2C2CC2)C1,0.105211936
C[C@@H]1CN[C@H](c2ccccc2C2CC2)C1,0.105211936
C[C@H]1CN[C@H](c2ccccc2C2CC2)C1,0.105211936
CCCN[C@@H](c1ccccc1C1CCC1)C1(C)CC1,0.021084959
CCCN[C@H](c1ccccc1C1CCC1)C1(C)CC1,0.021084959
NS(=O)(=O)c1c(C(F)(F)F)ccc(C2CC2)c1c1nn[nH]n1,0.032087658
CC(C)Cc1onc(c2ccccc2C2CC2)c1C(=O)O,0.03503245
CCOc1cc(C=O)cc(C2CC2)c1C1CCCC1,0.110445954
C[C@@]1(C(=O)N)C[N@H+](Cc2ccccc2C2CC2)C1,0.10052599
CC(C)CN1C(=NC[C@H]1c1ccccc1C1CC1)N,0.047890224
CC(C)CN1C(=NC[C@@H]1c1ccccc1C1CC1)N,0.047890224
CC(C)N1CC[C@@H](CN)[C@H]1c1ccccc1C1CC1,0.05053961
CC(C)N1CC[C@H](CN)[C@@H]1c1ccccc1C1CC1,0.05053961
CC(C)N1CC[C@H](CN)[C@H]1c1ccccc1C1CC1,0.05053961
CC(C)N1CC[C@@H](CN)[C@@H]1c1ccccc1C1CC1,0.05053961
CCn1c(N)c(c2ccccc2C2CC2)nc1C(C)C,0.018242482
CCN1CC[C@H](CN)[C@H]1c1ccccc1C1CC1,0.04923875
