SMILES,GSK3B
CCc1nc(c2ccccc2C2CC2)c(N)n1C(C)C,0.041095126
CCCCn1c(C)nc(c2ccccc2C2CC2)c1N,0.061657794
CC[C@@H]1N[C@H](C)C[C@H]1c1ccccc1C1CC1,0.124895975
CC(C)(C)c1nc(c2ccccc2C2CC2)c(N)n1N,0.04673715
CC(C)c1onc(c2ccccc2C2CC2)c1C(=O)O,0.06800714
Cc1nc(c2ccccc2C2CC2)c(N)n1CC(C)C,0.060675167
OC[C@@H]1CC(=NO1)c1ccccc1C1CC1,0.06499457
OC[C@H]1CC(=NO1)c1ccccc1C1CC1,0.06499457
NC[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.2695934
NC[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.2695934
NC[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.2695934
NC[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.2695934
CCCc1onc(c2ccccc2C2CC2)c1C(=O)O,0.059332844
C#CCn1c(N)c(c2ccccc2C2CC2)nc1CC,0.07852618
Cc1nc(c2ccccc2C2CC2)c(N)n1C(C)(C)C,0.06831861
CN1CC[C@@H](CN)[C@H]1c1ccccc1C1CC1,0.041419636
CN1CC[C@H](CN)[C@H]1c1ccccc1C1CC1,0.041419636
CCCn1c(N)c(c2ccccc2C2CC2)nc1CC,0.094169624
C=CCn1c(N)c(c2ccccc2C2CC2)nc1CC,0.06608608
CCN1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.1851948
CCN1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.1851948
COCCN1C(=NC[C@H]1c1ccccc1C1CC1)N,0.05632455
COCCN1C(=NC[C@@H]1c1ccccc1C1CC1)N,0.05632455
CC(C)N1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.065395914
CC(C)N1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.065395914
CC1(C)C([C@@H](N)c2ccccc2C2CCC2)C1(C)C,0.1577528
CC1(C)C([C@H](N)c2ccccc2C2CCC2)C1(C)C,0.1577528
C=CCn1c(N)c(c2ccccc2C2CC2)nc1CCC,0.05115437
CC[C@H](C)N1C(=NC[C@H]1c1ccccc1C1CC1)N,0.04802588
CC[C@H](C)N1C(=NC[C@@H]1c1ccccc1C1CC1)N,0.04802588
CC[C@@H](C)N1C(=NC[C@H]1c1ccccc1C1CC1)N,0.04802588
CC[C@@H](C)N1C(=NC[C@@H]1c1ccccc1C1CC1)N,0.04802588
CCCN[C@H](c1ccccc1C1CCC1)[C@@H]1C[C@@H]1C,0.02195974
CCCN[C@H](c1ccccc1C1CCC1)[C@H]1C[C@H]1C,0.02195974
CCCN[C@H](c1ccccc1C1CCC1)[C@H]1C[C@@H]1C,0.02195974
CCCN[C@H](c1ccccc1C1CCC1)[C@@H]1C[C@H]1C,0.02195974
C[C@@H]1CN[C@@H](c2ccccc2C2CC2)C1,0.21118979
C[C@H]1CN[C@@H](c2ccccc2C2CC2)C1,0.21118979
C[C@@H]1CN[C@H](c2ccccc2C2CC2)C1,0.21118979
C[C@H]1CN[C@H](c2ccccc2C2CC2)C1,0.21118979
CCCN[C@@H](c1ccccc1C1CCC1)C1(C)CC1,0.18611968
CCCN[C@H](c1ccccc1C1CCC1)C1(C)CC1,0.18611968
NS(=O)(=O)c1c(C(F)(F)F)ccc(C2CC2)c1c1nn[nH]n1,0.03855228
CC(C)Cc1onc(c2ccccc2C2CC2)c1C(=O)O,0.050730024
CCOc1cc(C=O)cc(C2CC2)c1C1CCCC1,0.049689304
C[C@@]1(C(=O)N)C[N@H+](Cc2ccccc2C2CC2)C1,0.15000145
CC(C)CN1C(=NC[C@H]1c1ccccc1C1CC1)N,0.027597936
CC(C)CN1C(=NC[C@@H]1c1ccccc1C1CC1)N,0.027597936
CC(C)N1CC[C@@H](CN)[C@H]1c1ccccc1C1CC1,0.037557937
CC(C)N1CC[C@H](CN)[C@@H]1c1ccccc1C1CC1,0.037557937
CC(C)N1CC[C@H](CN)[C@H]1c1ccccc1C1CC1,0.037557937
CC(C)N1CC[C@@H](CN)[C@@H]1c1ccccc1C1CC1,0.037557937
CCn1c(N)c(c2ccccc2C2CC2)nc1C(C)C,0.14707355
CCN1CC[C@H](CN)[C@H]1c1ccccc1C1CC1,0.15348034
CCN1CC[C@@H](CN)[C@H]1c1ccccc1C1CC1,0.15348034
CCCCn1c(N)c(c2ccccc2C2CC2)nc1CC,0.10120114
C=CCn1c(N)c(c2ccccc2C2CC2)nc1C(C)C,0.06545942
CCN[C@H](c1ccccc1C1CCC1)[C@H]1C[C@H]1C,0.02460939
CCN[C@H](c1ccccc1C1CCC1)[C@@H]1C[C@H]1C,0.02460939
CCCN1CC[C@H](CN)[C@@H]1c1ccccc1C1CC1,0.11801476
CCCN1CC[C@@H](CN)[C@H]1c1ccccc1C1CC1,0.11801476
CCCN1CC[C@H](CN)[C@H]1c1ccccc1C1CC1,0.11801476
CCCN1CC[C@@H](CN)[C@@H]1c1ccccc1C1CC1,0.11801476
NN[C@@H](c1ccccc1C1CCC1)C1CC1,0.14713962
NN[C@H](c1ccccc1C1CCC1)C1CC1,0.14713962
CC(C)CN1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.10782253
CC(C)CN1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.10782253
CC(C)CN1CC[C@@H](N)[C@@H]1c1ccccc1C1CC1,0.10782253
CC(C)CN1CC[C@H](N)[C@@H]1c1ccccc1C1CC1,0.10782253
CCOc1cc(C2CCC2)c(C2CC2)cc1CO,0.044280928
CC(C)Oc1cc(C2CCCC2)c(C2CC2)cc1CO,0.0071194093
C#CCn1c(N)c(c2ccccc2C2CC2)nc1CCC,0.060967207
CN(C)CCN1C(=NC[C@@H]1c1ccccc1C1CC1)N,0.0529294
CN(C)CCN1C(=NC[C@H]1c1ccccc1C1CC1)N,0.0529294
CCOc1cc(C=O)cc(C2CC2)c1C1CCC1,0.067471705
CC1(OCC(=O)O)CN(Cc2ccccc2C2CC2)C1,0.10317425
CC(C)Oc1cc(C2CCC2)c(C2CC2)cc1C=O,0.009538924
CCCN1CC[C@@H](CNC)[C@H]1c1ccccc1C1CC1,0.15753563
CCCN1CC[C@@H](CNC)[C@@H]1c1ccccc1C1CC1,0.15753563
CCCN1CC[C@H](CNC)[C@H]1c1ccccc1C1CC1,0.15753563
CCCN1CC[C@H](CNC)[C@@H]1c1ccccc1C1CC1,0.15753563
CCCc1nc(c2ccccc2C2CC2)c(N)n1CC,0.16393256
CCOc1cc(C2CCC2)c(C2CC2)cc1C=O,0.03876243
CC(C)Oc1cc(C2CCCC2)c(C2CC2)cc1C=O,0.0069117416
CCNC[C@@H]1CCN(C)[C@H]1c1ccccc1C1CC1,0.042051304
CCNC[C@@H]1CCN(C)[C@@H]1c1ccccc1C1CC1,0.042051304
CCNC[C@H]1CCN(C)[C@@H]1c1ccccc1C1CC1,0.042051304
CCNC[C@H]1CCN(C)[C@H]1c1ccccc1C1CC1,0.042051304
CC(C)(C)N1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.05723976
CC(C)(C)N1CC[C@H](N)[C@@H]1c1ccccc1C1CC1,0.05723976
CC(C)(C)N1CC[C@@H](N)[C@@H]1c1ccccc1C1CC1,0.05723976
CC(C)(C)N1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.05723976
CCN1CC[C@@H](CNC)[C@H]1c1ccccc1C1CC1,0.2021557
CCN1CC[C@H](CNC)[C@@H]1c1ccccc1C1CC1,0.2021557
CCN1CC[C@H](CNC)[C@H]1c1ccccc1C1CC1,0.2021557
CCN1CC[C@@H](CNC)[C@@H]1c1ccccc1C1CC1,0.2021557
CN[C@H](c1ccccc1C1CCC1)C1C(C)(C)C1(C)C,0.14687186
CN[C@@H](c1ccccc1C1CCC1)C1C(C)(C)C1(C)C,0.14687186
CC(C)c1nc(c2ccccc2C2CC2)c(N)n1C(C)C,0.09965543
CC(C)NC[C@@H]1CCN(C)[C@H]1c1ccccc1C1CC1,0.027014237
CC(C)NC[C@@H]1CCN(C)[C@@H]1c1ccccc1C1CC1,0.027014237
CC(C)NC[C@H]1CCN(C)[C@H]1c1ccccc1C1CC1,0.027014237
CC(C)NC[C@H]1CCN(C)[C@@H]1c1ccccc1C1CC1,0.027014237
CNC[C@@H]1CCN(C(C)C)[C@@H]1c1ccccc1C1CC1,0.051715203
CNC[C@H]1CCN(C(C)C)[C@@H]1c1ccccc1C1CC1,0.051715203
CNC[C@H]1CCN(C(C)C)[C@H]1c1ccccc1C1CC1,0.051715203
CNC[C@@H]1CCN(C(C)C)[C@H]1c1ccccc1C1CC1,0.051715203
CC(C)NC[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.13985251
CC(C)NC[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.13985251
CC(C)NC[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.13985251
CC(C)NC[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.13985251
CC(C)CNC[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.13399664
CC(C)CNC[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.13399664
CC(C)CNC[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.13399664
CC(C)CNC[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.13399664
COCCN1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.11878762
COCCN1CC[C@H](N)[C@@H]1c1ccccc1C1CC1,0.11878762
COCCN1CC[C@@H](N)[C@@H]1c1ccccc1C1CC1,0.11878762
COCCN1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.11878762
CCCNC[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.3233002
CCCNC[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.3233002
CCCNC[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.3233002
CCCNC[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.3233002
CC(C)(C)NC[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.09346891
CC(C)(C)NC[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.09346891
CC(C)(C)NC[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.09346891
CC(C)(C)NC[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.09346891
CCCNC[C@H]1CCN(C)[C@H]1c1ccccc1C1CC1,0.0754291
CCCNC[C@@H]1CCN(C)[C@H]1c1ccccc1C1CC1,0.0754291
CCCNC[C@H]1CCN(C)[C@@H]1c1ccccc1C1CC1,0.0754291
CCCNC[C@@H]1CCN(C)[C@@H]1c1ccccc1C1CC1,0.0754291
CCN[C@@H](c1ccccc1C1CCC1)C1C(C)(C)C1(C)C,0.06604072
CCN[C@H](c1ccccc1C1CCC1)C1C(C)(C)C1(C)C,0.06604072
CCOC(=O)c1cc(OCC)c(C2CCC2)c(C2CC2)c1,0.08348527
COCCNC[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.2746974
COCCNC[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.2746974
COCCNC[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.2746974
COCCNC[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.27469736
