SMILES,TYRO3
CC(C)CN1C(=NC[C@@H]1c1ccccc1C1CC1)N,0.484155
CC(C)N1CC[C@@H](CN)[C@H]1c1ccccc1C1CC1,0.47923332
CC(C)N1CC[C@H](CN)[C@@H]1c1ccccc1C1CC1,0.47923332
CC(C)N1CC[C@H](CN)[C@H]1c1ccccc1C1CC1,0.47923332
CC(C)N1CC[C@@H](CN)[C@@H]1c1ccccc1C1CC1,0.47923332
CCn1c(N)c(c2ccccc2C2CC2)nc1C(C)C,0.5923664
CCN1CC[C@H](CN)[C@H]1c1ccccc1C1CC1,0.55183953
CCN1CC[C@@H](CN)[C@H]1c1ccccc1C1CC1,0.55183953
CCCCn1c(N)c(c2ccccc2C2CC2)nc1CC,0.7102858
C=CCn1c(N)c(c2ccccc2C2CC2)nc1C(C)C,0.5640563
CCN[C@H](c1ccccc1C1CCC1)[C@H]1C[C@H]1C,0.430111
CCN[C@H](c1ccccc1C1CCC1)[C@@H]1C[C@H]1C,0.430111
CCCN1CC[C@H](CN)[C@@H]1c1ccccc1C1CC1,0.5105748
CCCN1CC[C@@H](CN)[C@H]1c1ccccc1C1CC1,0.5105748
CCCN1CC[C@H](CN)[C@H]1c1ccccc1C1CC1,0.5105748
CCCN1CC[C@@H](CN)[C@@H]1c1ccccc1C1CC1,0.5105748
NN[C@@H](c1ccccc1C1CCC1)C1CC1,0.41182998
NN[C@H](c1ccccc1C1CCC1)C1CC1,0.41182998
CC(C)CN1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.51939464
CC(C)CN1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.51939464
CC(C)CN1CC[C@@H](N)[C@@H]1c1ccccc1C1CC1,0.51939464
CC(C)CN1CC[C@H](N)[C@@H]1c1ccccc1C1CC1,0.51939464
CCOc1cc(C2CCC2)c(C2CC2)cc1CO,0.51605296
CC(C)Oc1cc(C2CCCC2)c(C2CC2)cc1CO,0.4389789
C#CCn1c(N)c(c2ccccc2C2CC2)nc1CCC,0.48700422
CN(C)CCN1C(=NC[C@@H]1c1ccccc1C1CC1)N,0.46674934
CN(C)CCN1C(=NC[C@H]1c1ccccc1C1CC1)N,0.46674934
CCOc1cc(C=O)cc(C2CC2)c1C1CCC1,0.4928407
CC1(OCC(=O)O)CN(Cc2ccccc2C2CC2)C1,0.29973558
CC(C)Oc1cc(C2CCC2)c(C2CC2)cc1C=O,0.4296265
CCCN1CC[C@@H](CNC)[C@H]1c1ccccc1C1CC1,0.44129732
CCCN1CC[C@@H](CNC)[C@@H]1c1ccccc1C1CC1,0.44129732
CCCN1CC[C@H](CNC)[C@H]1c1ccccc1C1CC1,0.44129732
CCCN1CC[C@H](CNC)[C@@H]1c1ccccc1C1CC1,0.44129732
CCCc1nc(c2ccccc2C2CC2)c(N)n1CC,0.6190435
CCOc1cc(C2CCC2)c(C2CC2)cc1C=O,0.5244619
CC(C)Oc1cc(C2CCCC2)c(C2CC2)cc1C=O,0.45122272
CCNC[C@@H]1CCN(C)[C@H]1c1ccccc1C1CC1,0.57097346
CCNC[C@@H]1CCN(C)[C@@H]1c1ccccc1C1CC1,0.57097346
CCNC[C@H]1CCN(C)[C@@H]1c1ccccc1C1CC1,0.57097346
CCNC[C@H]1CCN(C)[C@H]1c1ccccc1C1CC1,0.57097346
CC(C)(C)N1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.61081296
CC(C)(C)N1CC[C@H](N)[C@@H]1c1ccccc1C1CC1,0.61081296
CC(C)(C)N1CC[C@@H](N)[C@@H]1c1ccccc1C1CC1,0.61081296
CC(C)(C)N1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.61081296
CCN1CC[C@@H](CNC)[C@H]1c1ccccc1C1CC1,0.48248252
CCN1CC[C@H](CNC)[C@@H]1c1ccccc1C1CC1,0.48248252
CCN1CC[C@H](CNC)[C@H]1c1ccccc1C1CC1,0.48248252
CCN1CC[C@@H](CNC)[C@@H]1c1ccccc1C1CC1,0.48248252
CN[C@H](c1ccccc1C1CCC1)C1C(C)(C)C1(C)C,0.3816257
CN[C@@H](c1ccccc1C1CCC1)C1C(C)(C)C1(C)C,0.3816257
CC(C)c1nc(c2ccccc2C2CC2)c(N)n1C(C)C,0.53211254
CC(C)NC[C@@H]1CCN(C)[C@H]1c1ccccc1C1CC1,0.49963883
CC(C)NC[C@@H]1CCN(C)[C@@H]1c1ccccc1C1CC1,0.49963883
CC(C)NC[C@H]1CCN(C)[C@H]1c1ccccc1C1CC1,0.49963883
CC(C)NC[C@H]1CCN(C)[C@@H]1c1ccccc1C1CC1,0.49963883
CNC[C@@H]1CCN(C(C)C)[C@@H]1c1ccccc1C1CC1,0.4106404
CNC[C@H]1CCN(C(C)C)[C@@H]1c1ccccc1C1CC1,0.4106404
CNC[C@H]1CCN(C(C)C)[C@H]1c1ccccc1C1CC1,0.4106404
CNC[C@@H]1CCN(C(C)C)[C@H]1c1ccccc1C1CC1,0.4106404
CC(C)NC[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.46997777
CC(C)NC[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.46997777
CC(C)NC[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.46997777
CC(C)NC[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.46997777
CC(C)CNC[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.46079573
CC(C)CNC[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.46079573
CC(C)CNC[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.46079573
CC(C)CNC[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.46079573
COCCN1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.5480962
COCCN1CC[C@H](N)[C@@H]1c1ccccc1C1CC1,0.5480962
COCCN1CC[C@@H](N)[C@@H]1c1ccccc1C1CC1,0.5480962
COCCN1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.5480962
CCCNC[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.5370448
CCCNC[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.5370448
CCCNC[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.5370448
CCCNC[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.5370448
CC(C)(C)NC[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.5552352
CC(C)(C)NC[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.5552352
CC(C)(C)NC[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.5552352
CC(C)(C)NC[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.5552352
CCCNC[C@H]1CCN(C)[C@H]1c1ccccc1C1CC1,0.56641555
CCCNC[C@@H]1CCN(C)[C@H]1c1ccccc1C1CC1,0.56641555
CCCNC[C@H]1CCN(C)[C@@H]1c1ccccc1C1CC1,0.56641555
CCCNC[C@@H]1CCN(C)[C@@H]1c1ccccc1C1CC1,0.56641555
CCN[C@@H](c1ccccc1C1CCC1)C1C(C)(C)C1(C)C,0.43568754
CCN[C@H](c1ccccc1C1CCC1)C1C(C)(C)C1(C)C,0.43568754
CCOC(=O)c1cc(OCC)c(C2CCC2)c(C2CC2)c1,0.4819496
COCCNC[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.5004428
COCCNC[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.5004428
COCCNC[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.5004428
COCCNC[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.5004428
