SMILES,ACACB
C#CCn1c(N)c(c2ccccc2C2CC2)nc1CC,0.0743542
Cc1nc(c2ccccc2C2CC2)c(N)n1C(C)(C)C,0.065529466
CN1CC[C@@H](CN)[C@H]1c1ccccc1C1CC1,0.06897902
CN1CC[C@H](CN)[C@H]1c1ccccc1C1CC1,0.06897902
CCCn1c(N)c(c2ccccc2C2CC2)nc1CC,0.045558296
C=CCn1c(N)c(c2ccccc2C2CC2)nc1CC,0.034332752
CCN1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.07639044
CCN1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.07639044
COCCN1C(=NC[C@H]1c1ccccc1C1CC1)N,0.07117204
COCCN1C(=NC[C@@H]1c1ccccc1C1CC1)N,0.07117204
CC(C)N1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.083168805
CC(C)N1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.083168805
CC1(C)C([C@@H](N)c2ccccc2C2CCC2)C1(C)C,0.109902516
CC1(C)C([C@H](N)c2ccccc2C2CCC2)C1(C)C,0.109902516
C=CCn1c(N)c(c2ccccc2C2CC2)nc1CCC,0.033198994
CC[C@H](C)N1C(=NC[C@H]1c1ccccc1C1CC1)N,0.11045833
CC[C@H](C)N1C(=NC[C@@H]1c1ccccc1C1CC1)N,0.11045833
CC[C@@H](C)N1C(=NC[C@H]1c1ccccc1C1CC1)N,0.11045833
CC[C@@H](C)N1C(=NC[C@@H]1c1ccccc1C1CC1)N,0.11045833
CCCN[C@H](c1ccccc1C1CCC1)[C@@H]1C[C@@H]1C,0.109951966
CCCN[C@H](c1ccccc1C1CCC1)[C@H]1C[C@H]1C,0.109951966
CCCN[C@H](c1ccccc1C1CCC1)[C@H]1C[C@@H]1C,0.109951966
CCCN[C@H](c1ccccc1C1CCC1)[C@@H]1C[C@H]1C,0.109951966
C[C@@H]1CN[C@@H](c2ccccc2C2CC2)C1,0.10779484
C[C@H]1CN[C@@H](c2ccccc2C2CC2)C1,0.10779484
C[C@@H]1CN[C@H](c2ccccc2C2CC2)C1,0.10779484
C[C@H]1CN[C@H](c2ccccc2C2CC2)C1,0.10779484
CCCN[C@@H](c1ccccc1C1CCC1)C1(C)CC1,0.20287615
CCCN[C@H](c1ccccc1C1CCC1)C1(C)CC1,0.20287615
