SMILES,PDE4D
OC[C@@H]1CC(=NO1)c1ccccc1C1CC1,0.27411035
OC[C@H]1CC(=NO1)c1ccccc1C1CC1,0.27411035
NC[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.48463494
NC[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.48463494
NC[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.48463494
NC[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.48463494
CCCc1onc(c2ccccc2C2CC2)c1C(=O)O,0.27420917
C#CCn1c(N)c(c2ccccc2C2CC2)nc1CC,0.3171863
Cc1nc(c2ccccc2C2CC2)c(N)n1C(C)(C)C,0.26311284
CN1CC[C@@H](CN)[C@H]1c1ccccc1C1CC1,0.31998837
CN1CC[C@H](CN)[C@H]1c1ccccc1C1CC1,0.31998837
CCCn1c(N)c(c2ccccc2C2CC2)nc1CC,0.409734
C=CCn1c(N)c(c2ccccc2C2CC2)nc1CC,0.4247645
CCN1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.39179632
CCN1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.39179632
COCCN1C(=NC[C@H]1c1ccccc1C1CC1)N,0.19732149
COCCN1C(=NC[C@@H]1c1ccccc1C1CC1)N,0.19732149
CC(C)N1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.36515757
CC(C)N1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.36515757
CC1(C)C([C@@H](N)c2ccccc2C2CCC2)C1(C)C,0.34031484
CC1(C)C([C@H](N)c2ccccc2C2CCC2)C1(C)C,0.34031484
C=CCn1c(N)c(c2ccccc2C2CC2)nc1CCC,0.2994858
CC[C@H](C)N1C(=NC[C@H]1c1ccccc1C1CC1)N,0.2449182
CC[C@H](C)N1C(=NC[C@@H]1c1ccccc1C1CC1)N,0.2449182
CC[C@@H](C)N1C(=NC[C@H]1c1ccccc1C1CC1)N,0.2449182
CC[C@@H](C)N1C(=NC[C@@H]1c1ccccc1C1CC1)N,0.2449182
CCCN[C@H](c1ccccc1C1CCC1)[C@@H]1C[C@@H]1C,0.38841295
CCCN[C@H](c1ccccc1C1CCC1)[C@H]1C[C@H]1C,0.38841295
CCCN[C@H](c1ccccc1C1CCC1)[C@H]1C[C@@H]1C,0.38841295
CCCN[C@H](c1ccccc1C1CCC1)[C@@H]1C[C@H]1C,0.38841295
C[C@@H]1CN[C@@H](c2ccccc2C2CC2)C1,0.41231915
C[C@H]1CN[C@@H](c2ccccc2C2CC2)C1,0.41231915
C[C@@H]1CN[C@H](c2ccccc2C2CC2)C1,0.41231915
C[C@H]1CN[C@H](c2ccccc2C2CC2)C1,0.41231915
CCCN[C@@H](c1ccccc1C1CCC1)C1(C)CC1,0.43593726
CCCN[C@H](c1ccccc1C1CCC1)C1(C)CC1,0.43593726
NS(=O)(=O)c1c(C(F)(F)F)ccc(C2CC2)c1c1nn[nH]n1,0.21578923
CC(C)Cc1onc(c2ccccc2C2CC2)c1C(=O)O,0.22605243
CCOc1cc(C=O)cc(C2CC2)c1C1CCCC1,0.49496457
C[C@@]1(C(=O)N)C[N@H+](Cc2ccccc2C2CC2)C1,0.46166357
CC(C)CN1C(=NC[C@H]1c1ccccc1C1CC1)N,0.259936
CC(C)CN1C(=NC[C@@H]1c1ccccc1C1CC1)N,0.259936
CC(C)N1CC[C@@H](CN)[C@H]1c1ccccc1C1CC1,0.30507103
CC(C)N1CC[C@H](CN)[C@@H]1c1ccccc1C1CC1,0.30507103
CC(C)N1CC[C@H](CN)[C@H]1c1ccccc1C1CC1,0.30507103
CC(C)N1CC[C@@H](CN)[C@@H]1c1ccccc1C1CC1,0.30507103
CCn1c(N)c(c2ccccc2C2CC2)nc1C(C)C,0.37919676
CCN1CC[C@H](CN)[C@H]1c1ccccc1C1CC1,0.33114824
CCN1CC[C@@H](CN)[C@H]1c1ccccc1C1CC1,0.33114824
CCCCn1c(N)c(c2ccccc2C2CC2)nc1CC,0.3225621
C=CCn1c(N)c(c2ccccc2C2CC2)nc1C(C)C,0.3611367
CCN[C@H](c1ccccc1C1CCC1)[C@H]1C[C@H]1C,0.47808945
CCN[C@H](c1ccccc1C1CCC1)[C@@H]1C[C@H]1C,0.47808945
CCCN1CC[C@H](CN)[C@@H]1c1ccccc1C1CC1,0.25939044
CCCN1CC[C@@H](CN)[C@H]1c1ccccc1C1CC1,0.25939044
CCCN1CC[C@H](CN)[C@H]1c1ccccc1C1CC1,0.25939044
CCCN1CC[C@@H](CN)[C@@H]1c1ccccc1C1CC1,0.25939044
NN[C@@H](c1ccccc1C1CCC1)C1CC1,0.3784645
NN[C@H](c1ccccc1C1CCC1)C1CC1,0.3784645
CC(C)CN1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.3285649
CC(C)CN1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.3285649
CC(C)CN1CC[C@@H](N)[C@@H]1c1ccccc1C1CC1,0.3285649
CC(C)CN1CC[C@H](N)[C@@H]1c1ccccc1C1CC1,0.3285649
CCOc1cc(C2CCC2)c(C2CC2)cc1CO,0.65005636
CC(C)Oc1cc(C2CCCC2)c(C2CC2)cc1CO,0.6774823
C#CCn1c(N)c(c2ccccc2C2CC2)nc1CCC,0.21194594
CN(C)CCN1C(=NC[C@@H]1c1ccccc1C1CC1)N,0.19732949
CN(C)CCN1C(=NC[C@H]1c1ccccc1C1CC1)N,0.19732949
CCOc1cc(C=O)cc(C2CC2)c1C1CCC1,0.45737147
CC1(OCC(=O)O)CN(Cc2ccccc2C2CC2)C1,0.39358413
CC(C)Oc1cc(C2CCC2)c(C2CC2)cc1C=O,0.6247066
CCCN1CC[C@@H](CNC)[C@H]1c1ccccc1C1CC1,0.24900885
CCCN1CC[C@@H](CNC)[C@@H]1c1ccccc1C1CC1,0.24900885
CCCN1CC[C@H](CNC)[C@H]1c1ccccc1C1CC1,0.24900885
CCCN1CC[C@H](CNC)[C@@H]1c1ccccc1C1CC1,0.24900885
CCCc1nc(c2ccccc2C2CC2)c(N)n1CC,0.32487816
CCOc1cc(C2CCC2)c(C2CC2)cc1C=O,0.5547387
CC(C)Oc1cc(C2CCCC2)c(C2CC2)cc1C=O,0.6593414
CCNC[C@@H]1CCN(C)[C@H]1c1ccccc1C1CC1,0.38029534
CCNC[C@@H]1CCN(C)[C@@H]1c1ccccc1C1CC1,0.38029534
CCNC[C@H]1CCN(C)[C@@H]1c1ccccc1C1CC1,0.38029534
CCNC[C@H]1CCN(C)[C@H]1c1ccccc1C1CC1,0.38029534
CC(C)(C)N1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.45483068
CC(C)(C)N1CC[C@H](N)[C@@H]1c1ccccc1C1CC1,0.45483068
CC(C)(C)N1CC[C@@H](N)[C@@H]1c1ccccc1C1CC1,0.45483068
CC(C)(C)N1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.45483068
CCN1CC[C@@H](CNC)[C@H]1c1ccccc1C1CC1,0.319132
CCN1CC[C@H](CNC)[C@@H]1c1ccccc1C1CC1,0.319132
CCN1CC[C@H](CNC)[C@H]1c1ccccc1C1CC1,0.319132
CCN1CC[C@@H](CNC)[C@@H]1c1ccccc1C1CC1,0.319132
CN[C@H](c1ccccc1C1CCC1)C1C(C)(C)C1(C)C,0.24198623
CN[C@@H](c1ccccc1C1CCC1)C1C(C)(C)C1(C)C,0.24198623
CC(C)c1nc(c2ccccc2C2CC2)c(N)n1C(C)C,0.387
CC(C)NC[C@@H]1CCN(C)[C@H]1c1ccccc1C1CC1,0.3517935
CC(C)NC[C@@H]1CCN(C)[C@@H]1c1ccccc1C1CC1,0.3517935
CC(C)NC[C@H]1CCN(C)[C@H]1c1ccccc1C1CC1,0.3517935
CC(C)NC[C@H]1CCN(C)[C@@H]1c1ccccc1C1CC1,0.3517935
CNC[C@@H]1CCN(C(C)C)[C@@H]1c1ccccc1C1CC1,0.29358596
CNC[C@H]1CCN(C(C)C)[C@@H]1c1ccccc1C1CC1,0.29358596
CNC[C@H]1CCN(C(C)C)[C@H]1c1ccccc1C1CC1,0.29358596
CNC[C@@H]1CCN(C(C)C)[C@H]1c1ccccc1C1CC1,0.29358596
CC(C)NC[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.526544
CC(C)NC[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.526544
CC(C)NC[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.526544
CC(C)NC[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.526544
CC(C)CNC[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.3843278
CC(C)CNC[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.3843278
CC(C)CNC[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.3843278
CC(C)CNC[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.3843278
COCCN1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.26832604
COCCN1CC[C@H](N)[C@@H]1c1ccccc1C1CC1,0.26832604
COCCN1CC[C@@H](N)[C@@H]1c1ccccc1C1CC1,0.26832604
COCCN1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.26832604
CCCNC[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.5115312
CCCNC[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.5115312
CCCNC[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.5115312
CCCNC[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.5115312
CC(C)(C)NC[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.4880168
CC(C)(C)NC[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.4880168
CC(C)(C)NC[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.4880168
CC(C)(C)NC[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.4880168
CCCNC[C@H]1CCN(C)[C@H]1c1ccccc1C1CC1,0.3382038
CCCNC[C@@H]1CCN(C)[C@H]1c1ccccc1C1CC1,0.3382038
CCCNC[C@H]1CCN(C)[C@@H]1c1ccccc1C1CC1,0.3382038
CCCNC[C@@H]1CCN(C)[C@@H]1c1ccccc1C1CC1,0.3382038
CCN[C@@H](c1ccccc1C1CCC1)C1C(C)(C)C1(C)C,0.37529033
CCN[C@H](c1ccccc1C1CCC1)C1C(C)(C)C1(C)C,0.37529033
CCOC(=O)c1cc(OCC)c(C2CCC2)c(C2CC2)c1,0.38713595
COCCNC[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.42381573
COCCNC[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.42381573
COCCNC[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.42381573
COCCNC[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.4238158
