SMILES,MTOR
CCN[C@H](c1ccccc1C1CCC1)[C@@H]1C[C@H]1C,0.022241611
CCCN1CC[C@H](CN)[C@@H]1c1ccccc1C1CC1,0.008348867
CCCN1CC[C@@H](CN)[C@H]1c1ccccc1C1CC1,0.008348867
CCCN1CC[C@H](CN)[C@H]1c1ccccc1C1CC1,0.008348867
CCCN1CC[C@@H](CN)[C@@H]1c1ccccc1C1CC1,0.008348867
NN[C@@H](c1ccccc1C1CCC1)C1CC1,0.08048217
NN[C@H](c1ccccc1C1CCC1)C1CC1,0.08048217
CC(C)CN1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.036856487
CC(C)CN1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.036856487
CC(C)CN1CC[C@@H](N)[C@@H]1c1ccccc1C1CC1,0.036856487
CC(C)CN1CC[C@H](N)[C@@H]1c1ccccc1C1CC1,0.036856487
CCOc1cc(C2CCC2)c(C2CC2)cc1CO,0.034488615
CC(C)Oc1cc(C2CCCC2)c(C2CC2)cc1CO,0.07077072
C#CCn1c(N)c(c2ccccc2C2CC2)nc1CCC,0.16204068
CN(C)CCN1C(=NC[C@@H]1c1ccccc1C1CC1)N,0.12236186
CN(C)CCN1C(=NC[C@H]1c1ccccc1C1CC1)N,0.12236186
CCOc1cc(C=O)cc(C2CC2)c1C1CCC1,0.04599585
CC1(OCC(=O)O)CN(Cc2ccccc2C2CC2)C1,0.011038155
CC(C)Oc1cc(C2CCC2)c(C2CC2)cc1C=O,0.118716136
CCCN1CC[C@@H](CNC)[C@H]1c1ccccc1C1CC1,0.01013685
CCCN1CC[C@@H](CNC)[C@@H]1c1ccccc1C1CC1,0.01013685
CCCN1CC[C@H](CNC)[C@H]1c1ccccc1C1CC1,0.01013685
CCCN1CC[C@H](CNC)[C@@H]1c1ccccc1C1CC1,0.01013685
CCCc1nc(c2ccccc2C2CC2)c(N)n1CC,0.16721608
CCOc1cc(C2CCC2)c(C2CC2)cc1C=O,0.05124823
CC(C)Oc1cc(C2CCCC2)c(C2CC2)cc1C=O,0.12120167
CCNC[C@@H]1CCN(C)[C@H]1c1ccccc1C1CC1,0.028047154
CCNC[C@@H]1CCN(C)[C@@H]1c1ccccc1C1CC1,0.028047154
CCNC[C@H]1CCN(C)[C@@H]1c1ccccc1C1CC1,0.028047154
CCNC[C@H]1CCN(C)[C@H]1c1ccccc1C1CC1,0.028047154
CC(C)(C)N1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.06374428
CC(C)(C)N1CC[C@H](N)[C@@H]1c1ccccc1C1CC1,0.06374428
CC(C)(C)N1CC[C@@H](N)[C@@H]1c1ccccc1C1CC1,0.06374428
CC(C)(C)N1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.06374428
CCN1CC[C@@H](CNC)[C@H]1c1ccccc1C1CC1,0.03488081
CCN1CC[C@H](CNC)[C@@H]1c1ccccc1C1CC1,0.03488081
CCN1CC[C@H](CNC)[C@H]1c1ccccc1C1CC1,0.03488081
