SMILES,NTRK1
NC1=NC[C@@H](c2ccccc2C2CC2)N1,0.37883782
NC1=NC[C@H](c2ccccc2C2CC2)N1,0.37883782
NC1=NC[C@@H](c2ccccc2C2CC2)O1,0.30684808
NC1=NC[C@H](c2ccccc2C2CC2)O1,0.30684808
CC(C)(C)n1cnc(c2ccccc2C2CC2)c1N,0.34098718
N#C[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.46440446
N#C[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.46440446
N#C[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.46440446
N#C[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.46440446
CN[C@H](c1ccccc1C1CCC1)[C@@H]1C[C@H]1C,0.4158606
CN[C@H](c1ccccc1C1CCC1)[C@H]1C[C@H]1C,0.4158606
CC1([C@@H](NN)c2ccccc2C2CCC2)CC1,0.33871785
CC1([C@H](NN)c2ccccc2C2CCC2)CC1,0.33871785
CC1(C)NCC[C@H]1c1ccccc1C1CC1,0.38002658
CC1(C)NCC[C@@H]1c1ccccc1C1CC1,0.38002658
C[C@@]1(N)CNC[C@H]1c1ccccc1C1CC1,0.3089774
C[C@@]1(N)CNC[C@@H]1c1ccccc1C1CC1,0.3089774
CC1(C)C[C@H]1[C@H](N)c1ccccc1C1CCC1,0.29131716
CC1(C)C[C@@H]1[C@@H](N)c1ccccc1C1CCC1,0.29131716
CC1(C)C[C@H]1[C@@H](N)c1ccccc1C1CCC1,0.29131716
C[C@]1(N)CNC[C@H]1c1ccccc1C1CC1,0.3089774
C[C@]1(N)CNC[C@@H]1c1ccccc1C1CC1,0.3089774
CC1(C)C[C@@H]1[C@H](N)c1ccccc1C1CCC1,0.29131716
Cn1c(N)c(c2ccccc2C2CC2)nc1C(C)(C)C,0.39277804
CCc1nc(c2ccccc2C2CC2)c(N)n1CC,0.3110062
CN1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.5224832
CN1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.5224832
C[C@@H]1C[C@@H]1[C@H](N)c1ccccc1C1CCC1,0.23887813
C[C@@H]1C[C@H]1[C@H](N)c1ccccc1C1CCC1,0.23887813
CC[C@@H]1CCN[C@H]1c1ccccc1C1CC1,0.293344
CC[C@@H]1CCN[C@@H]1c1ccccc1C1CC1,0.293344
CC[C@H]1CCN[C@@H]1c1ccccc1C1CC1,0.293344
CC[C@H]1CCN[C@H]1c1ccccc1C1CC1,0.293344
C[C@@H]1C[C@H]1[C@H](O)c1ccccc1C1CCC1,0.2563352
C[C@@H]1C[C@@H]1[C@H](O)c1ccccc1C1CCC1,0.2563352
C[C@@H]1C[C@H]1[C@H](NN)c1ccccc1C1CCC1,0.3973942
C[C@@H]1C[C@H]1[C@@H](NN)c1ccccc1C1CCC1,0.3973942
C[C@@H]1C[C@@H]1[C@@H](NN)c1ccccc1C1CCC1,0.3973942
C[C@@H]1C[C@@H]1[C@H](NN)c1ccccc1C1CCC1,0.3973942
CCc1nc(c2ccccc2C2CC2)c(N)n1C(C)C,0.41790527
CCCCn1c(C)nc(c2ccccc2C2CC2)c1N,0.2773093
CC[C@@H]1N[C@H](C)C[C@H]1c1ccccc1C1CC1,0.3889881
CC(C)(C)c1nc(c2ccccc2C2CC2)c(N)n1N,0.3830041
CC(C)c1onc(c2ccccc2C2CC2)c1C(=O)O,0.25675333
Cc1nc(c2ccccc2C2CC2)c(N)n1CC(C)C,0.32174486
OC[C@@H]1CC(=NO1)c1ccccc1C1CC1,0.4391814
OC[C@H]1CC(=NO1)c1ccccc1C1CC1,0.4391814
NC[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.38933277
NC[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.38933277
NC[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.38933277
NC[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.38933277
CCCc1onc(c2ccccc2C2CC2)c1C(=O)O,0.29265943
C#CCn1c(N)c(c2ccccc2C2CC2)nc1CC,0.25307995
Cc1nc(c2ccccc2C2CC2)c(N)n1C(C)(C)C,0.24992555
CN1CC[C@@H](CN)[C@H]1c1ccccc1C1CC1,0.41944048
CN1CC[C@H](CN)[C@H]1c1ccccc1C1CC1,0.41944048
CCCn1c(N)c(c2ccccc2C2CC2)nc1CC,0.31748295
C=CCn1c(N)c(c2ccccc2C2CC2)nc1CC,0.32186675
CCN1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.39103776
CCN1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.39103776
COCCN1C(=NC[C@H]1c1ccccc1C1CC1)N,0.36277014
COCCN1C(=NC[C@@H]1c1ccccc1C1CC1)N,0.36277014
CC(C)N1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.5302627
CC(C)N1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.5302627
CC1(C)C([C@@H](N)c2ccccc2C2CCC2)C1(C)C,0.29557213
CC1(C)C([C@H](N)c2ccccc2C2CCC2)C1(C)C,0.29557213
C=CCn1c(N)c(c2ccccc2C2CC2)nc1CCC,0.30711907
CC[C@H](C)N1C(=NC[C@H]1c1ccccc1C1CC1)N,0.2752187
CC[C@H](C)N1C(=NC[C@@H]1c1ccccc1C1CC1)N,0.2752187
CC[C@@H](C)N1C(=NC[C@H]1c1ccccc1C1CC1)N,0.2752187
CC[C@@H](C)N1C(=NC[C@@H]1c1ccccc1C1CC1)N,0.2752187
CCCN[C@H](c1ccccc1C1CCC1)[C@@H]1C[C@@H]1C,0.2622105
CCCN[C@H](c1ccccc1C1CCC1)[C@H]1C[C@H]1C,0.2622105
CCCN[C@H](c1ccccc1C1CCC1)[C@H]1C[C@@H]1C,0.2622105
CCCN[C@H](c1ccccc1C1CCC1)[C@@H]1C[C@H]1C,0.2622105
C[C@@H]1CN[C@@H](c2ccccc2C2CC2)C1,0.42419073
C[C@H]1CN[C@@H](c2ccccc2C2CC2)C1,0.42419073
C[C@@H]1CN[C@H](c2ccccc2C2CC2)C1,0.42419073
C[C@H]1CN[C@H](c2ccccc2C2CC2)C1,0.42419073
CCCN[C@@H](c1ccccc1C1CCC1)C1(C)CC1,0.25690293
CCCN[C@H](c1ccccc1C1CCC1)C1(C)CC1,0.25690293
NS(=O)(=O)c1c(C(F)(F)F)ccc(C2CC2)c1c1nn[nH]n1,0.23436712
CC(C)Cc1onc(c2ccccc2C2CC2)c1C(=O)O,0.27211446
CCOc1cc(C=O)cc(C2CC2)c1C1CCCC1,0.26704353
C[C@@]1(C(=O)N)C[N@H+](Cc2ccccc2C2CC2)C1,0.40751702
CC(C)CN1C(=NC[C@H]1c1ccccc1C1CC1)N,0.3660044
CC(C)CN1C(=NC[C@@H]1c1ccccc1C1CC1)N,0.3660044
CC(C)N1CC[C@@H](CN)[C@H]1c1ccccc1C1CC1,0.45602563
CC(C)N1CC[C@H](CN)[C@@H]1c1ccccc1C1CC1,0.45602563
CC(C)N1CC[C@H](CN)[C@H]1c1ccccc1C1CC1,0.45602563
CC(C)N1CC[C@@H](CN)[C@@H]1c1ccccc1C1CC1,0.45602563
CCn1c(N)c(c2ccccc2C2CC2)nc1C(C)C,0.3982029
CCN1CC[C@H](CN)[C@H]1c1ccccc1C1CC1,0.29448348
CCN1CC[C@@H](CN)[C@H]1c1ccccc1C1CC1,0.29448348
CCCCn1c(N)c(c2ccccc2C2CC2)nc1CC,0.3275443
C=CCn1c(N)c(c2ccccc2C2CC2)nc1C(C)C,0.3729683
CCN[C@H](c1ccccc1C1CCC1)[C@H]1C[C@H]1C,0.24156466
CCN[C@H](c1ccccc1C1CCC1)[C@@H]1C[C@H]1C,0.24156466
CCCN1CC[C@H](CN)[C@@H]1c1ccccc1C1CC1,0.35602552
CCCN1CC[C@@H](CN)[C@H]1c1ccccc1C1CC1,0.35602552
CCCN1CC[C@H](CN)[C@H]1c1ccccc1C1CC1,0.35602552
CCCN1CC[C@@H](CN)[C@@H]1c1ccccc1C1CC1,0.35602552
NN[C@@H](c1ccccc1C1CCC1)C1CC1,0.4090829
NN[C@H](c1ccccc1C1CCC1)C1CC1,0.4090829
CC(C)CN1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.47629243
CC(C)CN1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.47629243
CC(C)CN1CC[C@@H](N)[C@@H]1c1ccccc1C1CC1,0.47629243
CC(C)CN1CC[C@H](N)[C@@H]1c1ccccc1C1CC1,0.47629243
CCOc1cc(C2CCC2)c(C2CC2)cc1CO,0.28524953
CC(C)Oc1cc(C2CCCC2)c(C2CC2)cc1CO,0.4074171
C#CCn1c(N)c(c2ccccc2C2CC2)nc1CCC,0.240367
CN(C)CCN1C(=NC[C@@H]1c1ccccc1C1CC1)N,0.2828663
CN(C)CCN1C(=NC[C@H]1c1ccccc1C1CC1)N,0.2828663
CCOc1cc(C=O)cc(C2CC2)c1C1CCC1,0.28436083
CC1(OCC(=O)O)CN(Cc2ccccc2C2CC2)C1,0.42899674
CC(C)Oc1cc(C2CCC2)c(C2CC2)cc1C=O,0.292628
CCCN1CC[C@@H](CNC)[C@H]1c1ccccc1C1CC1,0.3149288
CCCN1CC[C@@H](CNC)[C@@H]1c1ccccc1C1CC1,0.3149288
CCCN1CC[C@H](CNC)[C@H]1c1ccccc1C1CC1,0.3149288
CCCN1CC[C@H](CNC)[C@@H]1c1ccccc1C1CC1,0.3149288
CCCc1nc(c2ccccc2C2CC2)c(N)n1CC,0.29653865
CCOc1cc(C2CCC2)c(C2CC2)cc1C=O,0.20172425
CC(C)Oc1cc(C2CCCC2)c(C2CC2)cc1C=O,0.27500084
CCNC[C@@H]1CCN(C)[C@H]1c1ccccc1C1CC1,0.37588584
CCNC[C@@H]1CCN(C)[C@@H]1c1ccccc1C1CC1,0.37588584
CCNC[C@H]1CCN(C)[C@@H]1c1ccccc1C1CC1,0.37588584
CCNC[C@H]1CCN(C)[C@H]1c1ccccc1C1CC1,0.37588584
CC(C)(C)N1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.3478344
CC(C)(C)N1CC[C@H](N)[C@@H]1c1ccccc1C1CC1,0.3478344
CC(C)(C)N1CC[C@@H](N)[C@@H]1c1ccccc1C1CC1,0.3478344
CC(C)(C)N1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.3478344
CCN1CC[C@@H](CNC)[C@H]1c1ccccc1C1CC1,0.2576484
CCN1CC[C@H](CNC)[C@@H]1c1ccccc1C1CC1,0.2576484
CCN1CC[C@H](CNC)[C@H]1c1ccccc1C1CC1,0.2576484
CCN1CC[C@@H](CNC)[C@@H]1c1ccccc1C1CC1,0.2576484
CN[C@H](c1ccccc1C1CCC1)C1C(C)(C)C1(C)C,0.52812874
CN[C@@H](c1ccccc1C1CCC1)C1C(C)(C)C1(C)C,0.52812874
CC(C)c1nc(c2ccccc2C2CC2)c(N)n1C(C)C,0.40883273
CC(C)NC[C@@H]1CCN(C)[C@H]1c1ccccc1C1CC1,0.43775436
CC(C)NC[C@@H]1CCN(C)[C@@H]1c1ccccc1C1CC1,0.43775436
CC(C)NC[C@H]1CCN(C)[C@H]1c1ccccc1C1CC1,0.43775436
CC(C)NC[C@H]1CCN(C)[C@@H]1c1ccccc1C1CC1,0.43775436
CNC[C@@H]1CCN(C(C)C)[C@@H]1c1ccccc1C1CC1,0.41074836
CNC[C@H]1CCN(C(C)C)[C@@H]1c1ccccc1C1CC1,0.41074836
CNC[C@H]1CCN(C(C)C)[C@H]1c1ccccc1C1CC1,0.41074836
CNC[C@@H]1CCN(C(C)C)[C@H]1c1ccccc1C1CC1,0.41074836
CC(C)NC[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.4014828
CC(C)NC[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.4014828
CC(C)NC[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.4014828
CC(C)NC[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.4014828
CC(C)CNC[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.36784065
CC(C)CNC[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.36784065
CC(C)CNC[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.36784065
CC(C)CNC[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.36784065
COCCN1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.50486195
COCCN1CC[C@H](N)[C@@H]1c1ccccc1C1CC1,0.50486195
COCCN1CC[C@@H](N)[C@@H]1c1ccccc1C1CC1,0.50486195
COCCN1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.50486195
CCCNC[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.2817559
CCCNC[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.2817559
CCCNC[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.2817559
CCCNC[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.2817559
CC(C)(C)NC[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.31419182
CC(C)(C)NC[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.31419182
CC(C)(C)NC[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.31419182
CC(C)(C)NC[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.31419182
CCCNC[C@H]1CCN(C)[C@H]1c1ccccc1C1CC1,0.31286514
CCCNC[C@@H]1CCN(C)[C@H]1c1ccccc1C1CC1,0.31286514
CCCNC[C@H]1CCN(C)[C@@H]1c1ccccc1C1CC1,0.31286514
CCCNC[C@@H]1CCN(C)[C@@H]1c1ccccc1C1CC1,0.31286514
CCN[C@@H](c1ccccc1C1CCC1)C1C(C)(C)C1(C)C,0.33178207
CCN[C@H](c1ccccc1C1CCC1)C1C(C)(C)C1(C)C,0.33178207
CCOC(=O)c1cc(OCC)c(C2CCC2)c(C2CC2)c1,0.28360534
COCCNC[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.3780698
COCCNC[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.3780698
COCCNC[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.3780698
COCCNC[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.37806973
