SMILES,PDE4B
CCCN[C@H](c1ccccc1C1CCC1)[C@H]1C[C@H]1C,0.09779684
CCCN[C@H](c1ccccc1C1CCC1)[C@H]1C[C@@H]1C,0.09779684
CCCN[C@H](c1ccccc1C1CCC1)[C@@H]1C[C@H]1C,0.09779684
C[C@@H]1CN[C@@H](c2ccccc2C2CC2)C1,0.18534485
C[C@H]1CN[C@@H](c2ccccc2C2CC2)C1,0.18534485
C[C@@H]1CN[C@H](c2ccccc2C2CC2)C1,0.18534485
C[C@H]1CN[C@H](c2ccccc2C2CC2)C1,0.18534485
CCCN[C@@H](c1ccccc1C1CCC1)C1(C)CC1,0.1112927
CCCN[C@H](c1ccccc1C1CCC1)C1(C)CC1,0.1112927
NS(=O)(=O)c1c(C(F)(F)F)ccc(C2CC2)c1c1nn[nH]n1,0.16571058
CC(C)Cc1onc(c2ccccc2C2CC2)c1C(=O)O,0.14602126
CCOc1cc(C=O)cc(C2CC2)c1C1CCCC1,0.4716155
C[C@@]1(C(=O)N)C[N@H+](Cc2ccccc2C2CC2)C1,0.064457886
CC(C)CN1C(=NC[C@H]1c1ccccc1C1CC1)N,0.07688499
CC(C)CN1C(=NC[C@@H]1c1ccccc1C1CC1)N,0.07688499
CC(C)N1CC[C@@H](CN)[C@H]1c1ccccc1C1CC1,0.12615198
CC(C)N1CC[C@H](CN)[C@@H]1c1ccccc1C1CC1,0.12615198
CC(C)N1CC[C@H](CN)[C@H]1c1ccccc1C1CC1,0.12615198
CC(C)N1CC[C@@H](CN)[C@@H]1c1ccccc1C1CC1,0.12615198
CCn1c(N)c(c2ccccc2C2CC2)nc1C(C)C,0.4592543
CCN1CC[C@H](CN)[C@H]1c1ccccc1C1CC1,0.107763246
CCN1CC[C@@H](CN)[C@H]1c1ccccc1C1CC1,0.107763246
CCCCn1c(N)c(c2ccccc2C2CC2)nc1CC,0.10128043
C=CCn1c(N)c(c2ccccc2C2CC2)nc1C(C)C,0.31130263
CCN[C@H](c1ccccc1C1CCC1)[C@H]1C[C@H]1C,0.09947487
CCN[C@H](c1ccccc1C1CCC1)[C@@H]1C[C@H]1C,0.09947487
CCCN1CC[C@H](CN)[C@@H]1c1ccccc1C1CC1,0.05826467
CCCN1CC[C@@H](CN)[C@H]1c1ccccc1C1CC1,0.05826467
CCCN1CC[C@H](CN)[C@H]1c1ccccc1C1CC1,0.05826467
CCCN1CC[C@@H](CN)[C@@H]1c1ccccc1C1CC1,0.05826467
NN[C@@H](c1ccccc1C1CCC1)C1CC1,0.044985037
NN[C@H](c1ccccc1C1CCC1)C1CC1,0.044985037
CC(C)CN1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.047429238
CC(C)CN1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.047429238
CC(C)CN1CC[C@@H](N)[C@@H]1c1ccccc1C1CC1,0.047429238
CC(C)CN1CC[C@H](N)[C@@H]1c1ccccc1C1CC1,0.047429238
CCOc1cc(C2CCC2)c(C2CC2)cc1CO,0.35985723
CC(C)Oc1cc(C2CCCC2)c(C2CC2)cc1CO,0.39378992
C#CCn1c(N)c(c2ccccc2C2CC2)nc1CCC,0.059853613
CN(C)CCN1C(=NC[C@@H]1c1ccccc1C1CC1)N,0.061567284
CN(C)CCN1C(=NC[C@H]1c1ccccc1C1CC1)N,0.061567284
CCOc1cc(C=O)cc(C2CC2)c1C1CCC1,0.42791724
CC1(OCC(=O)O)CN(Cc2ccccc2C2CC2)C1,0.088834785
