SMILES,TTK
CCCN[C@H](c1ccccc1C1CCC1)[C@@H]1C[C@H]1C,0.08677019
C[C@@H]1CN[C@@H](c2ccccc2C2CC2)C1,0.06556261
C[C@H]1CN[C@@H](c2ccccc2C2CC2)C1,0.06556261
C[C@@H]1CN[C@H](c2ccccc2C2CC2)C1,0.06556261
C[C@H]1CN[C@H](c2ccccc2C2CC2)C1,0.06556261
CCCN[C@@H](c1ccccc1C1CCC1)C1(C)CC1,0.056131616
CCCN[C@H](c1ccccc1C1CCC1)C1(C)CC1,0.056131616
NS(=O)(=O)c1c(C(F)(F)F)ccc(C2CC2)c1c1nn[nH]n1,0.12691157
CC(C)Cc1onc(c2ccccc2C2CC2)c1C(=O)O,0.09558438
CCOc1cc(C=O)cc(C2CC2)c1C1CCCC1,0.058337703
C[C@@]1(C(=O)N)C[N@H+](Cc2ccccc2C2CC2)C1,0.0899537
CC(C)CN1C(=NC[C@H]1c1ccccc1C1CC1)N,0.03682117
CC(C)CN1C(=NC[C@@H]1c1ccccc1C1CC1)N,0.03682117
CC(C)N1CC[C@@H](CN)[C@H]1c1ccccc1C1CC1,0.03555375
CC(C)N1CC[C@H](CN)[C@@H]1c1ccccc1C1CC1,0.03555375
CC(C)N1CC[C@H](CN)[C@H]1c1ccccc1C1CC1,0.03555375
CC(C)N1CC[C@@H](CN)[C@@H]1c1ccccc1C1CC1,0.03555375
CCn1c(N)c(c2ccccc2C2CC2)nc1C(C)C,0.0696848
CCN1CC[C@H](CN)[C@H]1c1ccccc1C1CC1,0.058547344
CCN1CC[C@@H](CN)[C@H]1c1ccccc1C1CC1,0.058547344
CCCCn1c(N)c(c2ccccc2C2CC2)nc1CC,0.037700076
C=CCn1c(N)c(c2ccccc2C2CC2)nc1C(C)C,0.10375098
CCN[C@H](c1ccccc1C1CCC1)[C@H]1C[C@H]1C,0.13369085
CCN[C@H](c1ccccc1C1CCC1)[C@@H]1C[C@H]1C,0.13369085
CCCN1CC[C@H](CN)[C@@H]1c1ccccc1C1CC1,0.04575943
CCCN1CC[C@@H](CN)[C@H]1c1ccccc1C1CC1,0.04575943
CCCN1CC[C@H](CN)[C@H]1c1ccccc1C1CC1,0.04575943
CCCN1CC[C@@H](CN)[C@@H]1c1ccccc1C1CC1,0.04575943
NN[C@@H](c1ccccc1C1CCC1)C1CC1,0.16864145
NN[C@H](c1ccccc1C1CCC1)C1CC1,0.16864145
CC(C)CN1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.06652713
CC(C)CN1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.06652713
CC(C)CN1CC[C@@H](N)[C@@H]1c1ccccc1C1CC1,0.06652713
CC(C)CN1CC[C@H](N)[C@@H]1c1ccccc1C1CC1,0.06652713
CCOc1cc(C2CCC2)c(C2CC2)cc1CO,0.083338775
CC(C)Oc1cc(C2CCCC2)c(C2CC2)cc1CO,0.09066454
C#CCn1c(N)c(c2ccccc2C2CC2)nc1CCC,0.028148603
CN(C)CCN1C(=NC[C@@H]1c1ccccc1C1CC1)N,0.039744183
CN(C)CCN1C(=NC[C@H]1c1ccccc1C1CC1)N,0.039744183
CCOc1cc(C=O)cc(C2CC2)c1C1CCC1,0.05069639
CC1(OCC(=O)O)CN(Cc2ccccc2C2CC2)C1,0.053806517
CC(C)Oc1cc(C2CCC2)c(C2CC2)cc1C=O,0.051342886
CCCN1CC[C@@H](CNC)[C@H]1c1ccccc1C1CC1,0.049260903
CCCN1CC[C@@H](CNC)[C@@H]1c1ccccc1C1CC1,0.049260903
CCCN1CC[C@H](CNC)[C@H]1c1ccccc1C1CC1,0.049260903
CCCN1CC[C@H](CNC)[C@@H]1c1ccccc1C1CC1,0.049260903
CCCc1nc(c2ccccc2C2CC2)c(N)n1CC,0.03243995
CCOc1cc(C2CCC2)c(C2CC2)cc1C=O,0.057886705
CC(C)Oc1cc(C2CCCC2)c(C2CC2)cc1C=O,0.05907557
CCNC[C@@H]1CCN(C)[C@H]1c1ccccc1C1CC1,0.03284857
CCNC[C@@H]1CCN(C)[C@@H]1c1ccccc1C1CC1,0.03284857
CCNC[C@H]1CCN(C)[C@@H]1c1ccccc1C1CC1,0.03284857
CCNC[C@H]1CCN(C)[C@H]1c1ccccc1C1CC1,0.03284857
CC(C)(C)N1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.04117749
CC(C)(C)N1CC[C@H](N)[C@@H]1c1ccccc1C1CC1,0.04117749
CC(C)(C)N1CC[C@@H](N)[C@@H]1c1ccccc1C1CC1,0.04117749
CC(C)(C)N1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.04117749
CCN1CC[C@@H](CNC)[C@H]1c1ccccc1C1CC1,0.06296273
CCN1CC[C@H](CNC)[C@@H]1c1ccccc1C1CC1,0.06296273
CCN1CC[C@H](CNC)[C@H]1c1ccccc1C1CC1,0.06296273
CCN1CC[C@@H](CNC)[C@@H]1c1ccccc1C1CC1,0.06296273
CN[C@H](c1ccccc1C1CCC1)C1C(C)(C)C1(C)C,0.18359384
CN[C@@H](c1ccccc1C1CCC1)C1C(C)(C)C1(C)C,0.18359384
CC(C)c1nc(c2ccccc2C2CC2)c(N)n1C(C)C,0.07666945
CC(C)NC[C@@H]1CCN(C)[C@H]1c1ccccc1C1CC1,0.038966518
CC(C)NC[C@@H]1CCN(C)[C@@H]1c1ccccc1C1CC1,0.038966518
CC(C)NC[C@H]1CCN(C)[C@H]1c1ccccc1C1CC1,0.038966518
CC(C)NC[C@H]1CCN(C)[C@@H]1c1ccccc1C1CC1,0.038966518
CNC[C@@H]1CCN(C(C)C)[C@@H]1c1ccccc1C1CC1,0.038305644
CNC[C@H]1CCN(C(C)C)[C@@H]1c1ccccc1C1CC1,0.038305644
CNC[C@H]1CCN(C(C)C)[C@H]1c1ccccc1C1CC1,0.038305644
