SMILES,EGFR
N[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.033041183
N[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.033041183
N[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.033041183
C[C@H]1C[C@@H](c2ccccc2C2CC2)CN1,0.06582089
C[C@@H]1C[C@H](c2ccccc2C2CC2)CN1,0.06582089
C[C@H]1C[C@H](c2ccccc2C2CC2)CN1,0.06582089
C[C@@H]1C[C@@H](c2ccccc2C2CC2)CN1,0.06582089
CCC[C@H](N)c1cc(c2ccccc2C2CC2)no1,0.013318304
CCC[C@@H](N)c1cc(c2ccccc2C2CC2)no1,0.013318304
O[C@@H]1CN[C@H](c2ccccc2C2CC2)C1,0.11295494
O[C@H]1CN[C@@H](c2ccccc2C2CC2)C1,0.11295494
O[C@H]1CN[C@H](c2ccccc2C2CC2)C1,0.11295494
O[C@@H]1CN[C@@H](c2ccccc2C2CC2)C1,0.11295494
CC1(C#N)CN(Cc2ccccc2C2CC2)C1,0.74858934
NC1=NC[C@@H](c2ccccc2C2CC2)N1,0.17640102
NC1=NC[C@H](c2ccccc2C2CC2)N1,0.17640102
NC1=NC[C@@H](c2ccccc2C2CC2)O1,0.01073094
NC1=NC[C@H](c2ccccc2C2CC2)O1,0.01073094
CC(C)(C)n1cnc(c2ccccc2C2CC2)c1N,0.06907735
N#C[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.0418947
N#C[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.0418947
N#C[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.0418947
N#C[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.0418947
CN[C@H](c1ccccc1C1CCC1)[C@@H]1C[C@H]1C,0.06161251
CN[C@H](c1ccccc1C1CCC1)[C@H]1C[C@H]1C,0.06161251
CC1([C@@H](NN)c2ccccc2C2CCC2)CC1,0.043766435
CC1([C@H](NN)c2ccccc2C2CCC2)CC1,0.043766435
CC1(C)NCC[C@H]1c1ccccc1C1CC1,0.11168026
CC1(C)NCC[C@@H]1c1ccccc1C1CC1,0.11168026
C[C@@]1(N)CNC[C@H]1c1ccccc1C1CC1,0.23557642
C[C@@]1(N)CNC[C@@H]1c1ccccc1C1CC1,0.23557642
CC1(C)C[C@H]1[C@H](N)c1ccccc1C1CCC1,0.08936857
CC1(C)C[C@@H]1[C@@H](N)c1ccccc1C1CCC1,0.08936857
CC1(C)C[C@H]1[C@@H](N)c1ccccc1C1CCC1,0.08936857
C[C@]1(N)CNC[C@H]1c1ccccc1C1CC1,0.23557642
C[C@]1(N)CNC[C@@H]1c1ccccc1C1CC1,0.23557642
CC1(C)C[C@@H]1[C@H](N)c1ccccc1C1CCC1,0.08936857
Cn1c(N)c(c2ccccc2C2CC2)nc1C(C)(C)C,0.06396383
CCc1nc(c2ccccc2C2CC2)c(N)n1CC,0.06449232
CN1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.07729488
CN1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.07729488
C[C@@H]1C[C@@H]1[C@H](N)c1ccccc1C1CCC1,0.08526462
C[C@@H]1C[C@H]1[C@H](N)c1ccccc1C1CCC1,0.08526462
CC[C@@H]1CCN[C@H]1c1ccccc1C1CC1,0.09373109
CC[C@@H]1CCN[C@@H]1c1ccccc1C1CC1,0.09373109
CC[C@H]1CCN[C@@H]1c1ccccc1C1CC1,0.09373109
CC[C@H]1CCN[C@H]1c1ccccc1C1CC1,0.09373109
C[C@@H]1C[C@H]1[C@H](O)c1ccccc1C1CCC1,0.13321233
C[C@@H]1C[C@@H]1[C@H](O)c1ccccc1C1CCC1,0.13321233
C[C@@H]1C[C@H]1[C@H](NN)c1ccccc1C1CCC1,0.029209659
C[C@@H]1C[C@H]1[C@@H](NN)c1ccccc1C1CCC1,0.029209659
C[C@@H]1C[C@@H]1[C@@H](NN)c1ccccc1C1CCC1,0.029209659
C[C@@H]1C[C@@H]1[C@H](NN)c1ccccc1C1CCC1,0.029209659
CCc1nc(c2ccccc2C2CC2)c(N)n1C(C)C,0.060145225
CCCCn1c(C)nc(c2ccccc2C2CC2)c1N,0.06478785
CC[C@@H]1N[C@H](C)C[C@H]1c1ccccc1C1CC1,0.019297492
CC(C)(C)c1nc(c2ccccc2C2CC2)c(N)n1N,0.07804278
CC(C)c1onc(c2ccccc2C2CC2)c1C(=O)O,0.029469166
Cc1nc(c2ccccc2C2CC2)c(N)n1CC(C)C,0.016503563
OC[C@@H]1CC(=NO1)c1ccccc1C1CC1,0.05296909
OC[C@H]1CC(=NO1)c1ccccc1C1CC1,0.05296909
NC[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.018200379
NC[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.018200379
NC[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.018200379
NC[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.018200379
CCCc1onc(c2ccccc2C2CC2)c1C(=O)O,0.023730334
C#CCn1c(N)c(c2ccccc2C2CC2)nc1CC,0.15988246
Cc1nc(c2ccccc2C2CC2)c(N)n1C(C)(C)C,0.03244288
CN1CC[C@@H](CN)[C@H]1c1ccccc1C1CC1,0.07620943
CN1CC[C@H](CN)[C@H]1c1ccccc1C1CC1,0.07620943
CCCn1c(N)c(c2ccccc2C2CC2)nc1CC,0.049439523
C=CCn1c(N)c(c2ccccc2C2CC2)nc1CC,0.13180432
CCN1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.041425142
CCN1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.041425142
COCCN1C(=NC[C@H]1c1ccccc1C1CC1)N,0.08858112
COCCN1C(=NC[C@@H]1c1ccccc1C1CC1)N,0.08858112
CC(C)N1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.010555349
CC(C)N1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.010555349
CC1(C)C([C@@H](N)c2ccccc2C2CCC2)C1(C)C,0.084880486
CC1(C)C([C@H](N)c2ccccc2C2CCC2)C1(C)C,0.084880486
C=CCn1c(N)c(c2ccccc2C2CC2)nc1CCC,0.19567692
CC[C@H](C)N1C(=NC[C@H]1c1ccccc1C1CC1)N,0.023523452
CC[C@H](C)N1C(=NC[C@@H]1c1ccccc1C1CC1)N,0.023523452
CC[C@@H](C)N1C(=NC[C@H]1c1ccccc1C1CC1)N,0.023523452
CC[C@@H](C)N1C(=NC[C@@H]1c1ccccc1C1CC1)N,0.023523452
CCCN[C@H](c1ccccc1C1CCC1)[C@@H]1C[C@@H]1C,0.036937222
CCCN[C@H](c1ccccc1C1CCC1)[C@H]1C[C@H]1C,0.036937222
CCCN[C@H](c1ccccc1C1CCC1)[C@H]1C[C@@H]1C,0.036937222
CCCN[C@H](c1ccccc1C1CCC1)[C@@H]1C[C@H]1C,0.036937222
C[C@@H]1CN[C@@H](c2ccccc2C2CC2)C1,0.17743497
C[C@H]1CN[C@@H](c2ccccc2C2CC2)C1,0.17743497
C[C@@H]1CN[C@H](c2ccccc2C2CC2)C1,0.17743497
C[C@H]1CN[C@H](c2ccccc2C2CC2)C1,0.17743497
CCCN[C@@H](c1ccccc1C1CCC1)C1(C)CC1,0.03651978
CCCN[C@H](c1ccccc1C1CCC1)C1(C)CC1,0.03651978
NS(=O)(=O)c1c(C(F)(F)F)ccc(C2CC2)c1c1nn[nH]n1,0.0033519175
CC(C)Cc1onc(c2ccccc2C2CC2)c1C(=O)O,0.0055706045
CCOc1cc(C=O)cc(C2CC2)c1C1CCCC1,0.16172537
C[C@@]1(C(=O)N)C[N@H+](Cc2ccccc2C2CC2)C1,0.027887005
CC(C)CN1C(=NC[C@H]1c1ccccc1C1CC1)N,0.01207821
CC(C)CN1C(=NC[C@@H]1c1ccccc1C1CC1)N,0.01207821
CC(C)N1CC[C@@H](CN)[C@H]1c1ccccc1C1CC1,0.008514088
CC(C)N1CC[C@H](CN)[C@@H]1c1ccccc1C1CC1,0.008514088
CC(C)N1CC[C@H](CN)[C@H]1c1ccccc1C1CC1,0.008514088
CC(C)N1CC[C@@H](CN)[C@@H]1c1ccccc1C1CC1,0.008514088
CCn1c(N)c(c2ccccc2C2CC2)nc1C(C)C,0.022145461
CCN1CC[C@H](CN)[C@H]1c1ccccc1C1CC1,0.025478464
CCN1CC[C@@H](CN)[C@H]1c1ccccc1C1CC1,0.025478464
CCCCn1c(N)c(c2ccccc2C2CC2)nc1CC,0.038821798
C=CCn1c(N)c(c2ccccc2C2CC2)nc1C(C)C,0.15824094
CCN[C@H](c1ccccc1C1CCC1)[C@H]1C[C@H]1C,0.079691075
CCN[C@H](c1ccccc1C1CCC1)[C@@H]1C[C@H]1C,0.079691075
CCCN1CC[C@H](CN)[C@@H]1c1ccccc1C1CC1,0.054979693
CCCN1CC[C@@H](CN)[C@H]1c1ccccc1C1CC1,0.054979693
CCCN1CC[C@H](CN)[C@H]1c1ccccc1C1CC1,0.054979693
CCCN1CC[C@@H](CN)[C@@H]1c1ccccc1C1CC1,0.054979693
NN[C@@H](c1ccccc1C1CCC1)C1CC1,0.110798694
NN[C@H](c1ccccc1C1CCC1)C1CC1,0.110798694
CC(C)CN1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.005808075
CC(C)CN1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.005808075
CC(C)CN1CC[C@@H](N)[C@@H]1c1ccccc1C1CC1,0.005808075
CC(C)CN1CC[C@H](N)[C@@H]1c1ccccc1C1CC1,0.005808075
CCOc1cc(C2CCC2)c(C2CC2)cc1CO,0.13392192
CC(C)Oc1cc(C2CCCC2)c(C2CC2)cc1CO,0.103628926
C#CCn1c(N)c(c2ccccc2C2CC2)nc1CCC,0.23369904
CN(C)CCN1C(=NC[C@@H]1c1ccccc1C1CC1)N,0.058557596
CN(C)CCN1C(=NC[C@H]1c1ccccc1C1CC1)N,0.058557596
CCOc1cc(C=O)cc(C2CC2)c1C1CCC1,0.20406142
CC1(OCC(=O)O)CN(Cc2ccccc2C2CC2)C1,0.06058641
CC(C)Oc1cc(C2CCC2)c(C2CC2)cc1C=O,0.0707998
CCCN1CC[C@@H](CNC)[C@H]1c1ccccc1C1CC1,0.05580416
CCCN1CC[C@@H](CNC)[C@@H]1c1ccccc1C1CC1,0.05580416
CCCN1CC[C@H](CNC)[C@H]1c1ccccc1C1CC1,0.05580416
CCCN1CC[C@H](CNC)[C@@H]1c1ccccc1C1CC1,0.05580416
CCCc1nc(c2ccccc2C2CC2)c(N)n1CC,0.099483185
CCOc1cc(C2CCC2)c(C2CC2)cc1C=O,0.1199377
CC(C)Oc1cc(C2CCCC2)c(C2CC2)cc1C=O,0.054227553
CCNC[C@@H]1CCN(C)[C@H]1c1ccccc1C1CC1,0.11794988
CCNC[C@@H]1CCN(C)[C@@H]1c1ccccc1C1CC1,0.11794988
CCNC[C@H]1CCN(C)[C@@H]1c1ccccc1C1CC1,0.11794988
CCNC[C@H]1CCN(C)[C@H]1c1ccccc1C1CC1,0.11794988
CC(C)(C)N1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.012678104
CC(C)(C)N1CC[C@H](N)[C@@H]1c1ccccc1C1CC1,0.012678104
CC(C)(C)N1CC[C@@H](N)[C@@H]1c1ccccc1C1CC1,0.012678104
CC(C)(C)N1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.012678104
CCN1CC[C@@H](CNC)[C@H]1c1ccccc1C1CC1,0.025872616
CCN1CC[C@H](CNC)[C@@H]1c1ccccc1C1CC1,0.025872616
CCN1CC[C@H](CNC)[C@H]1c1ccccc1C1CC1,0.025872616
CCN1CC[C@@H](CNC)[C@@H]1c1ccccc1C1CC1,0.025872616
CN[C@H](c1ccccc1C1CCC1)C1C(C)(C)C1(C)C,0.034778517
CN[C@@H](c1ccccc1C1CCC1)C1C(C)(C)C1(C)C,0.034778517
CC(C)c1nc(c2ccccc2C2CC2)c(N)n1C(C)C,0.03451179
CC(C)NC[C@@H]1CCN(C)[C@H]1c1ccccc1C1CC1,0.036631197
CC(C)NC[C@@H]1CCN(C)[C@@H]1c1ccccc1C1CC1,0.036631197
CC(C)NC[C@H]1CCN(C)[C@H]1c1ccccc1C1CC1,0.036631197
CC(C)NC[C@H]1CCN(C)[C@@H]1c1ccccc1C1CC1,0.036631197
CNC[C@@H]1CCN(C(C)C)[C@@H]1c1ccccc1C1CC1,0.008648122
CNC[C@H]1CCN(C(C)C)[C@@H]1c1ccccc1C1CC1,0.008648122
CNC[C@H]1CCN(C(C)C)[C@H]1c1ccccc1C1CC1,0.008648122
CNC[C@@H]1CCN(C(C)C)[C@H]1c1ccccc1C1CC1,0.008648122
CC(C)NC[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.016412567
CC(C)NC[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.016412567
CC(C)NC[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.016412567
CC(C)NC[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.016412567
CC(C)CNC[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.004485309
CC(C)CNC[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.004485309
CC(C)CNC[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.004485309
CC(C)CNC[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.004485309
COCCN1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.04501991
COCCN1CC[C@H](N)[C@@H]1c1ccccc1C1CC1,0.04501991
COCCN1CC[C@@H](N)[C@@H]1c1ccccc1C1CC1,0.04501991
COCCN1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.04501991
CCCNC[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.01296955
CCCNC[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.01296955
CCCNC[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.01296955
CCCNC[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.01296955
CC(C)(C)NC[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.007305824
CC(C)(C)NC[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.007305824
CC(C)(C)NC[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.007305824
CC(C)(C)NC[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.007305824
CCCNC[C@H]1CCN(C)[C@H]1c1ccccc1C1CC1,0.02907215
CCCNC[C@@H]1CCN(C)[C@H]1c1ccccc1C1CC1,0.02907215
CCCNC[C@H]1CCN(C)[C@@H]1c1ccccc1C1CC1,0.02907215
CCCNC[C@@H]1CCN(C)[C@@H]1c1ccccc1C1CC1,0.02907215
CCN[C@@H](c1ccccc1C1CCC1)C1C(C)(C)C1(C)C,0.07933703
CCN[C@H](c1ccccc1C1CCC1)C1C(C)(C)C1(C)C,0.07933703
CCOC(=O)c1cc(OCC)c(C2CCC2)c(C2CC2)c1,0.3071243
COCCNC[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.050302755
COCCNC[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.050302755
COCCNC[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.050302755
COCCNC[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.05030274
