SMILES,PTAFR
CC(C)Oc1cc(C2CCCC2)c(C2CC2)cc1CO,0.07583576
C#CCn1c(N)c(c2ccccc2C2CC2)nc1CCC,0.29052058
CN(C)CCN1C(=NC[C@@H]1c1ccccc1C1CC1)N,0.056804728
CN(C)CCN1C(=NC[C@H]1c1ccccc1C1CC1)N,0.056804728
CCOc1cc(C=O)cc(C2CC2)c1C1CCC1,0.25836372
CC1(OCC(=O)O)CN(Cc2ccccc2C2CC2)C1,0.43512467
CC(C)Oc1cc(C2CCC2)c(C2CC2)cc1C=O,0.17375496
CCCN1CC[C@@H](CNC)[C@H]1c1ccccc1C1CC1,0.24321075
CCCN1CC[C@@H](CNC)[C@@H]1c1ccccc1C1CC1,0.24321075
CCCN1CC[C@H](CNC)[C@H]1c1ccccc1C1CC1,0.24321075
CCCN1CC[C@H](CNC)[C@@H]1c1ccccc1C1CC1,0.24321075
CCCc1nc(c2ccccc2C2CC2)c(N)n1CC,0.11520761
CCOc1cc(C2CCC2)c(C2CC2)cc1C=O,0.15258901
CC(C)Oc1cc(C2CCCC2)c(C2CC2)cc1C=O,0.14934339
CCNC[C@@H]1CCN(C)[C@H]1c1ccccc1C1CC1,0.061142188
CCNC[C@@H]1CCN(C)[C@@H]1c1ccccc1C1CC1,0.061142188
CCNC[C@H]1CCN(C)[C@@H]1c1ccccc1C1CC1,0.061142188
CCNC[C@H]1CCN(C)[C@H]1c1ccccc1C1CC1,0.061142188
CC(C)(C)N1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.20434622
CC(C)(C)N1CC[C@H](N)[C@@H]1c1ccccc1C1CC1,0.20434622
CC(C)(C)N1CC[C@@H](N)[C@@H]1c1ccccc1C1CC1,0.20434622
CC(C)(C)N1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.20434622
CCN1CC[C@@H](CNC)[C@H]1c1ccccc1C1CC1,0.1818802
CCN1CC[C@H](CNC)[C@@H]1c1ccccc1C1CC1,0.1818802
CCN1CC[C@H](CNC)[C@H]1c1ccccc1C1CC1,0.1818802
CCN1CC[C@@H](CNC)[C@@H]1c1ccccc1C1CC1,0.1818802
CN[C@H](c1ccccc1C1CCC1)C1C(C)(C)C1(C)C,0.1763555
CN[C@@H](c1ccccc1C1CCC1)C1C(C)(C)C1(C)C,0.1763555
CC(C)c1nc(c2ccccc2C2CC2)c(N)n1C(C)C,0.0957968
CC(C)NC[C@@H]1CCN(C)[C@H]1c1ccccc1C1CC1,0.01978404
CC(C)NC[C@@H]1CCN(C)[C@@H]1c1ccccc1C1CC1,0.01978404
CC(C)NC[C@H]1CCN(C)[C@H]1c1ccccc1C1CC1,0.01978404
CC(C)NC[C@H]1CCN(C)[C@@H]1c1ccccc1C1CC1,0.01978404
CNC[C@@H]1CCN(C(C)C)[C@@H]1c1ccccc1C1CC1,0.08537958
CNC[C@H]1CCN(C(C)C)[C@@H]1c1ccccc1C1CC1,0.08537958
CNC[C@H]1CCN(C(C)C)[C@H]1c1ccccc1C1CC1,0.08537958
CNC[C@@H]1CCN(C(C)C)[C@H]1c1ccccc1C1CC1,0.08537958
CC(C)NC[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.043392483
CC(C)NC[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.043392483
CC(C)NC[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.043392483
CC(C)NC[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.043392483
CC(C)CNC[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.11123943
CC(C)CNC[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.11123943
CC(C)CNC[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.11123943
CC(C)CNC[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.11123943
COCCN1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.5477962
COCCN1CC[C@H](N)[C@@H]1c1ccccc1C1CC1,0.5477962
COCCN1CC[C@@H](N)[C@@H]1c1ccccc1C1CC1,0.5477962
COCCN1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.5477962
CCCNC[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.20420468
CCCNC[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.20420468
CCCNC[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.20420468
CCCNC[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.20420468
CC(C)(C)NC[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.077079915
CC(C)(C)NC[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.077079915
CC(C)(C)NC[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.077079915
CC(C)(C)NC[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.077079915
CCCNC[C@H]1CCN(C)[C@H]1c1ccccc1C1CC1,0.10247618
CCCNC[C@@H]1CCN(C)[C@H]1c1ccccc1C1CC1,0.10247618
CCCNC[C@H]1CCN(C)[C@@H]1c1ccccc1C1CC1,0.10247618
CCCNC[C@@H]1CCN(C)[C@@H]1c1ccccc1C1CC1,0.10247618
CCN[C@@H](c1ccccc1C1CCC1)C1C(C)(C)C1(C)C,0.40924674
CCN[C@H](c1ccccc1C1CCC1)C1C(C)(C)C1(C)C,0.40924674
CCOC(=O)c1cc(OCC)c(C2CCC2)c(C2CC2)c1,0.21233802
COCCNC[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.31464484
COCCNC[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.31464484
COCCNC[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.31464484
COCCNC[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.31464493
