SMILES,ABL1
CC(C)N1CC[C@@H](CN)[C@@H]1c1ccccc1C1CC1,0.06154066
CCn1c(N)c(c2ccccc2C2CC2)nc1C(C)C,0.06657294
CCN1CC[C@H](CN)[C@H]1c1ccccc1C1CC1,0.075960286
CCN1CC[C@@H](CN)[C@H]1c1ccccc1C1CC1,0.075960286
CCCCn1c(N)c(c2ccccc2C2CC2)nc1CC,0.077734165
C=CCn1c(N)c(c2ccccc2C2CC2)nc1C(C)C,0.061119348
CCN[C@H](c1ccccc1C1CCC1)[C@H]1C[C@H]1C,0.021506496
CCN[C@H](c1ccccc1C1CCC1)[C@@H]1C[C@H]1C,0.021506496
CCCN1CC[C@H](CN)[C@@H]1c1ccccc1C1CC1,0.052781634
CCCN1CC[C@@H](CN)[C@H]1c1ccccc1C1CC1,0.052781634
CCCN1CC[C@H](CN)[C@H]1c1ccccc1C1CC1,0.052781634
CCCN1CC[C@@H](CN)[C@@H]1c1ccccc1C1CC1,0.052781634
NN[C@@H](c1ccccc1C1CCC1)C1CC1,0.027791344
NN[C@H](c1ccccc1C1CCC1)C1CC1,0.027791344
CC(C)CN1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.031234793
CC(C)CN1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.031234793
CC(C)CN1CC[C@@H](N)[C@@H]1c1ccccc1C1CC1,0.031234793
CC(C)CN1CC[C@H](N)[C@@H]1c1ccccc1C1CC1,0.031234793
CCOc1cc(C2CCC2)c(C2CC2)cc1CO,0.057222832
CC(C)Oc1cc(C2CCCC2)c(C2CC2)cc1CO,0.10966203
C#CCn1c(N)c(c2ccccc2C2CC2)nc1CCC,0.22143264
CN(C)CCN1C(=NC[C@@H]1c1ccccc1C1CC1)N,0.043448016
CN(C)CCN1C(=NC[C@H]1c1ccccc1C1CC1)N,0.043448016
CCOc1cc(C=O)cc(C2CC2)c1C1CCC1,0.05751897
CC1(OCC(=O)O)CN(Cc2ccccc2C2CC2)C1,0.0633863
CC(C)Oc1cc(C2CCC2)c(C2CC2)cc1C=O,0.076716624
CCCN1CC[C@@H](CNC)[C@H]1c1ccccc1C1CC1,0.046671234
