SMILES,ZAP70
CCn1c(N)c(c2ccccc2C2CC2)nc1C(C)C,0.15679777
CCN1CC[C@H](CN)[C@H]1c1ccccc1C1CC1,0.2162981
CCN1CC[C@@H](CN)[C@H]1c1ccccc1C1CC1,0.2162981
CCCCn1c(N)c(c2ccccc2C2CC2)nc1CC,0.1286608
C=CCn1c(N)c(c2ccccc2C2CC2)nc1C(C)C,0.18208379
CCN[C@H](c1ccccc1C1CCC1)[C@H]1C[C@H]1C,0.1557918
CCN[C@H](c1ccccc1C1CCC1)[C@@H]1C[C@H]1C,0.1557918
CCCN1CC[C@H](CN)[C@@H]1c1ccccc1C1CC1,0.16126439
CCCN1CC[C@@H](CN)[C@H]1c1ccccc1C1CC1,0.16126439
CCCN1CC[C@H](CN)[C@H]1c1ccccc1C1CC1,0.16126439
CCCN1CC[C@@H](CN)[C@@H]1c1ccccc1C1CC1,0.16126439
NN[C@@H](c1ccccc1C1CCC1)C1CC1,0.21706624
NN[C@H](c1ccccc1C1CCC1)C1CC1,0.21706624
CC(C)CN1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.19197316
CC(C)CN1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.19197316
CC(C)CN1CC[C@@H](N)[C@@H]1c1ccccc1C1CC1,0.19197316
CC(C)CN1CC[C@H](N)[C@@H]1c1ccccc1C1CC1,0.19197316
CCOc1cc(C2CCC2)c(C2CC2)cc1CO,0.1876652
CC(C)Oc1cc(C2CCCC2)c(C2CC2)cc1CO,0.21920341
C#CCn1c(N)c(c2ccccc2C2CC2)nc1CCC,0.16015482
CN(C)CCN1C(=NC[C@@H]1c1ccccc1C1CC1)N,0.11482546
CN(C)CCN1C(=NC[C@H]1c1ccccc1C1CC1)N,0.11482546
CCOc1cc(C=O)cc(C2CC2)c1C1CCC1,0.17515717
CC1(OCC(=O)O)CN(Cc2ccccc2C2CC2)C1,0.18147574
CC(C)Oc1cc(C2CCC2)c(C2CC2)cc1C=O,0.17476192
CCCN1CC[C@@H](CNC)[C@H]1c1ccccc1C1CC1,0.11641345
CCCN1CC[C@@H](CNC)[C@@H]1c1ccccc1C1CC1,0.11641345
CCCN1CC[C@H](CNC)[C@H]1c1ccccc1C1CC1,0.11641345
CCCN1CC[C@H](CNC)[C@@H]1c1ccccc1C1CC1,0.11641345
CCCc1nc(c2ccccc2C2CC2)c(N)n1CC,0.12716669
CCOc1cc(C2CCC2)c(C2CC2)cc1C=O,0.12941912
CC(C)Oc1cc(C2CCCC2)c(C2CC2)cc1C=O,0.18909708
CCNC[C@@H]1CCN(C)[C@H]1c1ccccc1C1CC1,0.13378315
CCNC[C@@H]1CCN(C)[C@@H]1c1ccccc1C1CC1,0.13378315
CCNC[C@H]1CCN(C)[C@@H]1c1ccccc1C1CC1,0.13378315
CCNC[C@H]1CCN(C)[C@H]1c1ccccc1C1CC1,0.13378315
CC(C)(C)N1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.2163272
CC(C)(C)N1CC[C@H](N)[C@@H]1c1ccccc1C1CC1,0.2163272
CC(C)(C)N1CC[C@@H](N)[C@@H]1c1ccccc1C1CC1,0.2163272
CC(C)(C)N1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.2163272
CCN1CC[C@@H](CNC)[C@H]1c1ccccc1C1CC1,0.15904349
CCN1CC[C@H](CNC)[C@@H]1c1ccccc1C1CC1,0.15904349
CCN1CC[C@H](CNC)[C@H]1c1ccccc1C1CC1,0.15904349
CCN1CC[C@@H](CNC)[C@@H]1c1ccccc1C1CC1,0.15904349
