SMILES,NR1H2
CC(C)N1CC[C@@H](CN)[C@H]1c1ccccc1C1CC1,0.19959457
CC(C)N1CC[C@H](CN)[C@@H]1c1ccccc1C1CC1,0.19959457
CC(C)N1CC[C@H](CN)[C@H]1c1ccccc1C1CC1,0.19959457
CC(C)N1CC[C@@H](CN)[C@@H]1c1ccccc1C1CC1,0.19959457
CCn1c(N)c(c2ccccc2C2CC2)nc1C(C)C,0.076743826
CCN1CC[C@H](CN)[C@H]1c1ccccc1C1CC1,0.4387199
CCN1CC[C@@H](CN)[C@H]1c1ccccc1C1CC1,0.4387199
CCCCn1c(N)c(c2ccccc2C2CC2)nc1CC,0.110919766
C=CCn1c(N)c(c2ccccc2C2CC2)nc1C(C)C,0.054126035
CCN[C@H](c1ccccc1C1CCC1)[C@H]1C[C@H]1C,0.20229387
CCN[C@H](c1ccccc1C1CCC1)[C@@H]1C[C@H]1C,0.20229387
CCCN1CC[C@H](CN)[C@@H]1c1ccccc1C1CC1,0.3335059
CCCN1CC[C@@H](CN)[C@H]1c1ccccc1C1CC1,0.3335059
CCCN1CC[C@H](CN)[C@H]1c1ccccc1C1CC1,0.3335059
CCCN1CC[C@@H](CN)[C@@H]1c1ccccc1C1CC1,0.3335059
NN[C@@H](c1ccccc1C1CCC1)C1CC1,0.18458438
NN[C@H](c1ccccc1C1CCC1)C1CC1,0.18458438
CC(C)CN1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.20324646
CC(C)CN1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.20324646
CC(C)CN1CC[C@@H](N)[C@@H]1c1ccccc1C1CC1,0.20324646
CC(C)CN1CC[C@H](N)[C@@H]1c1ccccc1C1CC1,0.20324646
CCOc1cc(C2CCC2)c(C2CC2)cc1CO,0.27965775
CC(C)Oc1cc(C2CCCC2)c(C2CC2)cc1CO,0.13073385
C#CCn1c(N)c(c2ccccc2C2CC2)nc1CCC,0.22115536
CN(C)CCN1C(=NC[C@@H]1c1ccccc1C1CC1)N,0.06771541
CN(C)CCN1C(=NC[C@H]1c1ccccc1C1CC1)N,0.06771541
CCOc1cc(C=O)cc(C2CC2)c1C1CCC1,0.09077222
CC1(OCC(=O)O)CN(Cc2ccccc2C2CC2)C1,0.3238986
CC(C)Oc1cc(C2CCC2)c(C2CC2)cc1C=O,0.1018614
CCCN1CC[C@@H](CNC)[C@H]1c1ccccc1C1CC1,0.4126989
CCCN1CC[C@@H](CNC)[C@@H]1c1ccccc1C1CC1,0.4126989
CCCN1CC[C@H](CNC)[C@H]1c1ccccc1C1CC1,0.4126989
CCCN1CC[C@H](CNC)[C@@H]1c1ccccc1C1CC1,0.4126989
CCCc1nc(c2ccccc2C2CC2)c(N)n1CC,0.24085632
CCOc1cc(C2CCC2)c(C2CC2)cc1C=O,0.14070776
CC(C)Oc1cc(C2CCCC2)c(C2CC2)cc1C=O,0.08339902
CCNC[C@@H]1CCN(C)[C@H]1c1ccccc1C1CC1,0.492681
CCNC[C@@H]1CCN(C)[C@@H]1c1ccccc1C1CC1,0.492681
CCNC[C@H]1CCN(C)[C@@H]1c1ccccc1C1CC1,0.492681
CCNC[C@H]1CCN(C)[C@H]1c1ccccc1C1CC1,0.492681
CC(C)(C)N1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.26065952
CC(C)(C)N1CC[C@H](N)[C@@H]1c1ccccc1C1CC1,0.26065952
CC(C)(C)N1CC[C@@H](N)[C@@H]1c1ccccc1C1CC1,0.26065952
CC(C)(C)N1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.26065952
CCN1CC[C@@H](CNC)[C@H]1c1ccccc1C1CC1,0.5232814
CCN1CC[C@H](CNC)[C@@H]1c1ccccc1C1CC1,0.5232814
CCN1CC[C@H](CNC)[C@H]1c1ccccc1C1CC1,0.5232814
CCN1CC[C@@H](CNC)[C@@H]1c1ccccc1C1CC1,0.5232814
CN[C@H](c1ccccc1C1CCC1)C1C(C)(C)C1(C)C,0.2115763
CN[C@@H](c1ccccc1C1CCC1)C1C(C)(C)C1(C)C,0.2115763
CC(C)c1nc(c2ccccc2C2CC2)c(N)n1C(C)C,0.07233467
CC(C)NC[C@@H]1CCN(C)[C@H]1c1ccccc1C1CC1,0.22263946
