SMILES,SRC
CCCN1CC[C@@H](CNC)[C@H]1c1ccccc1C1CC1,0.033139214
CCCN1CC[C@@H](CNC)[C@@H]1c1ccccc1C1CC1,0.033139214
CCCN1CC[C@H](CNC)[C@H]1c1ccccc1C1CC1,0.033139214
CCCN1CC[C@H](CNC)[C@@H]1c1ccccc1C1CC1,0.033139214
CCCc1nc(c2ccccc2C2CC2)c(N)n1CC,0.07243859
CCOc1cc(C2CCC2)c(C2CC2)cc1C=O,0.05234492
CC(C)Oc1cc(C2CCCC2)c(C2CC2)cc1C=O,0.063014135
CCNC[C@@H]1CCN(C)[C@H]1c1ccccc1C1CC1,0.115536116
CCNC[C@@H]1CCN(C)[C@@H]1c1ccccc1C1CC1,0.115536116
CCNC[C@H]1CCN(C)[C@@H]1c1ccccc1C1CC1,0.115536116
CCNC[C@H]1CCN(C)[C@H]1c1ccccc1C1CC1,0.115536116
CC(C)(C)N1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.0928888
CC(C)(C)N1CC[C@H](N)[C@@H]1c1ccccc1C1CC1,0.0928888
CC(C)(C)N1CC[C@@H](N)[C@@H]1c1ccccc1C1CC1,0.0928888
CC(C)(C)N1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.0928888
CCN1CC[C@@H](CNC)[C@H]1c1ccccc1C1CC1,0.12750077
CCN1CC[C@H](CNC)[C@@H]1c1ccccc1C1CC1,0.12750077
CCN1CC[C@H](CNC)[C@H]1c1ccccc1C1CC1,0.12750077
CCN1CC[C@@H](CNC)[C@@H]1c1ccccc1C1CC1,0.12750077
CN[C@H](c1ccccc1C1CCC1)C1C(C)(C)C1(C)C,0.070646144
CN[C@@H](c1ccccc1C1CCC1)C1C(C)(C)C1(C)C,0.070646144
CC(C)c1nc(c2ccccc2C2CC2)c(N)n1C(C)C,0.08850993
CC(C)NC[C@@H]1CCN(C)[C@H]1c1ccccc1C1CC1,0.060721163
CC(C)NC[C@@H]1CCN(C)[C@@H]1c1ccccc1C1CC1,0.060721163
CC(C)NC[C@H]1CCN(C)[C@H]1c1ccccc1C1CC1,0.060721163
CC(C)NC[C@H]1CCN(C)[C@@H]1c1ccccc1C1CC1,0.060721163
CNC[C@@H]1CCN(C(C)C)[C@@H]1c1ccccc1C1CC1,0.13792285
CNC[C@H]1CCN(C(C)C)[C@@H]1c1ccccc1C1CC1,0.13792285
CNC[C@H]1CCN(C(C)C)[C@H]1c1ccccc1C1CC1,0.13792285
CNC[C@@H]1CCN(C(C)C)[C@H]1c1ccccc1C1CC1,0.13792285
CC(C)NC[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.029943075
CC(C)NC[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.029943075
CC(C)NC[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.029943075
CC(C)NC[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.029943075
CC(C)CNC[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.033095397
CC(C)CNC[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.033095397
CC(C)CNC[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.033095397
CC(C)CNC[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.033095397
COCCN1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.13487305
COCCN1CC[C@H](N)[C@@H]1c1ccccc1C1CC1,0.13487305
COCCN1CC[C@@H](N)[C@@H]1c1ccccc1C1CC1,0.13487305
COCCN1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.13487305
CCCNC[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.046164453
CCCNC[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.046164453
CCCNC[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.046164453
CCCNC[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.046164453
CC(C)(C)NC[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.057990815
CC(C)(C)NC[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.057990815
CC(C)(C)NC[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.057990815
CC(C)(C)NC[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.057990815
CCCNC[C@H]1CCN(C)[C@H]1c1ccccc1C1CC1,0.092034325
CCCNC[C@@H]1CCN(C)[C@H]1c1ccccc1C1CC1,0.092034325
CCCNC[C@H]1CCN(C)[C@@H]1c1ccccc1C1CC1,0.092034325
CCCNC[C@@H]1CCN(C)[C@@H]1c1ccccc1C1CC1,0.092034325
CCN[C@@H](c1ccccc1C1CCC1)C1C(C)(C)C1(C)C,0.025066404
CCN[C@H](c1ccccc1C1CCC1)C1C(C)(C)C1(C)C,0.025066404
CCOC(=O)c1cc(OCC)c(C2CCC2)c(C2CC2)c1,0.053864248
COCCNC[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.15332738
COCCNC[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.15332738
COCCNC[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.15332738
COCCNC[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.15332733
