SMILES,RXRA
C[C@@H]1CN[C@H](c2ccccc2C2CC2)C1,0.16933675
C[C@H]1CN[C@H](c2ccccc2C2CC2)C1,0.16933675
CCCN[C@@H](c1ccccc1C1CCC1)C1(C)CC1,0.4599552
CCCN[C@H](c1ccccc1C1CCC1)C1(C)CC1,0.4599552
NS(=O)(=O)c1c(C(F)(F)F)ccc(C2CC2)c1c1nn[nH]n1,0.13779426
CC(C)Cc1onc(c2ccccc2C2CC2)c1C(=O)O,0.13495529
CCOc1cc(C=O)cc(C2CC2)c1C1CCCC1,0.23210618
C[C@@]1(C(=O)N)C[N@H+](Cc2ccccc2C2CC2)C1,0.10966712
CC(C)CN1C(=NC[C@H]1c1ccccc1C1CC1)N,0.060541943
CC(C)CN1C(=NC[C@@H]1c1ccccc1C1CC1)N,0.060541943
CC(C)N1CC[C@@H](CN)[C@H]1c1ccccc1C1CC1,0.30005905
CC(C)N1CC[C@H](CN)[C@@H]1c1ccccc1C1CC1,0.30005905
CC(C)N1CC[C@H](CN)[C@H]1c1ccccc1C1CC1,0.30005905
CC(C)N1CC[C@@H](CN)[C@@H]1c1ccccc1C1CC1,0.30005905
CCn1c(N)c(c2ccccc2C2CC2)nc1C(C)C,0.101762526
CCN1CC[C@H](CN)[C@H]1c1ccccc1C1CC1,0.29905164
CCN1CC[C@@H](CN)[C@H]1c1ccccc1C1CC1,0.29905164
CCCCn1c(N)c(c2ccccc2C2CC2)nc1CC,0.0799143
C=CCn1c(N)c(c2ccccc2C2CC2)nc1C(C)C,0.10962492
CCN[C@H](c1ccccc1C1CCC1)[C@H]1C[C@H]1C,0.25736386
CCN[C@H](c1ccccc1C1CCC1)[C@@H]1C[C@H]1C,0.25736386
CCCN1CC[C@H](CN)[C@@H]1c1ccccc1C1CC1,0.3414492
CCCN1CC[C@@H](CN)[C@H]1c1ccccc1C1CC1,0.3414492
CCCN1CC[C@H](CN)[C@H]1c1ccccc1C1CC1,0.3414492
CCCN1CC[C@@H](CN)[C@@H]1c1ccccc1C1CC1,0.3414492
NN[C@@H](c1ccccc1C1CCC1)C1CC1,0.12355015
NN[C@H](c1ccccc1C1CCC1)C1CC1,0.12355015
CC(C)CN1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.17014949
CC(C)CN1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.17014949
CC(C)CN1CC[C@@H](N)[C@@H]1c1ccccc1C1CC1,0.17014949
CC(C)CN1CC[C@H](N)[C@@H]1c1ccccc1C1CC1,0.17014949
CCOc1cc(C2CCC2)c(C2CC2)cc1CO,0.25458065
CC(C)Oc1cc(C2CCCC2)c(C2CC2)cc1CO,0.23562157
C#CCn1c(N)c(c2ccccc2C2CC2)nc1CCC,0.041199114
CN(C)CCN1C(=NC[C@@H]1c1ccccc1C1CC1)N,0.04962866
CN(C)CCN1C(=NC[C@H]1c1ccccc1C1CC1)N,0.04962866
CCOc1cc(C=O)cc(C2CC2)c1C1CCC1,0.26689687
CC1(OCC(=O)O)CN(Cc2ccccc2C2CC2)C1,0.15191486
CC(C)Oc1cc(C2CCC2)c(C2CC2)cc1C=O,0.3587142
CCCN1CC[C@@H](CNC)[C@H]1c1ccccc1C1CC1,0.24073704
CCCN1CC[C@@H](CNC)[C@@H]1c1ccccc1C1CC1,0.24073704
CCCN1CC[C@H](CNC)[C@H]1c1ccccc1C1CC1,0.24073704
CCCN1CC[C@H](CNC)[C@@H]1c1ccccc1C1CC1,0.24073704
CCCc1nc(c2ccccc2C2CC2)c(N)n1CC,0.059661765
CCOc1cc(C2CCC2)c(C2CC2)cc1C=O,0.2764294
CC(C)Oc1cc(C2CCCC2)c(C2CC2)cc1C=O,0.31713217
CCNC[C@@H]1CCN(C)[C@H]1c1ccccc1C1CC1,0.12817557
CCNC[C@@H]1CCN(C)[C@@H]1c1ccccc1C1CC1,0.12817557
CCNC[C@H]1CCN(C)[C@@H]1c1ccccc1C1CC1,0.12817557
CCNC[C@H]1CCN(C)[C@H]1c1ccccc1C1CC1,0.12817557
CC(C)(C)N1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.28819638
CC(C)(C)N1CC[C@H](N)[C@@H]1c1ccccc1C1CC1,0.28819638
CC(C)(C)N1CC[C@@H](N)[C@@H]1c1ccccc1C1CC1,0.28819638
CC(C)(C)N1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.28819638
CCN1CC[C@@H](CNC)[C@H]1c1ccccc1C1CC1,0.20691584
CCN1CC[C@H](CNC)[C@@H]1c1ccccc1C1CC1,0.20691584
CCN1CC[C@H](CNC)[C@H]1c1ccccc1C1CC1,0.20691584
CCN1CC[C@@H](CNC)[C@@H]1c1ccccc1C1CC1,0.20691584
CN[C@H](c1ccccc1C1CCC1)C1C(C)(C)C1(C)C,0.19899592
CN[C@@H](c1ccccc1C1CCC1)C1C(C)(C)C1(C)C,0.19899592
CC(C)c1nc(c2ccccc2C2CC2)c(N)n1C(C)C,0.065137275
CC(C)NC[C@@H]1CCN(C)[C@H]1c1ccccc1C1CC1,0.27357668
CC(C)NC[C@@H]1CCN(C)[C@@H]1c1ccccc1C1CC1,0.27357668
CC(C)NC[C@H]1CCN(C)[C@H]1c1ccccc1C1CC1,0.27357668
CC(C)NC[C@H]1CCN(C)[C@@H]1c1ccccc1C1CC1,0.27357668
CNC[C@@H]1CCN(C(C)C)[C@@H]1c1ccccc1C1CC1,0.20770474
CNC[C@H]1CCN(C(C)C)[C@@H]1c1ccccc1C1CC1,0.20770474
CNC[C@H]1CCN(C(C)C)[C@H]1c1ccccc1C1CC1,0.20770474
CNC[C@@H]1CCN(C(C)C)[C@H]1c1ccccc1C1CC1,0.20770474
CC(C)NC[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.15204783
CC(C)NC[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.15204783
CC(C)NC[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.15204783
CC(C)NC[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.15204783
CC(C)CNC[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.06178917
CC(C)CNC[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.06178917
CC(C)CNC[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.06178917
CC(C)CNC[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.06178917
COCCN1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.22896558
COCCN1CC[C@H](N)[C@@H]1c1ccccc1C1CC1,0.22896558
COCCN1CC[C@@H](N)[C@@H]1c1ccccc1C1CC1,0.22896558
COCCN1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.22896558
CCCNC[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.0720794
CCCNC[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.0720794
CCCNC[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.0720794
CCCNC[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.0720794
CC(C)(C)NC[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.08404351
CC(C)(C)NC[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.08404351
CC(C)(C)NC[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.08404351
CC(C)(C)NC[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.08404351
CCCNC[C@H]1CCN(C)[C@H]1c1ccccc1C1CC1,0.14026396
CCCNC[C@@H]1CCN(C)[C@H]1c1ccccc1C1CC1,0.14026396
CCCNC[C@H]1CCN(C)[C@@H]1c1ccccc1C1CC1,0.14026396
CCCNC[C@@H]1CCN(C)[C@@H]1c1ccccc1C1CC1,0.14026396
CCN[C@@H](c1ccccc1C1CCC1)C1C(C)(C)C1(C)C,0.3504779
CCN[C@H](c1ccccc1C1CCC1)C1C(C)(C)C1(C)C,0.3504779
CCOC(=O)c1cc(OCC)c(C2CCC2)c(C2CC2)c1,0.26798368
COCCNC[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.053553045
COCCNC[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.053553045
COCCNC[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.053553045
COCCNC[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.053553045
