SMILES,CDC7
CC[C@H](C)N1C(=NC[C@H]1c1ccccc1C1CC1)N,0.061589364
CC[C@H](C)N1C(=NC[C@@H]1c1ccccc1C1CC1)N,0.061589364
CC[C@@H](C)N1C(=NC[C@H]1c1ccccc1C1CC1)N,0.061589364
CC[C@@H](C)N1C(=NC[C@@H]1c1ccccc1C1CC1)N,0.061589364
CCCN[C@H](c1ccccc1C1CCC1)[C@@H]1C[C@@H]1C,0.08920268
CCCN[C@H](c1ccccc1C1CCC1)[C@H]1C[C@H]1C,0.08920268
CCCN[C@H](c1ccccc1C1CCC1)[C@H]1C[C@@H]1C,0.08920268
CCCN[C@H](c1ccccc1C1CCC1)[C@@H]1C[C@H]1C,0.08920268
C[C@@H]1CN[C@@H](c2ccccc2C2CC2)C1,0.32698035
C[C@H]1CN[C@@H](c2ccccc2C2CC2)C1,0.32698035
C[C@@H]1CN[C@H](c2ccccc2C2CC2)C1,0.32698035
C[C@H]1CN[C@H](c2ccccc2C2CC2)C1,0.32698035
CCCN[C@@H](c1ccccc1C1CCC1)C1(C)CC1,0.060081843
CCCN[C@H](c1ccccc1C1CCC1)C1(C)CC1,0.060081843
NS(=O)(=O)c1c(C(F)(F)F)ccc(C2CC2)c1c1nn[nH]n1,0.08310317
CC(C)Cc1onc(c2ccccc2C2CC2)c1C(=O)O,0.04654588
CCOc1cc(C=O)cc(C2CC2)c1C1CCCC1,0.12764886
C[C@@]1(C(=O)N)C[N@H+](Cc2ccccc2C2CC2)C1,0.0837649
CC(C)CN1C(=NC[C@H]1c1ccccc1C1CC1)N,0.07630834
CC(C)CN1C(=NC[C@@H]1c1ccccc1C1CC1)N,0.07630834
CC(C)N1CC[C@@H](CN)[C@H]1c1ccccc1C1CC1,0.08179439
CC(C)N1CC[C@H](CN)[C@@H]1c1ccccc1C1CC1,0.08179439
CC(C)N1CC[C@H](CN)[C@H]1c1ccccc1C1CC1,0.08179439
CC(C)N1CC[C@@H](CN)[C@@H]1c1ccccc1C1CC1,0.08179439
