SMILES,PPARA
CC[C@H](C)N1C(=NC[C@H]1c1ccccc1C1CC1)N,0.009064815
CC[C@H](C)N1C(=NC[C@@H]1c1ccccc1C1CC1)N,0.009064815
CC[C@@H](C)N1C(=NC[C@H]1c1ccccc1C1CC1)N,0.009064815
CC[C@@H](C)N1C(=NC[C@@H]1c1ccccc1C1CC1)N,0.009064815
CCCN[C@H](c1ccccc1C1CCC1)[C@@H]1C[C@@H]1C,0.008485155
CCCN[C@H](c1ccccc1C1CCC1)[C@H]1C[C@H]1C,0.008485155
CCCN[C@H](c1ccccc1C1CCC1)[C@H]1C[C@@H]1C,0.008485155
CCCN[C@H](c1ccccc1C1CCC1)[C@@H]1C[C@H]1C,0.008485155
C[C@@H]1CN[C@@H](c2ccccc2C2CC2)C1,0.01027941
C[C@H]1CN[C@@H](c2ccccc2C2CC2)C1,0.01027941
C[C@@H]1CN[C@H](c2ccccc2C2CC2)C1,0.01027941
C[C@H]1CN[C@H](c2ccccc2C2CC2)C1,0.01027941
CCCN[C@@H](c1ccccc1C1CCC1)C1(C)CC1,0.013420084
CCCN[C@H](c1ccccc1C1CCC1)C1(C)CC1,0.013420084
NS(=O)(=O)c1c(C(F)(F)F)ccc(C2CC2)c1c1nn[nH]n1,0.010925393
CC(C)Cc1onc(c2ccccc2C2CC2)c1C(=O)O,0.033926927
CCOc1cc(C=O)cc(C2CC2)c1C1CCCC1,0.1519714
C[C@@]1(C(=O)N)C[N@H+](Cc2ccccc2C2CC2)C1,0.018935326
CC(C)CN1C(=NC[C@H]1c1ccccc1C1CC1)N,0.006135274
CC(C)CN1C(=NC[C@@H]1c1ccccc1C1CC1)N,0.006135274
CC(C)N1CC[C@@H](CN)[C@H]1c1ccccc1C1CC1,0.022693641
CC(C)N1CC[C@H](CN)[C@@H]1c1ccccc1C1CC1,0.022693641
CC(C)N1CC[C@H](CN)[C@H]1c1ccccc1C1CC1,0.022693641
CC(C)N1CC[C@@H](CN)[C@@H]1c1ccccc1C1CC1,0.022693641
CCn1c(N)c(c2ccccc2C2CC2)nc1C(C)C,0.028022077
CCN1CC[C@H](CN)[C@H]1c1ccccc1C1CC1,0.022081397
CCN1CC[C@@H](CN)[C@H]1c1ccccc1C1CC1,0.022081397
CCCCn1c(N)c(c2ccccc2C2CC2)nc1CC,0.023964323
C=CCn1c(N)c(c2ccccc2C2CC2)nc1C(C)C,0.008947933
CCN[C@H](c1ccccc1C1CCC1)[C@H]1C[C@H]1C,0.082953006
CCN[C@H](c1ccccc1C1CCC1)[C@@H]1C[C@H]1C,0.082953006
CCCN1CC[C@H](CN)[C@@H]1c1ccccc1C1CC1,0.031275954
CCCN1CC[C@@H](CN)[C@H]1c1ccccc1C1CC1,0.031275954
CCCN1CC[C@H](CN)[C@H]1c1ccccc1C1CC1,0.031275954
CCCN1CC[C@@H](CN)[C@@H]1c1ccccc1C1CC1,0.031275954
NN[C@@H](c1ccccc1C1CCC1)C1CC1,0.006917297
NN[C@H](c1ccccc1C1CCC1)C1CC1,0.006917297
CC(C)CN1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.008462256
CC(C)CN1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.008462256
CC(C)CN1CC[C@@H](N)[C@@H]1c1ccccc1C1CC1,0.008462256
CC(C)CN1CC[C@H](N)[C@@H]1c1ccccc1C1CC1,0.008462256
CCOc1cc(C2CCC2)c(C2CC2)cc1CO,0.09671113
CC(C)Oc1cc(C2CCCC2)c(C2CC2)cc1CO,0.038606364
C#CCn1c(N)c(c2ccccc2C2CC2)nc1CCC,0.024480658
CN(C)CCN1C(=NC[C@@H]1c1ccccc1C1CC1)N,0.002563919
CN(C)CCN1C(=NC[C@H]1c1ccccc1C1CC1)N,0.002563919
CCOc1cc(C=O)cc(C2CC2)c1C1CCC1,0.1512199
CC1(OCC(=O)O)CN(Cc2ccccc2C2CC2)C1,0.041212145
CC(C)Oc1cc(C2CCC2)c(C2CC2)cc1C=O,0.057992257
CCCN1CC[C@@H](CNC)[C@H]1c1ccccc1C1CC1,0.04371019
CCCN1CC[C@@H](CNC)[C@@H]1c1ccccc1C1CC1,0.04371019
CCCN1CC[C@H](CNC)[C@H]1c1ccccc1C1CC1,0.04371019
CCCN1CC[C@H](CNC)[C@@H]1c1ccccc1C1CC1,0.04371019
CCCc1nc(c2ccccc2C2CC2)c(N)n1CC,0.13996145
CCOc1cc(C2CCC2)c(C2CC2)cc1C=O,0.11836088
CC(C)Oc1cc(C2CCCC2)c(C2CC2)cc1C=O,0.058312304
CCNC[C@@H]1CCN(C)[C@H]1c1ccccc1C1CC1,0.08293909
CCNC[C@@H]1CCN(C)[C@@H]1c1ccccc1C1CC1,0.08293909
CCNC[C@H]1CCN(C)[C@@H]1c1ccccc1C1CC1,0.08293909
CCNC[C@H]1CCN(C)[C@H]1c1ccccc1C1CC1,0.08293909
CC(C)(C)N1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.03131043
CC(C)(C)N1CC[C@H](N)[C@@H]1c1ccccc1C1CC1,0.03131043
CC(C)(C)N1CC[C@@H](N)[C@@H]1c1ccccc1C1CC1,0.03131043
CC(C)(C)N1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.03131043
CCN1CC[C@@H](CNC)[C@H]1c1ccccc1C1CC1,0.030977057
CCN1CC[C@H](CNC)[C@@H]1c1ccccc1C1CC1,0.030977057
CCN1CC[C@H](CNC)[C@H]1c1ccccc1C1CC1,0.030977057
CCN1CC[C@@H](CNC)[C@@H]1c1ccccc1C1CC1,0.030977057
CN[C@H](c1ccccc1C1CCC1)C1C(C)(C)C1(C)C,0.01615761
CN[C@@H](c1ccccc1C1CCC1)C1C(C)(C)C1(C)C,0.01615761
CC(C)c1nc(c2ccccc2C2CC2)c(N)n1C(C)C,0.007975792
CC(C)NC[C@@H]1CCN(C)[C@H]1c1ccccc1C1CC1,0.015342094
CC(C)NC[C@@H]1CCN(C)[C@@H]1c1ccccc1C1CC1,0.015342094
CC(C)NC[C@H]1CCN(C)[C@H]1c1ccccc1C1CC1,0.015342094
CC(C)NC[C@H]1CCN(C)[C@@H]1c1ccccc1C1CC1,0.015342094
CNC[C@@H]1CCN(C(C)C)[C@@H]1c1ccccc1C1CC1,0.031827968
CNC[C@H]1CCN(C(C)C)[C@@H]1c1ccccc1C1CC1,0.031827968
CNC[C@H]1CCN(C(C)C)[C@H]1c1ccccc1C1CC1,0.031827968
CNC[C@@H]1CCN(C(C)C)[C@H]1c1ccccc1C1CC1,0.031827968
CC(C)NC[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.033320107
CC(C)NC[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.033320107
CC(C)NC[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.033320107
CC(C)NC[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.033320107
CC(C)CNC[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.050035257
CC(C)CNC[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.050035257
CC(C)CNC[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.050035257
CC(C)CNC[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.050035257
COCCN1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.009392226
COCCN1CC[C@H](N)[C@@H]1c1ccccc1C1CC1,0.009392226
COCCN1CC[C@@H](N)[C@@H]1c1ccccc1C1CC1,0.009392226
COCCN1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.009392226
CCCNC[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.06493536
CCCNC[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.06493536
CCCNC[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.06493536
CCCNC[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.06493536
CC(C)(C)NC[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.11488994
CC(C)(C)NC[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.11488994
CC(C)(C)NC[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.11488994
CC(C)(C)NC[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.11488994
CCCNC[C@H]1CCN(C)[C@H]1c1ccccc1C1CC1,0.030436242
CCCNC[C@@H]1CCN(C)[C@H]1c1ccccc1C1CC1,0.030436242
CCCNC[C@H]1CCN(C)[C@@H]1c1ccccc1C1CC1,0.030436242
CCCNC[C@@H]1CCN(C)[C@@H]1c1ccccc1C1CC1,0.030436242
CCN[C@@H](c1ccccc1C1CCC1)C1C(C)(C)C1(C)C,0.05051332
CCN[C@H](c1ccccc1C1CCC1)C1C(C)(C)C1(C)C,0.05051332
CCOC(=O)c1cc(OCC)c(C2CCC2)c(C2CC2)c1,0.24587797
COCCNC[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.035646934
COCCNC[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.035646934
COCCNC[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.035646934
COCCNC[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.03564694
