SMILES,PPARD
C[C@H]1CN[C@H](c2ccccc2C2CC2)C1,0.009068234
CCCN[C@@H](c1ccccc1C1CCC1)C1(C)CC1,0.023243463
CCCN[C@H](c1ccccc1C1CCC1)C1(C)CC1,0.023243463
NS(=O)(=O)c1c(C(F)(F)F)ccc(C2CC2)c1c1nn[nH]n1,0.02542143
CC(C)Cc1onc(c2ccccc2C2CC2)c1C(=O)O,0.115324035
CCOc1cc(C=O)cc(C2CC2)c1C1CCCC1,0.29355982
C[C@@]1(C(=O)N)C[N@H+](Cc2ccccc2C2CC2)C1,0.016043985
CC(C)CN1C(=NC[C@H]1c1ccccc1C1CC1)N,0.0064487043
CC(C)CN1C(=NC[C@@H]1c1ccccc1C1CC1)N,0.0064487043
CC(C)N1CC[C@@H](CN)[C@H]1c1ccccc1C1CC1,0.0136758415
CC(C)N1CC[C@H](CN)[C@@H]1c1ccccc1C1CC1,0.0136758415
CC(C)N1CC[C@H](CN)[C@H]1c1ccccc1C1CC1,0.0136758415
CC(C)N1CC[C@@H](CN)[C@@H]1c1ccccc1C1CC1,0.0136758415
CCn1c(N)c(c2ccccc2C2CC2)nc1C(C)C,0.023336155
CCN1CC[C@H](CN)[C@H]1c1ccccc1C1CC1,0.009456042
CCN1CC[C@@H](CN)[C@H]1c1ccccc1C1CC1,0.009456042
CCCCn1c(N)c(c2ccccc2C2CC2)nc1CC,0.060863446
C=CCn1c(N)c(c2ccccc2C2CC2)nc1C(C)C,0.014910053
CCN[C@H](c1ccccc1C1CCC1)[C@H]1C[C@H]1C,0.097151875
CCN[C@H](c1ccccc1C1CCC1)[C@@H]1C[C@H]1C,0.097151875
CCCN1CC[C@H](CN)[C@@H]1c1ccccc1C1CC1,0.029238258
CCCN1CC[C@@H](CN)[C@H]1c1ccccc1C1CC1,0.029238258
CCCN1CC[C@H](CN)[C@H]1c1ccccc1C1CC1,0.029238258
CCCN1CC[C@@H](CN)[C@@H]1c1ccccc1C1CC1,0.029238258
NN[C@@H](c1ccccc1C1CCC1)C1CC1,0.022712963
NN[C@H](c1ccccc1C1CCC1)C1CC1,0.022712963
CC(C)CN1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.004353471
CC(C)CN1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.004353471
CC(C)CN1CC[C@@H](N)[C@@H]1c1ccccc1C1CC1,0.004353471
CC(C)CN1CC[C@H](N)[C@@H]1c1ccccc1C1CC1,0.004353471
CCOc1cc(C2CCC2)c(C2CC2)cc1CO,0.15939406
CC(C)Oc1cc(C2CCCC2)c(C2CC2)cc1CO,0.086211614
C#CCn1c(N)c(c2ccccc2C2CC2)nc1CCC,0.047885083
CN(C)CCN1C(=NC[C@@H]1c1ccccc1C1CC1)N,0.0045264843
CN(C)CCN1C(=NC[C@H]1c1ccccc1C1CC1)N,0.0045264843
CCOc1cc(C=O)cc(C2CC2)c1C1CCC1,0.3094223
CC1(OCC(=O)O)CN(Cc2ccccc2C2CC2)C1,0.08415194
CC(C)Oc1cc(C2CCC2)c(C2CC2)cc1C=O,0.122534275
CCCN1CC[C@@H](CNC)[C@H]1c1ccccc1C1CC1,0.05194035
CCCN1CC[C@@H](CNC)[C@@H]1c1ccccc1C1CC1,0.05194035
CCCN1CC[C@H](CNC)[C@H]1c1ccccc1C1CC1,0.05194035
CCCN1CC[C@H](CNC)[C@@H]1c1ccccc1C1CC1,0.05194035
CCCc1nc(c2ccccc2C2CC2)c(N)n1CC,0.08414505
CCOc1cc(C2CCC2)c(C2CC2)cc1C=O,0.160608
CC(C)Oc1cc(C2CCCC2)c(C2CC2)cc1C=O,0.114661805
CCNC[C@@H]1CCN(C)[C@H]1c1ccccc1C1CC1,0.039481472
CCNC[C@@H]1CCN(C)[C@@H]1c1ccccc1C1CC1,0.039481472
CCNC[C@H]1CCN(C)[C@@H]1c1ccccc1C1CC1,0.039481472
CCNC[C@H]1CCN(C)[C@H]1c1ccccc1C1CC1,0.039481472
CC(C)(C)N1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.00837513
CC(C)(C)N1CC[C@H](N)[C@@H]1c1ccccc1C1CC1,0.00837513
CC(C)(C)N1CC[C@@H](N)[C@@H]1c1ccccc1C1CC1,0.00837513
CC(C)(C)N1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.00837513
CCN1CC[C@@H](CNC)[C@H]1c1ccccc1C1CC1,0.017068287
CCN1CC[C@H](CNC)[C@@H]1c1ccccc1C1CC1,0.017068287
CCN1CC[C@H](CNC)[C@H]1c1ccccc1C1CC1,0.017068287
CCN1CC[C@@H](CNC)[C@@H]1c1ccccc1C1CC1,0.017068287
CN[C@H](c1ccccc1C1CCC1)C1C(C)(C)C1(C)C,0.014811444
CN[C@@H](c1ccccc1C1CCC1)C1C(C)(C)C1(C)C,0.014811444
CC(C)c1nc(c2ccccc2C2CC2)c(N)n1C(C)C,0.015394975
CC(C)NC[C@@H]1CCN(C)[C@H]1c1ccccc1C1CC1,0.013380165
CC(C)NC[C@@H]1CCN(C)[C@@H]1c1ccccc1C1CC1,0.013380165
CC(C)NC[C@H]1CCN(C)[C@H]1c1ccccc1C1CC1,0.013380165
CC(C)NC[C@H]1CCN(C)[C@@H]1c1ccccc1C1CC1,0.013380165
CNC[C@@H]1CCN(C(C)C)[C@@H]1c1ccccc1C1CC1,0.024600707
CNC[C@H]1CCN(C(C)C)[C@@H]1c1ccccc1C1CC1,0.024600707
CNC[C@H]1CCN(C(C)C)[C@H]1c1ccccc1C1CC1,0.024600707
CNC[C@@H]1CCN(C(C)C)[C@H]1c1ccccc1C1CC1,0.024600707
CC(C)NC[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.05203044
CC(C)NC[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.05203044
CC(C)NC[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.05203044
CC(C)NC[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.05203044
CC(C)CNC[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.035928115
CC(C)CNC[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.035928115
CC(C)CNC[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.035928115
CC(C)CNC[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.035928115
COCCN1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.021507856
COCCN1CC[C@H](N)[C@@H]1c1ccccc1C1CC1,0.021507856
COCCN1CC[C@@H](N)[C@@H]1c1ccccc1C1CC1,0.021507856
COCCN1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.021507856
CCCNC[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.055865526
CCCNC[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.055865526
CCCNC[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.055865526
CCCNC[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.055865526
CC(C)(C)NC[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.15620056
CC(C)(C)NC[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.15620056
CC(C)(C)NC[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.15620056
CC(C)(C)NC[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.15620056
CCCNC[C@H]1CCN(C)[C@H]1c1ccccc1C1CC1,0.014409685
CCCNC[C@@H]1CCN(C)[C@H]1c1ccccc1C1CC1,0.014409685
CCCNC[C@H]1CCN(C)[C@@H]1c1ccccc1C1CC1,0.014409685
CCCNC[C@@H]1CCN(C)[C@@H]1c1ccccc1C1CC1,0.014409685
CCN[C@@H](c1ccccc1C1CCC1)C1C(C)(C)C1(C)C,0.05617604
CCN[C@H](c1ccccc1C1CCC1)C1C(C)(C)C1(C)C,0.05617604
CCOC(=O)c1cc(OCC)c(C2CCC2)c(C2CC2)c1,0.4615049
COCCNC[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.08893594
COCCNC[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.08893594
COCCNC[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.08893594
COCCNC[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.088935964
