SMILES,RARA
CC(C)Oc1cc(C2CCC2)c(C2CC2)cc1C=O,0.39352548
CCCN1CC[C@@H](CNC)[C@H]1c1ccccc1C1CC1,0.21522263
CCCN1CC[C@@H](CNC)[C@@H]1c1ccccc1C1CC1,0.21522263
CCCN1CC[C@H](CNC)[C@H]1c1ccccc1C1CC1,0.21522263
CCCN1CC[C@H](CNC)[C@@H]1c1ccccc1C1CC1,0.21522263
CCCc1nc(c2ccccc2C2CC2)c(N)n1CC,0.13816237
CCOc1cc(C2CCC2)c(C2CC2)cc1C=O,0.3845237
CC(C)Oc1cc(C2CCCC2)c(C2CC2)cc1C=O,0.37311175
CCNC[C@@H]1CCN(C)[C@H]1c1ccccc1C1CC1,0.260922
CCNC[C@@H]1CCN(C)[C@@H]1c1ccccc1C1CC1,0.260922
CCNC[C@H]1CCN(C)[C@@H]1c1ccccc1C1CC1,0.260922
CCNC[C@H]1CCN(C)[C@H]1c1ccccc1C1CC1,0.260922
CC(C)(C)N1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.44676158
CC(C)(C)N1CC[C@H](N)[C@@H]1c1ccccc1C1CC1,0.44676158
CC(C)(C)N1CC[C@@H](N)[C@@H]1c1ccccc1C1CC1,0.44676158
CC(C)(C)N1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.44676158
CCN1CC[C@@H](CNC)[C@H]1c1ccccc1C1CC1,0.23307486
CCN1CC[C@H](CNC)[C@@H]1c1ccccc1C1CC1,0.23307486
CCN1CC[C@H](CNC)[C@H]1c1ccccc1C1CC1,0.23307486
CCN1CC[C@@H](CNC)[C@@H]1c1ccccc1C1CC1,0.23307486
CN[C@H](c1ccccc1C1CCC1)C1C(C)(C)C1(C)C,0.4240949
CN[C@@H](c1ccccc1C1CCC1)C1C(C)(C)C1(C)C,0.4240949
CC(C)c1nc(c2ccccc2C2CC2)c(N)n1C(C)C,0.3349768
CC(C)NC[C@@H]1CCN(C)[C@H]1c1ccccc1C1CC1,0.287902
CC(C)NC[C@@H]1CCN(C)[C@@H]1c1ccccc1C1CC1,0.287902
CC(C)NC[C@H]1CCN(C)[C@H]1c1ccccc1C1CC1,0.287902
CC(C)NC[C@H]1CCN(C)[C@@H]1c1ccccc1C1CC1,0.287902
CNC[C@@H]1CCN(C(C)C)[C@@H]1c1ccccc1C1CC1,0.30009618
CNC[C@H]1CCN(C(C)C)[C@@H]1c1ccccc1C1CC1,0.30009618
CNC[C@H]1CCN(C(C)C)[C@H]1c1ccccc1C1CC1,0.30009618
CNC[C@@H]1CCN(C(C)C)[C@H]1c1ccccc1C1CC1,0.30009618
CC(C)NC[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.30385113
CC(C)NC[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.30385113
CC(C)NC[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.30385113
CC(C)NC[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.30385113
CC(C)CNC[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.29671314
CC(C)CNC[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.29671314
CC(C)CNC[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.29671314
CC(C)CNC[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.29671314
COCCN1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.36654338
COCCN1CC[C@H](N)[C@@H]1c1ccccc1C1CC1,0.36654338
COCCN1CC[C@@H](N)[C@@H]1c1ccccc1C1CC1,0.36654338
COCCN1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.36654338
CCCNC[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.22518711
CCCNC[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.22518711
CCCNC[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.22518711
CCCNC[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.22518711
CC(C)(C)NC[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.326632
CC(C)(C)NC[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.326632
CC(C)(C)NC[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.326632
CC(C)(C)NC[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.326632
CCCNC[C@H]1CCN(C)[C@H]1c1ccccc1C1CC1,0.21210892
CCCNC[C@@H]1CCN(C)[C@H]1c1ccccc1C1CC1,0.21210892
CCCNC[C@H]1CCN(C)[C@@H]1c1ccccc1C1CC1,0.21210892
CCCNC[C@@H]1CCN(C)[C@@H]1c1ccccc1C1CC1,0.21210892
CCN[C@@H](c1ccccc1C1CCC1)C1C(C)(C)C1(C)C,0.4799692
CCN[C@H](c1ccccc1C1CCC1)C1C(C)(C)C1(C)C,0.4799692
CCOC(=O)c1cc(OCC)c(C2CCC2)c(C2CC2)c1,0.48466212
COCCNC[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.22690333
COCCNC[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.22690333
COCCNC[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.22690333
COCCNC[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.22690338
