SMILES,DPP9
C#CCn1c(N)c(c2ccccc2C2CC2)nc1CC,0.19850583
Cc1nc(c2ccccc2C2CC2)c(N)n1C(C)(C)C,0.1888249
CN1CC[C@@H](CN)[C@H]1c1ccccc1C1CC1,0.13062756
CN1CC[C@H](CN)[C@H]1c1ccccc1C1CC1,0.13062756
CCCn1c(N)c(c2ccccc2C2CC2)nc1CC,0.19061013
C=CCn1c(N)c(c2ccccc2C2CC2)nc1CC,0.15588808
CCN1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.2819983
CCN1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.2819983
COCCN1C(=NC[C@H]1c1ccccc1C1CC1)N,0.088526696
COCCN1C(=NC[C@@H]1c1ccccc1C1CC1)N,0.088526696
CC(C)N1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.27704507
CC(C)N1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.27704507
CC1(C)C([C@@H](N)c2ccccc2C2CCC2)C1(C)C,0.28164262
CC1(C)C([C@H](N)c2ccccc2C2CCC2)C1(C)C,0.28164262
C=CCn1c(N)c(c2ccccc2C2CC2)nc1CCC,0.21263579
CC[C@H](C)N1C(=NC[C@H]1c1ccccc1C1CC1)N,0.2642483
CC[C@H](C)N1C(=NC[C@@H]1c1ccccc1C1CC1)N,0.2642483
CC[C@@H](C)N1C(=NC[C@H]1c1ccccc1C1CC1)N,0.2642483
CC[C@@H](C)N1C(=NC[C@@H]1c1ccccc1C1CC1)N,0.2642483
CCCN[C@H](c1ccccc1C1CCC1)[C@@H]1C[C@@H]1C,0.13882245
CCCN[C@H](c1ccccc1C1CCC1)[C@H]1C[C@H]1C,0.13882245
CCCN[C@H](c1ccccc1C1CCC1)[C@H]1C[C@@H]1C,0.13882245
CCCN[C@H](c1ccccc1C1CCC1)[C@@H]1C[C@H]1C,0.13882245
C[C@@H]1CN[C@@H](c2ccccc2C2CC2)C1,0.23812799
C[C@H]1CN[C@@H](c2ccccc2C2CC2)C1,0.23812799
C[C@@H]1CN[C@H](c2ccccc2C2CC2)C1,0.23812799
C[C@H]1CN[C@H](c2ccccc2C2CC2)C1,0.23812799
CCCN[C@@H](c1ccccc1C1CCC1)C1(C)CC1,0.09675574
CCCN[C@H](c1ccccc1C1CCC1)C1(C)CC1,0.09675574
NS(=O)(=O)c1c(C(F)(F)F)ccc(C2CC2)c1c1nn[nH]n1,0.1259327
CC(C)Cc1onc(c2ccccc2C2CC2)c1C(=O)O,0.41054374
CCOc1cc(C=O)cc(C2CC2)c1C1CCCC1,0.17101945
C[C@@]1(C(=O)N)C[N@H+](Cc2ccccc2C2CC2)C1,0.20884486
CC(C)CN1C(=NC[C@H]1c1ccccc1C1CC1)N,0.21635088
CC(C)CN1C(=NC[C@@H]1c1ccccc1C1CC1)N,0.21635088
CC(C)N1CC[C@@H](CN)[C@H]1c1ccccc1C1CC1,0.25131747
CC(C)N1CC[C@H](CN)[C@@H]1c1ccccc1C1CC1,0.25131747
CC(C)N1CC[C@H](CN)[C@H]1c1ccccc1C1CC1,0.25131747
CC(C)N1CC[C@@H](CN)[C@@H]1c1ccccc1C1CC1,0.25131747
CCn1c(N)c(c2ccccc2C2CC2)nc1C(C)C,0.29491308
CCN1CC[C@H](CN)[C@H]1c1ccccc1C1CC1,0.2801667
CCN1CC[C@@H](CN)[C@H]1c1ccccc1C1CC1,0.2801667
CCCCn1c(N)c(c2ccccc2C2CC2)nc1CC,0.21480148
C=CCn1c(N)c(c2ccccc2C2CC2)nc1C(C)C,0.13087702
CCN[C@H](c1ccccc1C1CCC1)[C@H]1C[C@H]1C,0.15600589
CCN[C@H](c1ccccc1C1CCC1)[C@@H]1C[C@H]1C,0.15600589
CCCN1CC[C@H](CN)[C@@H]1c1ccccc1C1CC1,0.1598125
CCCN1CC[C@@H](CN)[C@H]1c1ccccc1C1CC1,0.1598125
CCCN1CC[C@H](CN)[C@H]1c1ccccc1C1CC1,0.1598125
CCCN1CC[C@@H](CN)[C@@H]1c1ccccc1C1CC1,0.1598125
NN[C@@H](c1ccccc1C1CCC1)C1CC1,0.1670923
NN[C@H](c1ccccc1C1CCC1)C1CC1,0.1670923
CC(C)CN1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.24216641
CC(C)CN1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.24216641
CC(C)CN1CC[C@@H](N)[C@@H]1c1ccccc1C1CC1,0.24216641
CC(C)CN1CC[C@H](N)[C@@H]1c1ccccc1C1CC1,0.24216641
CCOc1cc(C2CCC2)c(C2CC2)cc1CO,0.17596625
CC(C)Oc1cc(C2CCCC2)c(C2CC2)cc1CO,0.23823527
C#CCn1c(N)c(c2ccccc2C2CC2)nc1CCC,0.26588088
CN(C)CCN1C(=NC[C@@H]1c1ccccc1C1CC1)N,0.15972187
CN(C)CCN1C(=NC[C@H]1c1ccccc1C1CC1)N,0.15972187
CCOc1cc(C=O)cc(C2CC2)c1C1CCC1,0.15614516
CC1(OCC(=O)O)CN(Cc2ccccc2C2CC2)C1,0.2531028
CC(C)Oc1cc(C2CCC2)c(C2CC2)cc1C=O,0.2868212
CCCN1CC[C@@H](CNC)[C@H]1c1ccccc1C1CC1,0.14779152
CCCN1CC[C@@H](CNC)[C@@H]1c1ccccc1C1CC1,0.14779152
CCCN1CC[C@H](CNC)[C@H]1c1ccccc1C1CC1,0.14779152
CCCN1CC[C@H](CNC)[C@@H]1c1ccccc1C1CC1,0.14779152
CCCc1nc(c2ccccc2C2CC2)c(N)n1CC,0.27523196
CCOc1cc(C2CCC2)c(C2CC2)cc1C=O,0.1955861
CC(C)Oc1cc(C2CCCC2)c(C2CC2)cc1C=O,0.30957663
CCNC[C@@H]1CCN(C)[C@H]1c1ccccc1C1CC1,0.17755726
CCNC[C@@H]1CCN(C)[C@@H]1c1ccccc1C1CC1,0.17755726
CCNC[C@H]1CCN(C)[C@@H]1c1ccccc1C1CC1,0.17755726
CCNC[C@H]1CCN(C)[C@H]1c1ccccc1C1CC1,0.17755726
CC(C)(C)N1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.28458813
CC(C)(C)N1CC[C@H](N)[C@@H]1c1ccccc1C1CC1,0.28458813
CC(C)(C)N1CC[C@@H](N)[C@@H]1c1ccccc1C1CC1,0.28458813
CC(C)(C)N1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.28458813
CCN1CC[C@@H](CNC)[C@H]1c1ccccc1C1CC1,0.261915
CCN1CC[C@H](CNC)[C@@H]1c1ccccc1C1CC1,0.261915
CCN1CC[C@H](CNC)[C@H]1c1ccccc1C1CC1,0.261915
CCN1CC[C@@H](CNC)[C@@H]1c1ccccc1C1CC1,0.261915
