SMILES,WEE1
CN(C)CCN1C(=NC[C@@H]1c1ccccc1C1CC1)N,0.061484713
CN(C)CCN1C(=NC[C@H]1c1ccccc1C1CC1)N,0.061484713
CCOc1cc(C=O)cc(C2CC2)c1C1CCC1,0.033998154
CC1(OCC(=O)O)CN(Cc2ccccc2C2CC2)C1,0.0915863
CC(C)Oc1cc(C2CCC2)c(C2CC2)cc1C=O,0.059998035
CCCN1CC[C@@H](CNC)[C@H]1c1ccccc1C1CC1,0.04786329
CCCN1CC[C@@H](CNC)[C@@H]1c1ccccc1C1CC1,0.04786329
CCCN1CC[C@H](CNC)[C@H]1c1ccccc1C1CC1,0.04786329
CCCN1CC[C@H](CNC)[C@@H]1c1ccccc1C1CC1,0.04786329
CCCc1nc(c2ccccc2C2CC2)c(N)n1CC,0.05955052
CCOc1cc(C2CCC2)c(C2CC2)cc1C=O,0.05260374
CC(C)Oc1cc(C2CCCC2)c(C2CC2)cc1C=O,0.054630276
CCNC[C@@H]1CCN(C)[C@H]1c1ccccc1C1CC1,0.057707846
CCNC[C@@H]1CCN(C)[C@@H]1c1ccccc1C1CC1,0.057707846
CCNC[C@H]1CCN(C)[C@@H]1c1ccccc1C1CC1,0.057707846
CCNC[C@H]1CCN(C)[C@H]1c1ccccc1C1CC1,0.057707846
CC(C)(C)N1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.07286588
CC(C)(C)N1CC[C@H](N)[C@@H]1c1ccccc1C1CC1,0.07286588
CC(C)(C)N1CC[C@@H](N)[C@@H]1c1ccccc1C1CC1,0.07286588
CC(C)(C)N1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.07286588
CCN1CC[C@@H](CNC)[C@H]1c1ccccc1C1CC1,0.058992118
CCN1CC[C@H](CNC)[C@@H]1c1ccccc1C1CC1,0.058992118
CCN1CC[C@H](CNC)[C@H]1c1ccccc1C1CC1,0.058992118
CCN1CC[C@@H](CNC)[C@@H]1c1ccccc1C1CC1,0.058992118
CN[C@H](c1ccccc1C1CCC1)C1C(C)(C)C1(C)C,0.035394665
CN[C@@H](c1ccccc1C1CCC1)C1C(C)(C)C1(C)C,0.035394665
CC(C)c1nc(c2ccccc2C2CC2)c(N)n1C(C)C,0.07261044
CC(C)NC[C@@H]1CCN(C)[C@H]1c1ccccc1C1CC1,0.07939591
CC(C)NC[C@@H]1CCN(C)[C@@H]1c1ccccc1C1CC1,0.07939591
CC(C)NC[C@H]1CCN(C)[C@H]1c1ccccc1C1CC1,0.07939591
CC(C)NC[C@H]1CCN(C)[C@@H]1c1ccccc1C1CC1,0.07939591
CNC[C@@H]1CCN(C(C)C)[C@@H]1c1ccccc1C1CC1,0.054080073
CNC[C@H]1CCN(C(C)C)[C@@H]1c1ccccc1C1CC1,0.054080073
CNC[C@H]1CCN(C(C)C)[C@H]1c1ccccc1C1CC1,0.054080073
CNC[C@@H]1CCN(C(C)C)[C@H]1c1ccccc1C1CC1,0.054080073
CC(C)NC[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.073758274
CC(C)NC[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.073758274
CC(C)NC[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.073758274
CC(C)NC[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.073758274
CC(C)CNC[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.04422896
CC(C)CNC[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.04422896
CC(C)CNC[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.04422896
CC(C)CNC[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.04422896
COCCN1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.11394588
COCCN1CC[C@H](N)[C@@H]1c1ccccc1C1CC1,0.11394588
COCCN1CC[C@@H](N)[C@@H]1c1ccccc1C1CC1,0.11394588
