SMILES,NPY1R
NC1=NC[C@@H](c2ccccc2C2CC2)O1,0.28083256
NC1=NC[C@H](c2ccccc2C2CC2)O1,0.28083256
CC(C)(C)n1cnc(c2ccccc2C2CC2)c1N,0.19685996
N#C[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.15766107
N#C[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.15766107
N#C[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.15766107
N#C[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.15766107
CN[C@H](c1ccccc1C1CCC1)[C@@H]1C[C@H]1C,0.4236727
CN[C@H](c1ccccc1C1CCC1)[C@H]1C[C@H]1C,0.4236727
CC1([C@@H](NN)c2ccccc2C2CCC2)CC1,0.27206177
CC1([C@H](NN)c2ccccc2C2CCC2)CC1,0.27206177
CC1(C)NCC[C@H]1c1ccccc1C1CC1,0.4236394
CC1(C)NCC[C@@H]1c1ccccc1C1CC1,0.4236394
C[C@@]1(N)CNC[C@H]1c1ccccc1C1CC1,0.36514825
C[C@@]1(N)CNC[C@@H]1c1ccccc1C1CC1,0.36514825
CC1(C)C[C@H]1[C@H](N)c1ccccc1C1CCC1,0.1538906
CC1(C)C[C@@H]1[C@@H](N)c1ccccc1C1CCC1,0.1538906
CC1(C)C[C@H]1[C@@H](N)c1ccccc1C1CCC1,0.1538906
C[C@]1(N)CNC[C@H]1c1ccccc1C1CC1,0.36514825
C[C@]1(N)CNC[C@@H]1c1ccccc1C1CC1,0.36514825
CC1(C)C[C@@H]1[C@H](N)c1ccccc1C1CCC1,0.1538906
Cn1c(N)c(c2ccccc2C2CC2)nc1C(C)(C)C,0.109707385
CCc1nc(c2ccccc2C2CC2)c(N)n1CC,0.2655679
CN1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.4296035
CN1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.4296035
C[C@@H]1C[C@@H]1[C@H](N)c1ccccc1C1CCC1,0.31377998
C[C@@H]1C[C@H]1[C@H](N)c1ccccc1C1CCC1,0.31377998
CC[C@@H]1CCN[C@H]1c1ccccc1C1CC1,0.4697505
CC[C@@H]1CCN[C@@H]1c1ccccc1C1CC1,0.4697505
CC[C@H]1CCN[C@@H]1c1ccccc1C1CC1,0.4697505
CC[C@H]1CCN[C@H]1c1ccccc1C1CC1,0.4697505
C[C@@H]1C[C@H]1[C@H](O)c1ccccc1C1CCC1,0.47107714
C[C@@H]1C[C@@H]1[C@H](O)c1ccccc1C1CCC1,0.47107714
C[C@@H]1C[C@H]1[C@H](NN)c1ccccc1C1CCC1,0.39672068
C[C@@H]1C[C@H]1[C@@H](NN)c1ccccc1C1CCC1,0.39672068
C[C@@H]1C[C@@H]1[C@@H](NN)c1ccccc1C1CCC1,0.39672068
C[C@@H]1C[C@@H]1[C@H](NN)c1ccccc1C1CCC1,0.39672068
CCc1nc(c2ccccc2C2CC2)c(N)n1C(C)C,0.27999067
CCCCn1c(C)nc(c2ccccc2C2CC2)c1N,0.29522914
CC[C@@H]1N[C@H](C)C[C@H]1c1ccccc1C1CC1,0.25370044
CC(C)(C)c1nc(c2ccccc2C2CC2)c(N)n1N,0.18650933
CC(C)c1onc(c2ccccc2C2CC2)c1C(=O)O,0.07669562
Cc1nc(c2ccccc2C2CC2)c(N)n1CC(C)C,0.28284392
OC[C@@H]1CC(=NO1)c1ccccc1C1CC1,0.15912277
OC[C@H]1CC(=NO1)c1ccccc1C1CC1,0.15912277
NC[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.3080961
NC[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.3080961
NC[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.3080961
NC[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.3080961
CCCc1onc(c2ccccc2C2CC2)c1C(=O)O,0.07596755
C#CCn1c(N)c(c2ccccc2C2CC2)nc1CC,0.17064121
Cc1nc(c2ccccc2C2CC2)c(N)n1C(C)(C)C,0.16766147
CN1CC[C@@H](CN)[C@H]1c1ccccc1C1CC1,0.47429684
CN1CC[C@H](CN)[C@H]1c1ccccc1C1CC1,0.47429684
CCCn1c(N)c(c2ccccc2C2CC2)nc1CC,0.21434672
C=CCn1c(N)c(c2ccccc2C2CC2)nc1CC,0.12701412
CCN1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.33366713
CCN1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.33366713
COCCN1C(=NC[C@H]1c1ccccc1C1CC1)N,0.4998496
COCCN1C(=NC[C@@H]1c1ccccc1C1CC1)N,0.4998496
CC(C)N1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.44192833
CC(C)N1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.44192833
CC1(C)C([C@@H](N)c2ccccc2C2CCC2)C1(C)C,0.20931208
CC1(C)C([C@H](N)c2ccccc2C2CCC2)C1(C)C,0.20931208
C=CCn1c(N)c(c2ccccc2C2CC2)nc1CCC,0.115990244
CC[C@H](C)N1C(=NC[C@H]1c1ccccc1C1CC1)N,0.25582683
CC[C@H](C)N1C(=NC[C@@H]1c1ccccc1C1CC1)N,0.25582683
CC[C@@H](C)N1C(=NC[C@H]1c1ccccc1C1CC1)N,0.25582683
CC[C@@H](C)N1C(=NC[C@@H]1c1ccccc1C1CC1)N,0.25582683
CCCN[C@H](c1ccccc1C1CCC1)[C@@H]1C[C@@H]1C,0.45761296
CCCN[C@H](c1ccccc1C1CCC1)[C@H]1C[C@H]1C,0.45761296
CCCN[C@H](c1ccccc1C1CCC1)[C@H]1C[C@@H]1C,0.45761296
CCCN[C@H](c1ccccc1C1CCC1)[C@@H]1C[C@H]1C,0.45761296
C[C@@H]1CN[C@@H](c2ccccc2C2CC2)C1,0.3375216
C[C@H]1CN[C@@H](c2ccccc2C2CC2)C1,0.3375216
C[C@@H]1CN[C@H](c2ccccc2C2CC2)C1,0.3375216
C[C@H]1CN[C@H](c2ccccc2C2CC2)C1,0.3375216
CCCN[C@@H](c1ccccc1C1CCC1)C1(C)CC1,0.32205877
CCCN[C@H](c1ccccc1C1CCC1)C1(C)CC1,0.32205877
NS(=O)(=O)c1c(C(F)(F)F)ccc(C2CC2)c1c1nn[nH]n1,0.036146563
CC(C)Cc1onc(c2ccccc2C2CC2)c1C(=O)O,0.0717294
CCOc1cc(C=O)cc(C2CC2)c1C1CCCC1,0.12016682
C[C@@]1(C(=O)N)C[N@H+](Cc2ccccc2C2CC2)C1,0.17464416
CC(C)CN1C(=NC[C@H]1c1ccccc1C1CC1)N,0.49713367
CC(C)CN1C(=NC[C@@H]1c1ccccc1C1CC1)N,0.49713367
CC(C)N1CC[C@@H](CN)[C@H]1c1ccccc1C1CC1,0.49944007
CC(C)N1CC[C@H](CN)[C@@H]1c1ccccc1C1CC1,0.49944007
CC(C)N1CC[C@H](CN)[C@H]1c1ccccc1C1CC1,0.49944007
CC(C)N1CC[C@@H](CN)[C@@H]1c1ccccc1C1CC1,0.49944007
CCn1c(N)c(c2ccccc2C2CC2)nc1C(C)C,0.15992954
CCN1CC[C@H](CN)[C@H]1c1ccccc1C1CC1,0.36754897
CCN1CC[C@@H](CN)[C@H]1c1ccccc1C1CC1,0.36754897
CCCCn1c(N)c(c2ccccc2C2CC2)nc1CC,0.38466474
C=CCn1c(N)c(c2ccccc2C2CC2)nc1C(C)C,0.046979602
CCN[C@H](c1ccccc1C1CCC1)[C@H]1C[C@H]1C,0.43920395
CCN[C@H](c1ccccc1C1CCC1)[C@@H]1C[C@H]1C,0.43920395
CCCN1CC[C@H](CN)[C@@H]1c1ccccc1C1CC1,0.4406689
CCCN1CC[C@@H](CN)[C@H]1c1ccccc1C1CC1,0.4406689
CCCN1CC[C@H](CN)[C@H]1c1ccccc1C1CC1,0.4406689
CCCN1CC[C@@H](CN)[C@@H]1c1ccccc1C1CC1,0.4406689
NN[C@@H](c1ccccc1C1CCC1)C1CC1,0.33415538
NN[C@H](c1ccccc1C1CCC1)C1CC1,0.33415538
CC(C)CN1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.48107892
CC(C)CN1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.48107892
CC(C)CN1CC[C@@H](N)[C@@H]1c1ccccc1C1CC1,0.48107892
CC(C)CN1CC[C@H](N)[C@@H]1c1ccccc1C1CC1,0.48107892
CCOc1cc(C2CCC2)c(C2CC2)cc1CO,0.35585585
CC(C)Oc1cc(C2CCCC2)c(C2CC2)cc1CO,0.18937427
C#CCn1c(N)c(c2ccccc2C2CC2)nc1CCC,0.15650974
CN(C)CCN1C(=NC[C@@H]1c1ccccc1C1CC1)N,0.33373076
CN(C)CCN1C(=NC[C@H]1c1ccccc1C1CC1)N,0.33373076
CCOc1cc(C=O)cc(C2CC2)c1C1CCC1,0.13650957
CC1(OCC(=O)O)CN(Cc2ccccc2C2CC2)C1,0.3664408
CC(C)Oc1cc(C2CCC2)c(C2CC2)cc1C=O,0.12074305
CCCN1CC[C@@H](CNC)[C@H]1c1ccccc1C1CC1,0.3012858
CCCN1CC[C@@H](CNC)[C@@H]1c1ccccc1C1CC1,0.3012858
CCCN1CC[C@H](CNC)[C@H]1c1ccccc1C1CC1,0.3012858
CCCN1CC[C@H](CNC)[C@@H]1c1ccccc1C1CC1,0.3012858
CCCc1nc(c2ccccc2C2CC2)c(N)n1CC,0.24590603
CCOc1cc(C2CCC2)c(C2CC2)cc1C=O,0.20868243
CC(C)Oc1cc(C2CCCC2)c(C2CC2)cc1C=O,0.10605593
CCNC[C@@H]1CCN(C)[C@H]1c1ccccc1C1CC1,0.55923504
CCNC[C@@H]1CCN(C)[C@@H]1c1ccccc1C1CC1,0.55923504
CCNC[C@H]1CCN(C)[C@@H]1c1ccccc1C1CC1,0.55923504
CCNC[C@H]1CCN(C)[C@H]1c1ccccc1C1CC1,0.55923504
CC(C)(C)N1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.38107377
CC(C)(C)N1CC[C@H](N)[C@@H]1c1ccccc1C1CC1,0.38107377
CC(C)(C)N1CC[C@@H](N)[C@@H]1c1ccccc1C1CC1,0.38107377
CC(C)(C)N1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.38107377
CCN1CC[C@@H](CNC)[C@H]1c1ccccc1C1CC1,0.24131548
CCN1CC[C@H](CNC)[C@@H]1c1ccccc1C1CC1,0.24131548
CCN1CC[C@H](CNC)[C@H]1c1ccccc1C1CC1,0.24131548
CCN1CC[C@@H](CNC)[C@@H]1c1ccccc1C1CC1,0.24131548
CN[C@H](c1ccccc1C1CCC1)C1C(C)(C)C1(C)C,0.2282392
CN[C@@H](c1ccccc1C1CCC1)C1C(C)(C)C1(C)C,0.2282392
CC(C)c1nc(c2ccccc2C2CC2)c(N)n1C(C)C,0.12305522
CC(C)NC[C@@H]1CCN(C)[C@H]1c1ccccc1C1CC1,0.61027235
CC(C)NC[C@@H]1CCN(C)[C@@H]1c1ccccc1C1CC1,0.61027235
CC(C)NC[C@H]1CCN(C)[C@H]1c1ccccc1C1CC1,0.61027235
CC(C)NC[C@H]1CCN(C)[C@@H]1c1ccccc1C1CC1,0.61027235
CNC[C@@H]1CCN(C(C)C)[C@@H]1c1ccccc1C1CC1,0.3532065
CNC[C@H]1CCN(C(C)C)[C@@H]1c1ccccc1C1CC1,0.3532065
CNC[C@H]1CCN(C(C)C)[C@H]1c1ccccc1C1CC1,0.3532065
CNC[C@@H]1CCN(C(C)C)[C@H]1c1ccccc1C1CC1,0.3532065
CC(C)NC[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.46153343
CC(C)NC[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.46153343
CC(C)NC[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.46153343
CC(C)NC[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.46153343
CC(C)CNC[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.38652182
CC(C)CNC[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.38652182
CC(C)CNC[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.38652182
CC(C)CNC[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.38652182
COCCN1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.52516955
COCCN1CC[C@H](N)[C@@H]1c1ccccc1C1CC1,0.52516955
COCCN1CC[C@@H](N)[C@@H]1c1ccccc1C1CC1,0.52516955
COCCN1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.52516955
CCCNC[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.34362066
CCCNC[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.34362066
CCCNC[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.34362066
CCCNC[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.34362066
CC(C)(C)NC[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.35072327
CC(C)(C)NC[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.35072327
CC(C)(C)NC[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.35072327
CC(C)(C)NC[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.35072327
CCCNC[C@H]1CCN(C)[C@H]1c1ccccc1C1CC1,0.48885867
CCCNC[C@@H]1CCN(C)[C@H]1c1ccccc1C1CC1,0.48885867
CCCNC[C@H]1CCN(C)[C@@H]1c1ccccc1C1CC1,0.48885867
CCCNC[C@@H]1CCN(C)[C@@H]1c1ccccc1C1CC1,0.48885867
CCN[C@@H](c1ccccc1C1CCC1)C1C(C)(C)C1(C)C,0.20994864
CCN[C@H](c1ccccc1C1CCC1)C1C(C)(C)C1(C)C,0.20994864
CCOC(=O)c1cc(OCC)c(C2CCC2)c(C2CC2)c1,0.1360275
COCCNC[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.39110598
COCCNC[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.39110598
COCCNC[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.39110598
COCCNC[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.39110616
