SMILES,ROCK1
CC[C@H](C)N1C(=NC[C@H]1c1ccccc1C1CC1)N,0.0588465
CC[C@H](C)N1C(=NC[C@@H]1c1ccccc1C1CC1)N,0.0588465
CC[C@@H](C)N1C(=NC[C@H]1c1ccccc1C1CC1)N,0.0588465
CC[C@@H](C)N1C(=NC[C@@H]1c1ccccc1C1CC1)N,0.0588465
CCCN[C@H](c1ccccc1C1CCC1)[C@@H]1C[C@@H]1C,0.08414685
CCCN[C@H](c1ccccc1C1CCC1)[C@H]1C[C@H]1C,0.08414685
CCCN[C@H](c1ccccc1C1CCC1)[C@H]1C[C@@H]1C,0.08414685
CCCN[C@H](c1ccccc1C1CCC1)[C@@H]1C[C@H]1C,0.08414685
C[C@@H]1CN[C@@H](c2ccccc2C2CC2)C1,0.16667543
C[C@H]1CN[C@@H](c2ccccc2C2CC2)C1,0.16667543
C[C@@H]1CN[C@H](c2ccccc2C2CC2)C1,0.16667543
C[C@H]1CN[C@H](c2ccccc2C2CC2)C1,0.16667543
CCCN[C@@H](c1ccccc1C1CCC1)C1(C)CC1,0.06561151
CCCN[C@H](c1ccccc1C1CCC1)C1(C)CC1,0.06561151
NS(=O)(=O)c1c(C(F)(F)F)ccc(C2CC2)c1c1nn[nH]n1,0.044435807
CC(C)Cc1onc(c2ccccc2C2CC2)c1C(=O)O,0.097346075
CCOc1cc(C=O)cc(C2CC2)c1C1CCCC1,0.08439487
C[C@@]1(C(=O)N)C[N@H+](Cc2ccccc2C2CC2)C1,0.12854056
CC(C)CN1C(=NC[C@H]1c1ccccc1C1CC1)N,0.056394156
CC(C)CN1C(=NC[C@@H]1c1ccccc1C1CC1)N,0.056394156
CC(C)N1CC[C@@H](CN)[C@H]1c1ccccc1C1CC1,0.12814796
CC(C)N1CC[C@H](CN)[C@@H]1c1ccccc1C1CC1,0.12814796
CC(C)N1CC[C@H](CN)[C@H]1c1ccccc1C1CC1,0.12814796
CC(C)N1CC[C@@H](CN)[C@@H]1c1ccccc1C1CC1,0.12814796
CCn1c(N)c(c2ccccc2C2CC2)nc1C(C)C,0.14068614
CCN1CC[C@H](CN)[C@H]1c1ccccc1C1CC1,0.11166237
CCN1CC[C@@H](CN)[C@H]1c1ccccc1C1CC1,0.11166237
CCCCn1c(N)c(c2ccccc2C2CC2)nc1CC,0.040510617
C=CCn1c(N)c(c2ccccc2C2CC2)nc1C(C)C,0.124188185
CCN[C@H](c1ccccc1C1CCC1)[C@H]1C[C@H]1C,0.12437964
CCN[C@H](c1ccccc1C1CCC1)[C@@H]1C[C@H]1C,0.12437964
CCCN1CC[C@H](CN)[C@@H]1c1ccccc1C1CC1,0.086832985
CCCN1CC[C@@H](CN)[C@H]1c1ccccc1C1CC1,0.086832985
CCCN1CC[C@H](CN)[C@H]1c1ccccc1C1CC1,0.086832985
CCCN1CC[C@@H](CN)[C@@H]1c1ccccc1C1CC1,0.086832985
NN[C@@H](c1ccccc1C1CCC1)C1CC1,0.16159512
NN[C@H](c1ccccc1C1CCC1)C1CC1,0.16159512
CC(C)CN1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.12158215
CC(C)CN1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.12158215
CC(C)CN1CC[C@@H](N)[C@@H]1c1ccccc1C1CC1,0.12158215
CC(C)CN1CC[C@H](N)[C@@H]1c1ccccc1C1CC1,0.12158215
CCOc1cc(C2CCC2)c(C2CC2)cc1CO,0.21436203
CC(C)Oc1cc(C2CCCC2)c(C2CC2)cc1CO,0.119683094
C#CCn1c(N)c(c2ccccc2C2CC2)nc1CCC,0.08385796
CN(C)CCN1C(=NC[C@@H]1c1ccccc1C1CC1)N,0.10972658
CN(C)CCN1C(=NC[C@H]1c1ccccc1C1CC1)N,0.10972658
CCOc1cc(C=O)cc(C2CC2)c1C1CCC1,0.098477185
CC1(OCC(=O)O)CN(Cc2ccccc2C2CC2)C1,0.08744647
CC(C)Oc1cc(C2CCC2)c(C2CC2)cc1C=O,0.09333828
CCCN1CC[C@@H](CNC)[C@H]1c1ccccc1C1CC1,0.07139326
CCCN1CC[C@@H](CNC)[C@@H]1c1ccccc1C1CC1,0.07139326
CCCN1CC[C@H](CNC)[C@H]1c1ccccc1C1CC1,0.07139326
CCCN1CC[C@H](CNC)[C@@H]1c1ccccc1C1CC1,0.07139326
CCCc1nc(c2ccccc2C2CC2)c(N)n1CC,0.12599617
CCOc1cc(C2CCC2)c(C2CC2)cc1C=O,0.10493854
CC(C)Oc1cc(C2CCCC2)c(C2CC2)cc1C=O,0.07992575
CCNC[C@@H]1CCN(C)[C@H]1c1ccccc1C1CC1,0.0691832
CCNC[C@@H]1CCN(C)[C@@H]1c1ccccc1C1CC1,0.0691832
CCNC[C@H]1CCN(C)[C@@H]1c1ccccc1C1CC1,0.0691832
CCNC[C@H]1CCN(C)[C@H]1c1ccccc1C1CC1,0.0691832
CC(C)(C)N1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.123217165
CC(C)(C)N1CC[C@H](N)[C@@H]1c1ccccc1C1CC1,0.123217165
CC(C)(C)N1CC[C@@H](N)[C@@H]1c1ccccc1C1CC1,0.123217165
CC(C)(C)N1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.123217165
CCN1CC[C@@H](CNC)[C@H]1c1ccccc1C1CC1,0.09225376
CCN1CC[C@H](CNC)[C@@H]1c1ccccc1C1CC1,0.09225376
CCN1CC[C@H](CNC)[C@H]1c1ccccc1C1CC1,0.09225376
CCN1CC[C@@H](CNC)[C@@H]1c1ccccc1C1CC1,0.09225376
CN[C@H](c1ccccc1C1CCC1)C1C(C)(C)C1(C)C,0.14312692
CN[C@@H](c1ccccc1C1CCC1)C1C(C)(C)C1(C)C,0.14312692
CC(C)c1nc(c2ccccc2C2CC2)c(N)n1C(C)C,0.16978034
