SMILES,CLK4
CCN1CC[C@@H](CNC)[C@H]1c1ccccc1C1CC1,0.4822222
CCN1CC[C@H](CNC)[C@@H]1c1ccccc1C1CC1,0.4822222
CCN1CC[C@H](CNC)[C@H]1c1ccccc1C1CC1,0.4822222
CCN1CC[C@@H](CNC)[C@@H]1c1ccccc1C1CC1,0.4822222
CN[C@H](c1ccccc1C1CCC1)C1C(C)(C)C1(C)C,0.44014478
CN[C@@H](c1ccccc1C1CCC1)C1C(C)(C)C1(C)C,0.44014478
CC(C)c1nc(c2ccccc2C2CC2)c(N)n1C(C)C,0.34471443
CC(C)NC[C@@H]1CCN(C)[C@H]1c1ccccc1C1CC1,0.5032708
CC(C)NC[C@@H]1CCN(C)[C@@H]1c1ccccc1C1CC1,0.5032708
CC(C)NC[C@H]1CCN(C)[C@H]1c1ccccc1C1CC1,0.5032708
CC(C)NC[C@H]1CCN(C)[C@@H]1c1ccccc1C1CC1,0.5032708
CNC[C@@H]1CCN(C(C)C)[C@@H]1c1ccccc1C1CC1,0.48215917
CNC[C@H]1CCN(C(C)C)[C@@H]1c1ccccc1C1CC1,0.48215917
CNC[C@H]1CCN(C(C)C)[C@H]1c1ccccc1C1CC1,0.48215917
CNC[C@@H]1CCN(C(C)C)[C@H]1c1ccccc1C1CC1,0.48215917
CC(C)NC[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.48849583
CC(C)NC[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.48849583
CC(C)NC[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.48849583
CC(C)NC[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.48849583
CC(C)CNC[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.4498465
CC(C)CNC[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.4498465
CC(C)CNC[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.4498465
CC(C)CNC[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.4498465
COCCN1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.4912662
COCCN1CC[C@H](N)[C@@H]1c1ccccc1C1CC1,0.4912662
COCCN1CC[C@@H](N)[C@@H]1c1ccccc1C1CC1,0.4912662
COCCN1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.4912662
CCCNC[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.48174343
CCCNC[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.48174343
CCCNC[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.48174343
CCCNC[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.48174343
CC(C)(C)NC[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.5049773
CC(C)(C)NC[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.5049773
CC(C)(C)NC[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.5049773
CC(C)(C)NC[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.5049773
CCCNC[C@H]1CCN(C)[C@H]1c1ccccc1C1CC1,0.49651253
CCCNC[C@@H]1CCN(C)[C@H]1c1ccccc1C1CC1,0.49651253
CCCNC[C@H]1CCN(C)[C@@H]1c1ccccc1C1CC1,0.49651253
CCCNC[C@@H]1CCN(C)[C@@H]1c1ccccc1C1CC1,0.49651253
CCN[C@@H](c1ccccc1C1CCC1)C1C(C)(C)C1(C)C,0.42834532
CCN[C@H](c1ccccc1C1CCC1)C1C(C)(C)C1(C)C,0.42834532
CCOC(=O)c1cc(OCC)c(C2CCC2)c(C2CC2)c1,0.4394684
COCCNC[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.53124523
COCCNC[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.53124523
COCCNC[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.53124523
COCCNC[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.5312453
