SMILES,BTK
CC1(C)C[C@H]1[C@H](N)c1ccccc1C1CCC1,0.16513525
CC1(C)C[C@@H]1[C@@H](N)c1ccccc1C1CCC1,0.16513525
CC1(C)C[C@H]1[C@@H](N)c1ccccc1C1CCC1,0.16513525
C[C@]1(N)CNC[C@H]1c1ccccc1C1CC1,0.22631553
C[C@]1(N)CNC[C@@H]1c1ccccc1C1CC1,0.22631553
CC1(C)C[C@@H]1[C@H](N)c1ccccc1C1CCC1,0.16513525
Cn1c(N)c(c2ccccc2C2CC2)nc1C(C)(C)C,0.40337712
CCc1nc(c2ccccc2C2CC2)c(N)n1CC,0.20340484
CN1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.28718078
CN1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.28718078
C[C@@H]1C[C@@H]1[C@H](N)c1ccccc1C1CCC1,0.12774777
C[C@@H]1C[C@H]1[C@H](N)c1ccccc1C1CCC1,0.12774777
CC[C@@H]1CCN[C@H]1c1ccccc1C1CC1,0.279148
CC[C@@H]1CCN[C@@H]1c1ccccc1C1CC1,0.279148
CC[C@H]1CCN[C@@H]1c1ccccc1C1CC1,0.279148
CC[C@H]1CCN[C@H]1c1ccccc1C1CC1,0.279148
C[C@@H]1C[C@H]1[C@H](O)c1ccccc1C1CCC1,0.18415408
C[C@@H]1C[C@@H]1[C@H](O)c1ccccc1C1CCC1,0.18415408
C[C@@H]1C[C@H]1[C@H](NN)c1ccccc1C1CCC1,0.17011882
C[C@@H]1C[C@H]1[C@@H](NN)c1ccccc1C1CCC1,0.17011882
C[C@@H]1C[C@@H]1[C@@H](NN)c1ccccc1C1CCC1,0.17011882
C[C@@H]1C[C@@H]1[C@H](NN)c1ccccc1C1CCC1,0.17011882
CCc1nc(c2ccccc2C2CC2)c(N)n1C(C)C,0.1965805
CCCCn1c(C)nc(c2ccccc2C2CC2)c1N,0.21123534
CC[C@@H]1N[C@H](C)C[C@H]1c1ccccc1C1CC1,0.25678518
CC(C)(C)c1nc(c2ccccc2C2CC2)c(N)n1N,0.26688498
CC(C)c1onc(c2ccccc2C2CC2)c1C(=O)O,0.23736997
Cc1nc(c2ccccc2C2CC2)c(N)n1CC(C)C,0.22870542
OC[C@@H]1CC(=NO1)c1ccccc1C1CC1,0.26588756
OC[C@H]1CC(=NO1)c1ccccc1C1CC1,0.26588756
NC[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.18879478
NC[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.18879478
NC[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.18879478
NC[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.18879478
CCCc1onc(c2ccccc2C2CC2)c1C(=O)O,0.31401017
C#CCn1c(N)c(c2ccccc2C2CC2)nc1CC,0.1700197
Cc1nc(c2ccccc2C2CC2)c(N)n1C(C)(C)C,0.24706836
CN1CC[C@@H](CN)[C@H]1c1ccccc1C1CC1,0.2709273
CN1CC[C@H](CN)[C@H]1c1ccccc1C1CC1,0.2709273
CCCn1c(N)c(c2ccccc2C2CC2)nc1CC,0.176151
C=CCn1c(N)c(c2ccccc2C2CC2)nc1CC,0.20562416
CCN1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.24940172
CCN1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.24940172
COCCN1C(=NC[C@H]1c1ccccc1C1CC1)N,0.19172983
COCCN1C(=NC[C@@H]1c1ccccc1C1CC1)N,0.19172983
CC(C)N1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.19220515
CC(C)N1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.19220515
CC1(C)C([C@@H](N)c2ccccc2C2CCC2)C1(C)C,0.12857461
CC1(C)C([C@H](N)c2ccccc2C2CCC2)C1(C)C,0.12857461
C=CCn1c(N)c(c2ccccc2C2CC2)nc1CCC,0.1691326
CC[C@H](C)N1C(=NC[C@H]1c1ccccc1C1CC1)N,0.20031463
CC[C@H](C)N1C(=NC[C@@H]1c1ccccc1C1CC1)N,0.20031463
CC[C@@H](C)N1C(=NC[C@H]1c1ccccc1C1CC1)N,0.20031463
CC[C@@H](C)N1C(=NC[C@@H]1c1ccccc1C1CC1)N,0.20031463
CCCN[C@H](c1ccccc1C1CCC1)[C@@H]1C[C@@H]1C,0.14407365
CCCN[C@H](c1ccccc1C1CCC1)[C@H]1C[C@H]1C,0.14407365
CCCN[C@H](c1ccccc1C1CCC1)[C@H]1C[C@@H]1C,0.14407365
CCCN[C@H](c1ccccc1C1CCC1)[C@@H]1C[C@H]1C,0.14407365
C[C@@H]1CN[C@@H](c2ccccc2C2CC2)C1,0.25541428
C[C@H]1CN[C@@H](c2ccccc2C2CC2)C1,0.25541428
C[C@@H]1CN[C@H](c2ccccc2C2CC2)C1,0.25541428
C[C@H]1CN[C@H](c2ccccc2C2CC2)C1,0.25541428
CCCN[C@@H](c1ccccc1C1CCC1)C1(C)CC1,0.121097654
CCCN[C@H](c1ccccc1C1CCC1)C1(C)CC1,0.121097654
NS(=O)(=O)c1c(C(F)(F)F)ccc(C2CC2)c1c1nn[nH]n1,0.17226844
CC(C)Cc1onc(c2ccccc2C2CC2)c1C(=O)O,0.26325652
CCOc1cc(C=O)cc(C2CC2)c1C1CCCC1,0.21335429
C[C@@]1(C(=O)N)C[N@H+](Cc2ccccc2C2CC2)C1,0.15291357
CC(C)CN1C(=NC[C@H]1c1ccccc1C1CC1)N,0.25644362
CC(C)CN1C(=NC[C@@H]1c1ccccc1C1CC1)N,0.25644362
CC(C)N1CC[C@@H](CN)[C@H]1c1ccccc1C1CC1,0.15341339
CC(C)N1CC[C@H](CN)[C@@H]1c1ccccc1C1CC1,0.15341339
CC(C)N1CC[C@H](CN)[C@H]1c1ccccc1C1CC1,0.15341339
CC(C)N1CC[C@@H](CN)[C@@H]1c1ccccc1C1CC1,0.15341339
CCn1c(N)c(c2ccccc2C2CC2)nc1C(C)C,0.26717764
CCN1CC[C@H](CN)[C@H]1c1ccccc1C1CC1,0.24022739
CCN1CC[C@@H](CN)[C@H]1c1ccccc1C1CC1,0.24022739
CCCCn1c(N)c(c2ccccc2C2CC2)nc1CC,0.17114882
C=CCn1c(N)c(c2ccccc2C2CC2)nc1C(C)C,0.28019303
CCN[C@H](c1ccccc1C1CCC1)[C@H]1C[C@H]1C,0.14535634
CCN[C@H](c1ccccc1C1CCC1)[C@@H]1C[C@H]1C,0.14535634
CCCN1CC[C@H](CN)[C@@H]1c1ccccc1C1CC1,0.18202181
CCCN1CC[C@@H](CN)[C@H]1c1ccccc1C1CC1,0.18202181
CCCN1CC[C@H](CN)[C@H]1c1ccccc1C1CC1,0.18202181
CCCN1CC[C@@H](CN)[C@@H]1c1ccccc1C1CC1,0.18202181
NN[C@@H](c1ccccc1C1CCC1)C1CC1,0.2151517
NN[C@H](c1ccccc1C1CCC1)C1CC1,0.2151517
CC(C)CN1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.23831621
CC(C)CN1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.23831621
CC(C)CN1CC[C@@H](N)[C@@H]1c1ccccc1C1CC1,0.23831621
CC(C)CN1CC[C@H](N)[C@@H]1c1ccccc1C1CC1,0.23831621
CCOc1cc(C2CCC2)c(C2CC2)cc1CO,0.31896338
CC(C)Oc1cc(C2CCCC2)c(C2CC2)cc1CO,0.33701423
C#CCn1c(N)c(c2ccccc2C2CC2)nc1CCC,0.13874327
CN(C)CCN1C(=NC[C@@H]1c1ccccc1C1CC1)N,0.20267177
CN(C)CCN1C(=NC[C@H]1c1ccccc1C1CC1)N,0.20267177
CCOc1cc(C=O)cc(C2CC2)c1C1CCC1,0.24306503
CC1(OCC(=O)O)CN(Cc2ccccc2C2CC2)C1,0.12079534
CC(C)Oc1cc(C2CCC2)c(C2CC2)cc1C=O,0.37672982
CCCN1CC[C@@H](CNC)[C@H]1c1ccccc1C1CC1,0.16036145
CCCN1CC[C@@H](CNC)[C@@H]1c1ccccc1C1CC1,0.16036145
CCCN1CC[C@H](CNC)[C@H]1c1ccccc1C1CC1,0.16036145
CCCN1CC[C@H](CNC)[C@@H]1c1ccccc1C1CC1,0.16036145
CCCc1nc(c2ccccc2C2CC2)c(N)n1CC,0.16722435
CCOc1cc(C2CCC2)c(C2CC2)cc1C=O,0.37559745
CC(C)Oc1cc(C2CCCC2)c(C2CC2)cc1C=O,0.33797622
CCNC[C@@H]1CCN(C)[C@H]1c1ccccc1C1CC1,0.28737614
CCNC[C@@H]1CCN(C)[C@@H]1c1ccccc1C1CC1,0.28737614
CCNC[C@H]1CCN(C)[C@@H]1c1ccccc1C1CC1,0.28737614
CCNC[C@H]1CCN(C)[C@H]1c1ccccc1C1CC1,0.28737614
CC(C)(C)N1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.20811932
CC(C)(C)N1CC[C@H](N)[C@@H]1c1ccccc1C1CC1,0.20811932
CC(C)(C)N1CC[C@@H](N)[C@@H]1c1ccccc1C1CC1,0.20811932
CC(C)(C)N1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.20811932
CCN1CC[C@@H](CNC)[C@H]1c1ccccc1C1CC1,0.21344808
CCN1CC[C@H](CNC)[C@@H]1c1ccccc1C1CC1,0.21344808
CCN1CC[C@H](CNC)[C@H]1c1ccccc1C1CC1,0.21344808
CCN1CC[C@@H](CNC)[C@@H]1c1ccccc1C1CC1,0.21344808
CN[C@H](c1ccccc1C1CCC1)C1C(C)(C)C1(C)C,0.19834569
CN[C@@H](c1ccccc1C1CCC1)C1C(C)(C)C1(C)C,0.19834569
CC(C)c1nc(c2ccccc2C2CC2)c(N)n1C(C)C,0.36460924
CC(C)NC[C@@H]1CCN(C)[C@H]1c1ccccc1C1CC1,0.2012299
CC(C)NC[C@@H]1CCN(C)[C@@H]1c1ccccc1C1CC1,0.2012299
CC(C)NC[C@H]1CCN(C)[C@H]1c1ccccc1C1CC1,0.2012299
CC(C)NC[C@H]1CCN(C)[C@@H]1c1ccccc1C1CC1,0.2012299
CNC[C@@H]1CCN(C(C)C)[C@@H]1c1ccccc1C1CC1,0.13459724
CNC[C@H]1CCN(C(C)C)[C@@H]1c1ccccc1C1CC1,0.13459724
CNC[C@H]1CCN(C(C)C)[C@H]1c1ccccc1C1CC1,0.13459724
CNC[C@@H]1CCN(C(C)C)[C@H]1c1ccccc1C1CC1,0.13459724
CC(C)NC[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.1795614
CC(C)NC[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.1795614
CC(C)NC[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.1795614
CC(C)NC[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.1795614
CC(C)CNC[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.25308856
CC(C)CNC[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.25308856
CC(C)CNC[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.25308856
CC(C)CNC[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.25308856
COCCN1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.23079126
COCCN1CC[C@H](N)[C@@H]1c1ccccc1C1CC1,0.23079126
COCCN1CC[C@@H](N)[C@@H]1c1ccccc1C1CC1,0.23079126
COCCN1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.23079126
CCCNC[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.20455101
CCCNC[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.20455101
CCCNC[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.20455101
CCCNC[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.20455101
CC(C)(C)NC[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.2319288
CC(C)(C)NC[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.2319288
CC(C)(C)NC[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.2319288
CC(C)(C)NC[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.2319288
CCCNC[C@H]1CCN(C)[C@H]1c1ccccc1C1CC1,0.22839566
CCCNC[C@@H]1CCN(C)[C@H]1c1ccccc1C1CC1,0.22839566
CCCNC[C@H]1CCN(C)[C@@H]1c1ccccc1C1CC1,0.22839566
CCCNC[C@@H]1CCN(C)[C@@H]1c1ccccc1C1CC1,0.22839566
CCN[C@@H](c1ccccc1C1CCC1)C1C(C)(C)C1(C)C,0.14719449
CCN[C@H](c1ccccc1C1CCC1)C1C(C)(C)C1(C)C,0.14719449
CCOC(=O)c1cc(OCC)c(C2CCC2)c(C2CC2)c1,0.24498992
COCCNC[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.2655147
COCCNC[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.2655147
COCCNC[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.2655147
COCCNC[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.26551464
