SMILES,PPARG
C[C@@]1(C(=O)N)C[N@H+](Cc2ccccc2C2CC2)C1,0.043135427
CC(C)CN1C(=NC[C@H]1c1ccccc1C1CC1)N,0.01329759
CC(C)CN1C(=NC[C@@H]1c1ccccc1C1CC1)N,0.01329759
CC(C)N1CC[C@@H](CN)[C@H]1c1ccccc1C1CC1,0.0029183046
CC(C)N1CC[C@H](CN)[C@@H]1c1ccccc1C1CC1,0.0029183046
CC(C)N1CC[C@H](CN)[C@H]1c1ccccc1C1CC1,0.0029183046
CC(C)N1CC[C@@H](CN)[C@@H]1c1ccccc1C1CC1,0.0029183046
CCn1c(N)c(c2ccccc2C2CC2)nc1C(C)C,0.038581155
CCN1CC[C@H](CN)[C@H]1c1ccccc1C1CC1,0.010179449
CCN1CC[C@@H](CN)[C@H]1c1ccccc1C1CC1,0.010179449
CCCCn1c(N)c(c2ccccc2C2CC2)nc1CC,0.05766453
C=CCn1c(N)c(c2ccccc2C2CC2)nc1C(C)C,0.068429135
CCN[C@H](c1ccccc1C1CCC1)[C@H]1C[C@H]1C,0.055209186
CCN[C@H](c1ccccc1C1CCC1)[C@@H]1C[C@H]1C,0.055209186
CCCN1CC[C@H](CN)[C@@H]1c1ccccc1C1CC1,0.014207232
CCCN1CC[C@@H](CN)[C@H]1c1ccccc1C1CC1,0.014207232
CCCN1CC[C@H](CN)[C@H]1c1ccccc1C1CC1,0.014207232
CCCN1CC[C@@H](CN)[C@@H]1c1ccccc1C1CC1,0.014207232
NN[C@@H](c1ccccc1C1CCC1)C1CC1,0.002020073
NN[C@H](c1ccccc1C1CCC1)C1CC1,0.002020073
CC(C)CN1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.008752204
CC(C)CN1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.008752204
CC(C)CN1CC[C@@H](N)[C@@H]1c1ccccc1C1CC1,0.008752204
CC(C)CN1CC[C@H](N)[C@@H]1c1ccccc1C1CC1,0.008752204
CCOc1cc(C2CCC2)c(C2CC2)cc1CO,0.13251817
CC(C)Oc1cc(C2CCCC2)c(C2CC2)cc1CO,0.09588413
C#CCn1c(N)c(c2ccccc2C2CC2)nc1CCC,0.03694047
CN(C)CCN1C(=NC[C@@H]1c1ccccc1C1CC1)N,0.002702046
CN(C)CCN1C(=NC[C@H]1c1ccccc1C1CC1)N,0.002702046
CCOc1cc(C=O)cc(C2CC2)c1C1CCC1,0.4849121
CC1(OCC(=O)O)CN(Cc2ccccc2C2CC2)C1,0.19328168
CC(C)Oc1cc(C2CCC2)c(C2CC2)cc1C=O,0.1305855
CCCN1CC[C@@H](CNC)[C@H]1c1ccccc1C1CC1,0.015408304
CCCN1CC[C@@H](CNC)[C@@H]1c1ccccc1C1CC1,0.015408304
CCCN1CC[C@H](CNC)[C@H]1c1ccccc1C1CC1,0.015408304
CCCN1CC[C@H](CNC)[C@@H]1c1ccccc1C1CC1,0.015408304
CCCc1nc(c2ccccc2C2CC2)c(N)n1CC,0.107296266
