SMILES,IRAK4
CC1(C)C([C@@H](N)c2ccccc2C2CCC2)C1(C)C,0.36592013
CC1(C)C([C@H](N)c2ccccc2C2CCC2)C1(C)C,0.36592013
C=CCn1c(N)c(c2ccccc2C2CC2)nc1CCC,0.3488554
CC[C@H](C)N1C(=NC[C@H]1c1ccccc1C1CC1)N,0.4085819
CC[C@H](C)N1C(=NC[C@@H]1c1ccccc1C1CC1)N,0.4085819
CC[C@@H](C)N1C(=NC[C@H]1c1ccccc1C1CC1)N,0.4085819
CC[C@@H](C)N1C(=NC[C@@H]1c1ccccc1C1CC1)N,0.4085819
CCCN[C@H](c1ccccc1C1CCC1)[C@@H]1C[C@@H]1C,0.40799585
CCCN[C@H](c1ccccc1C1CCC1)[C@H]1C[C@H]1C,0.40799585
CCCN[C@H](c1ccccc1C1CCC1)[C@H]1C[C@@H]1C,0.40799585
CCCN[C@H](c1ccccc1C1CCC1)[C@@H]1C[C@H]1C,0.40799585
C[C@@H]1CN[C@@H](c2ccccc2C2CC2)C1,0.51405
C[C@H]1CN[C@@H](c2ccccc2C2CC2)C1,0.51405
C[C@@H]1CN[C@H](c2ccccc2C2CC2)C1,0.51405
C[C@H]1CN[C@H](c2ccccc2C2CC2)C1,0.51405
CCCN[C@@H](c1ccccc1C1CCC1)C1(C)CC1,0.38711926
CCCN[C@H](c1ccccc1C1CCC1)C1(C)CC1,0.38711926
NS(=O)(=O)c1c(C(F)(F)F)ccc(C2CC2)c1c1nn[nH]n1,0.15592815
CC(C)Cc1onc(c2ccccc2C2CC2)c1C(=O)O,0.32538214
CCOc1cc(C=O)cc(C2CC2)c1C1CCCC1,0.21688506
C[C@@]1(C(=O)N)C[N@H+](Cc2ccccc2C2CC2)C1,0.37247774
CC(C)CN1C(=NC[C@H]1c1ccccc1C1CC1)N,0.37059465
CC(C)CN1C(=NC[C@@H]1c1ccccc1C1CC1)N,0.37059465
CC(C)N1CC[C@@H](CN)[C@H]1c1ccccc1C1CC1,0.39418224
CC(C)N1CC[C@H](CN)[C@@H]1c1ccccc1C1CC1,0.39418224
CC(C)N1CC[C@H](CN)[C@H]1c1ccccc1C1CC1,0.39418224
CC(C)N1CC[C@@H](CN)[C@@H]1c1ccccc1C1CC1,0.39418224
CCn1c(N)c(c2ccccc2C2CC2)nc1C(C)C,0.33610168
CCN1CC[C@H](CN)[C@H]1c1ccccc1C1CC1,0.36407077
CCN1CC[C@@H](CN)[C@H]1c1ccccc1C1CC1,0.36407077
CCCCn1c(N)c(c2ccccc2C2CC2)nc1CC,0.43608797
C=CCn1c(N)c(c2ccccc2C2CC2)nc1C(C)C,0.29777578
CCN[C@H](c1ccccc1C1CCC1)[C@H]1C[C@H]1C,0.37311327
CCN[C@H](c1ccccc1C1CCC1)[C@@H]1C[C@H]1C,0.37311327
CCCN1CC[C@H](CN)[C@@H]1c1ccccc1C1CC1,0.34777427
CCCN1CC[C@@H](CN)[C@H]1c1ccccc1C1CC1,0.34777427
CCCN1CC[C@H](CN)[C@H]1c1ccccc1C1CC1,0.34777427
CCCN1CC[C@@H](CN)[C@@H]1c1ccccc1C1CC1,0.34777427
NN[C@@H](c1ccccc1C1CCC1)C1CC1,0.50697005
NN[C@H](c1ccccc1C1CCC1)C1CC1,0.50697005
CC(C)CN1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.25342688
CC(C)CN1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.25342688
CC(C)CN1CC[C@@H](N)[C@@H]1c1ccccc1C1CC1,0.25342688
CC(C)CN1CC[C@H](N)[C@@H]1c1ccccc1C1CC1,0.25342688
CCOc1cc(C2CCC2)c(C2CC2)cc1CO,0.31462967
CC(C)Oc1cc(C2CCCC2)c(C2CC2)cc1CO,0.27778694
C#CCn1c(N)c(c2ccccc2C2CC2)nc1CCC,0.29209673
CN(C)CCN1C(=NC[C@@H]1c1ccccc1C1CC1)N,0.42282996
CN(C)CCN1C(=NC[C@H]1c1ccccc1C1CC1)N,0.42282996
CCOc1cc(C=O)cc(C2CC2)c1C1CCC1,0.230113
CC1(OCC(=O)O)CN(Cc2ccccc2C2CC2)C1,0.2946918
CC(C)Oc1cc(C2CCC2)c(C2CC2)cc1C=O,0.27165505
CCCN1CC[C@@H](CNC)[C@H]1c1ccccc1C1CC1,0.31917533
CCCN1CC[C@@H](CNC)[C@@H]1c1ccccc1C1CC1,0.31917533
CCCN1CC[C@H](CNC)[C@H]1c1ccccc1C1CC1,0.31917533
CCCN1CC[C@H](CNC)[C@@H]1c1ccccc1C1CC1,0.31917533
CCCc1nc(c2ccccc2C2CC2)c(N)n1CC,0.35798818
CCOc1cc(C2CCC2)c(C2CC2)cc1C=O,0.325438
CC(C)Oc1cc(C2CCCC2)c(C2CC2)cc1C=O,0.25683573
CCNC[C@@H]1CCN(C)[C@H]1c1ccccc1C1CC1,0.4408705
CCNC[C@@H]1CCN(C)[C@@H]1c1ccccc1C1CC1,0.4408705
CCNC[C@H]1CCN(C)[C@@H]1c1ccccc1C1CC1,0.4408705
CCNC[C@H]1CCN(C)[C@H]1c1ccccc1C1CC1,0.4408705
CC(C)(C)N1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.38112044
CC(C)(C)N1CC[C@H](N)[C@@H]1c1ccccc1C1CC1,0.38112044
CC(C)(C)N1CC[C@@H](N)[C@@H]1c1ccccc1C1CC1,0.38112044
CC(C)(C)N1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.38112044
CCN1CC[C@@H](CNC)[C@H]1c1ccccc1C1CC1,0.3348195
CCN1CC[C@H](CNC)[C@@H]1c1ccccc1C1CC1,0.3348195
CCN1CC[C@H](CNC)[C@H]1c1ccccc1C1CC1,0.3348195
CCN1CC[C@@H](CNC)[C@@H]1c1ccccc1C1CC1,0.3348195
CN[C@H](c1ccccc1C1CCC1)C1C(C)(C)C1(C)C,0.46086928
CN[C@@H](c1ccccc1C1CCC1)C1C(C)(C)C1(C)C,0.46086928
CC(C)c1nc(c2ccccc2C2CC2)c(N)n1C(C)C,0.3771915
CC(C)NC[C@@H]1CCN(C)[C@H]1c1ccccc1C1CC1,0.37970924
CC(C)NC[C@@H]1CCN(C)[C@@H]1c1ccccc1C1CC1,0.37970924
CC(C)NC[C@H]1CCN(C)[C@H]1c1ccccc1C1CC1,0.37970924
CC(C)NC[C@H]1CCN(C)[C@@H]1c1ccccc1C1CC1,0.37970924
CNC[C@@H]1CCN(C(C)C)[C@@H]1c1ccccc1C1CC1,0.36389625
CNC[C@H]1CCN(C(C)C)[C@@H]1c1ccccc1C1CC1,0.36389625
CNC[C@H]1CCN(C(C)C)[C@H]1c1ccccc1C1CC1,0.36389625
CNC[C@@H]1CCN(C(C)C)[C@H]1c1ccccc1C1CC1,0.36389625
CC(C)NC[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.24147348
CC(C)NC[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.24147348
CC(C)NC[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.24147348
CC(C)NC[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.24147348
CC(C)CNC[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.2841503
CC(C)CNC[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.2841503
CC(C)CNC[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.2841503
CC(C)CNC[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.2841503
COCCN1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.4038951
COCCN1CC[C@H](N)[C@@H]1c1ccccc1C1CC1,0.4038951
COCCN1CC[C@@H](N)[C@@H]1c1ccccc1C1CC1,0.4038951
COCCN1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.4038951
CCCNC[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.34846023
CCCNC[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.34846023
CCCNC[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.34846023
CCCNC[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.34846023
CC(C)(C)NC[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.33146003
CC(C)(C)NC[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.33146003
CC(C)(C)NC[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.33146003
CC(C)(C)NC[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.33146003
CCCNC[C@H]1CCN(C)[C@H]1c1ccccc1C1CC1,0.5070049
CCCNC[C@@H]1CCN(C)[C@H]1c1ccccc1C1CC1,0.5070049
CCCNC[C@H]1CCN(C)[C@@H]1c1ccccc1C1CC1,0.5070049
CCCNC[C@@H]1CCN(C)[C@@H]1c1ccccc1C1CC1,0.5070049
CCN[C@@H](c1ccccc1C1CCC1)C1C(C)(C)C1(C)C,0.3706913
CCN[C@H](c1ccccc1C1CCC1)C1C(C)(C)C1(C)C,0.3706913
CCOC(=O)c1cc(OCC)c(C2CCC2)c(C2CC2)c1,0.24100898
COCCNC[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.38469055
COCCNC[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.38469055
COCCNC[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.38469055
COCCNC[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.38469088
