SMILES,ALK
N[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.5467311
C[C@H]1C[C@@H](c2ccccc2C2CC2)CN1,0.44453776
C[C@@H]1C[C@H](c2ccccc2C2CC2)CN1,0.44453776
C[C@H]1C[C@H](c2ccccc2C2CC2)CN1,0.44453776
C[C@@H]1C[C@@H](c2ccccc2C2CC2)CN1,0.44453776
CCC[C@H](N)c1cc(c2ccccc2C2CC2)no1,0.19873275
CCC[C@@H](N)c1cc(c2ccccc2C2CC2)no1,0.19873275
O[C@@H]1CN[C@H](c2ccccc2C2CC2)C1,0.6002654
O[C@H]1CN[C@@H](c2ccccc2C2CC2)C1,0.6002654
O[C@H]1CN[C@H](c2ccccc2C2CC2)C1,0.6002654
O[C@@H]1CN[C@@H](c2ccccc2C2CC2)C1,0.6002654
CC1(C#N)CN(Cc2ccccc2C2CC2)C1,0.59399015
NC1=NC[C@@H](c2ccccc2C2CC2)N1,0.42274818
NC1=NC[C@H](c2ccccc2C2CC2)N1,0.42274818
NC1=NC[C@@H](c2ccccc2C2CC2)O1,0.49587205
NC1=NC[C@H](c2ccccc2C2CC2)O1,0.49587205
CC(C)(C)n1cnc(c2ccccc2C2CC2)c1N,0.3123912
N#C[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.6054375
N#C[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.6054375
N#C[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.6054375
N#C[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.6054375
CN[C@H](c1ccccc1C1CCC1)[C@@H]1C[C@H]1C,0.45009238
CN[C@H](c1ccccc1C1CCC1)[C@H]1C[C@H]1C,0.45009238
CC1([C@@H](NN)c2ccccc2C2CCC2)CC1,0.30961636
CC1([C@H](NN)c2ccccc2C2CCC2)CC1,0.30961636
CC1(C)NCC[C@H]1c1ccccc1C1CC1,0.6403759
CC1(C)NCC[C@@H]1c1ccccc1C1CC1,0.6403759
C[C@@]1(N)CNC[C@H]1c1ccccc1C1CC1,0.5178497
C[C@@]1(N)CNC[C@@H]1c1ccccc1C1CC1,0.5178497
CC1(C)C[C@H]1[C@H](N)c1ccccc1C1CCC1,0.3008312
CC1(C)C[C@@H]1[C@@H](N)c1ccccc1C1CCC1,0.3008312
CC1(C)C[C@H]1[C@@H](N)c1ccccc1C1CCC1,0.3008312
C[C@]1(N)CNC[C@H]1c1ccccc1C1CC1,0.5178497
C[C@]1(N)CNC[C@@H]1c1ccccc1C1CC1,0.5178497
CC1(C)C[C@@H]1[C@H](N)c1ccccc1C1CCC1,0.3008312
Cn1c(N)c(c2ccccc2C2CC2)nc1C(C)(C)C,0.28536317
CCc1nc(c2ccccc2C2CC2)c(N)n1CC,0.40883887
CN1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.5662866
CN1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.5662866
C[C@@H]1C[C@@H]1[C@H](N)c1ccccc1C1CCC1,0.3251983
C[C@@H]1C[C@H]1[C@H](N)c1ccccc1C1CCC1,0.3251983
CC[C@@H]1CCN[C@H]1c1ccccc1C1CC1,0.2908017
CC[C@@H]1CCN[C@@H]1c1ccccc1C1CC1,0.2908017
CC[C@H]1CCN[C@@H]1c1ccccc1C1CC1,0.2908017
CC[C@H]1CCN[C@H]1c1ccccc1C1CC1,0.2908017
C[C@@H]1C[C@H]1[C@H](O)c1ccccc1C1CCC1,0.4666059
C[C@@H]1C[C@@H]1[C@H](O)c1ccccc1C1CCC1,0.4666059
C[C@@H]1C[C@H]1[C@H](NN)c1ccccc1C1CCC1,0.44163558
C[C@@H]1C[C@H]1[C@@H](NN)c1ccccc1C1CCC1,0.44163558
C[C@@H]1C[C@@H]1[C@@H](NN)c1ccccc1C1CCC1,0.44163558
C[C@@H]1C[C@@H]1[C@H](NN)c1ccccc1C1CCC1,0.44163558
CCc1nc(c2ccccc2C2CC2)c(N)n1C(C)C,0.29515144
CCCCn1c(C)nc(c2ccccc2C2CC2)c1N,0.23288603
CC[C@@H]1N[C@H](C)C[C@H]1c1ccccc1C1CC1,0.45081255
CC(C)(C)c1nc(c2ccccc2C2CC2)c(N)n1N,0.22515382
CC(C)c1onc(c2ccccc2C2CC2)c1C(=O)O,0.26316962
Cc1nc(c2ccccc2C2CC2)c(N)n1CC(C)C,0.43313962
OC[C@@H]1CC(=NO1)c1ccccc1C1CC1,0.24976908
OC[C@H]1CC(=NO1)c1ccccc1C1CC1,0.24976908
NC[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.40911877
NC[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.40911877
NC[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.40911877
NC[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.40911877
CCCc1onc(c2ccccc2C2CC2)c1C(=O)O,0.124056704
C#CCn1c(N)c(c2ccccc2C2CC2)nc1CC,0.34229028
Cc1nc(c2ccccc2C2CC2)c(N)n1C(C)(C)C,0.2485161
CN1CC[C@@H](CN)[C@H]1c1ccccc1C1CC1,0.52614665
CN1CC[C@H](CN)[C@H]1c1ccccc1C1CC1,0.52614665
CCCn1c(N)c(c2ccccc2C2CC2)nc1CC,0.29231316
C=CCn1c(N)c(c2ccccc2C2CC2)nc1CC,0.37703115
CCN1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.41416577
CCN1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.41416577
COCCN1C(=NC[C@H]1c1ccccc1C1CC1)N,0.33072534
COCCN1C(=NC[C@@H]1c1ccccc1C1CC1)N,0.33072534
CC(C)N1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.47187734
CC(C)N1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.47187734
CC1(C)C([C@@H](N)c2ccccc2C2CCC2)C1(C)C,0.41492736
CC1(C)C([C@H](N)c2ccccc2C2CCC2)C1(C)C,0.41492736
C=CCn1c(N)c(c2ccccc2C2CC2)nc1CCC,0.3456752
CC[C@H](C)N1C(=NC[C@H]1c1ccccc1C1CC1)N,0.28395784
CC[C@H](C)N1C(=NC[C@@H]1c1ccccc1C1CC1)N,0.28395784
CC[C@@H](C)N1C(=NC[C@H]1c1ccccc1C1CC1)N,0.28395784
CC[C@@H](C)N1C(=NC[C@@H]1c1ccccc1C1CC1)N,0.28395784
CCCN[C@H](c1ccccc1C1CCC1)[C@@H]1C[C@@H]1C,0.28665194
CCCN[C@H](c1ccccc1C1CCC1)[C@H]1C[C@H]1C,0.28665194
CCCN[C@H](c1ccccc1C1CCC1)[C@H]1C[C@@H]1C,0.28665194
CCCN[C@H](c1ccccc1C1CCC1)[C@@H]1C[C@H]1C,0.28665194
C[C@@H]1CN[C@@H](c2ccccc2C2CC2)C1,0.57485986
C[C@H]1CN[C@@H](c2ccccc2C2CC2)C1,0.57485986
C[C@@H]1CN[C@H](c2ccccc2C2CC2)C1,0.57485986
C[C@H]1CN[C@H](c2ccccc2C2CC2)C1,0.57485986
CCCN[C@@H](c1ccccc1C1CCC1)C1(C)CC1,0.15839164
CCCN[C@H](c1ccccc1C1CCC1)C1(C)CC1,0.15839164
NS(=O)(=O)c1c(C(F)(F)F)ccc(C2CC2)c1c1nn[nH]n1,0.1270731
CC(C)Cc1onc(c2ccccc2C2CC2)c1C(=O)O,0.1736982
CCOc1cc(C=O)cc(C2CC2)c1C1CCCC1,0.2555405
C[C@@]1(C(=O)N)C[N@H+](Cc2ccccc2C2CC2)C1,0.28074688
CC(C)CN1C(=NC[C@H]1c1ccccc1C1CC1)N,0.36638144
CC(C)CN1C(=NC[C@@H]1c1ccccc1C1CC1)N,0.36638144
CC(C)N1CC[C@@H](CN)[C@H]1c1ccccc1C1CC1,0.40651503
CC(C)N1CC[C@H](CN)[C@@H]1c1ccccc1C1CC1,0.40651503
CC(C)N1CC[C@H](CN)[C@H]1c1ccccc1C1CC1,0.40651503
CC(C)N1CC[C@@H](CN)[C@@H]1c1ccccc1C1CC1,0.40651503
CCn1c(N)c(c2ccccc2C2CC2)nc1C(C)C,0.49046624
CCN1CC[C@H](CN)[C@H]1c1ccccc1C1CC1,0.4411145
CCN1CC[C@@H](CN)[C@H]1c1ccccc1C1CC1,0.4411145
CCCCn1c(N)c(c2ccccc2C2CC2)nc1CC,0.2467889
C=CCn1c(N)c(c2ccccc2C2CC2)nc1C(C)C,0.4281916
CCN[C@H](c1ccccc1C1CCC1)[C@H]1C[C@H]1C,0.32007456
CCN[C@H](c1ccccc1C1CCC1)[C@@H]1C[C@H]1C,0.32007456
CCCN1CC[C@H](CN)[C@@H]1c1ccccc1C1CC1,0.4172921
CCCN1CC[C@@H](CN)[C@H]1c1ccccc1C1CC1,0.4172921
CCCN1CC[C@H](CN)[C@H]1c1ccccc1C1CC1,0.4172921
CCCN1CC[C@@H](CN)[C@@H]1c1ccccc1C1CC1,0.4172921
NN[C@@H](c1ccccc1C1CCC1)C1CC1,0.39010808
NN[C@H](c1ccccc1C1CCC1)C1CC1,0.39010808
CC(C)CN1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.4738699
CC(C)CN1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.4738699
CC(C)CN1CC[C@@H](N)[C@@H]1c1ccccc1C1CC1,0.4738699
CC(C)CN1CC[C@H](N)[C@@H]1c1ccccc1C1CC1,0.4738699
CCOc1cc(C2CCC2)c(C2CC2)cc1CO,0.28299445
CC(C)Oc1cc(C2CCCC2)c(C2CC2)cc1CO,0.35100284
C#CCn1c(N)c(c2ccccc2C2CC2)nc1CCC,0.31237468
CN(C)CCN1C(=NC[C@@H]1c1ccccc1C1CC1)N,0.2478648
CN(C)CCN1C(=NC[C@H]1c1ccccc1C1CC1)N,0.2478648
CCOc1cc(C=O)cc(C2CC2)c1C1CCC1,0.2714364
CC1(OCC(=O)O)CN(Cc2ccccc2C2CC2)C1,0.20861445
CC(C)Oc1cc(C2CCC2)c(C2CC2)cc1C=O,0.5912177
CCCN1CC[C@@H](CNC)[C@H]1c1ccccc1C1CC1,0.49587506
CCCN1CC[C@@H](CNC)[C@@H]1c1ccccc1C1CC1,0.49587506
CCCN1CC[C@H](CNC)[C@H]1c1ccccc1C1CC1,0.49587506
CCCN1CC[C@H](CNC)[C@@H]1c1ccccc1C1CC1,0.49587506
CCCc1nc(c2ccccc2C2CC2)c(N)n1CC,0.3764361
CCOc1cc(C2CCC2)c(C2CC2)cc1C=O,0.5180561
CC(C)Oc1cc(C2CCCC2)c(C2CC2)cc1C=O,0.5712786
CCNC[C@@H]1CCN(C)[C@H]1c1ccccc1C1CC1,0.5154183
CCNC[C@@H]1CCN(C)[C@@H]1c1ccccc1C1CC1,0.5154183
CCNC[C@H]1CCN(C)[C@@H]1c1ccccc1C1CC1,0.5154183
CCNC[C@H]1CCN(C)[C@H]1c1ccccc1C1CC1,0.5154183
CC(C)(C)N1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.4548649
CC(C)(C)N1CC[C@H](N)[C@@H]1c1ccccc1C1CC1,0.4548649
CC(C)(C)N1CC[C@@H](N)[C@@H]1c1ccccc1C1CC1,0.4548649
CC(C)(C)N1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.4548649
CCN1CC[C@@H](CNC)[C@H]1c1ccccc1C1CC1,0.52017903
CCN1CC[C@H](CNC)[C@@H]1c1ccccc1C1CC1,0.52017903
CCN1CC[C@H](CNC)[C@H]1c1ccccc1C1CC1,0.52017903
CCN1CC[C@@H](CNC)[C@@H]1c1ccccc1C1CC1,0.52017903
CN[C@H](c1ccccc1C1CCC1)C1C(C)(C)C1(C)C,0.5209029
CN[C@@H](c1ccccc1C1CCC1)C1C(C)(C)C1(C)C,0.5209029
CC(C)c1nc(c2ccccc2C2CC2)c(N)n1C(C)C,0.33958894
CC(C)NC[C@@H]1CCN(C)[C@H]1c1ccccc1C1CC1,0.41586736
CC(C)NC[C@@H]1CCN(C)[C@@H]1c1ccccc1C1CC1,0.41586736
CC(C)NC[C@H]1CCN(C)[C@H]1c1ccccc1C1CC1,0.41586736
CC(C)NC[C@H]1CCN(C)[C@@H]1c1ccccc1C1CC1,0.41586736
CNC[C@@H]1CCN(C(C)C)[C@@H]1c1ccccc1C1CC1,0.48475698
CNC[C@H]1CCN(C(C)C)[C@@H]1c1ccccc1C1CC1,0.48475698
CNC[C@H]1CCN(C(C)C)[C@H]1c1ccccc1C1CC1,0.48475698
CNC[C@@H]1CCN(C(C)C)[C@H]1c1ccccc1C1CC1,0.48475698
CC(C)NC[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.2751133
CC(C)NC[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.2751133
CC(C)NC[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.2751133
CC(C)NC[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.2751133
CC(C)CNC[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.29138303
CC(C)CNC[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.29138303
CC(C)CNC[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.29138303
CC(C)CNC[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.29138303
COCCN1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.52160347
COCCN1CC[C@H](N)[C@@H]1c1ccccc1C1CC1,0.52160347
COCCN1CC[C@@H](N)[C@@H]1c1ccccc1C1CC1,0.52160347
COCCN1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.52160347
CCCNC[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.18687986
CCCNC[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.18687986
CCCNC[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.18687986
CCCNC[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.18687986
CC(C)(C)NC[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.2886877
CC(C)(C)NC[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.2886877
CC(C)(C)NC[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.2886877
CC(C)(C)NC[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.2886877
CCCNC[C@H]1CCN(C)[C@H]1c1ccccc1C1CC1,0.30125216
CCCNC[C@@H]1CCN(C)[C@H]1c1ccccc1C1CC1,0.30125216
CCCNC[C@H]1CCN(C)[C@@H]1c1ccccc1C1CC1,0.30125216
CCCNC[C@@H]1CCN(C)[C@@H]1c1ccccc1C1CC1,0.30125216
CCN[C@@H](c1ccccc1C1CCC1)C1C(C)(C)C1(C)C,0.41483954
CCN[C@H](c1ccccc1C1CCC1)C1C(C)(C)C1(C)C,0.41483954
CCOC(=O)c1cc(OCC)c(C2CCC2)c(C2CC2)c1,0.39628443
COCCNC[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.36141592
COCCNC[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.36141592
COCCNC[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.36141592
COCCNC[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.361416
