SMILES,EDNRB
CCN1CC[C@@H](CNC)[C@H]1c1ccccc1C1CC1,0.40200087
CCN1CC[C@H](CNC)[C@@H]1c1ccccc1C1CC1,0.40200087
CCN1CC[C@H](CNC)[C@H]1c1ccccc1C1CC1,0.40200087
CCN1CC[C@@H](CNC)[C@@H]1c1ccccc1C1CC1,0.40200087
CN[C@H](c1ccccc1C1CCC1)C1C(C)(C)C1(C)C,0.117523655
CN[C@@H](c1ccccc1C1CCC1)C1C(C)(C)C1(C)C,0.117523655
CC(C)c1nc(c2ccccc2C2CC2)c(N)n1C(C)C,0.23343892
CC(C)NC[C@@H]1CCN(C)[C@H]1c1ccccc1C1CC1,0.084786505
CC(C)NC[C@@H]1CCN(C)[C@@H]1c1ccccc1C1CC1,0.084786505
CC(C)NC[C@H]1CCN(C)[C@H]1c1ccccc1C1CC1,0.084786505
CC(C)NC[C@H]1CCN(C)[C@@H]1c1ccccc1C1CC1,0.084786505
CNC[C@@H]1CCN(C(C)C)[C@@H]1c1ccccc1C1CC1,0.12005953
CNC[C@H]1CCN(C(C)C)[C@@H]1c1ccccc1C1CC1,0.12005953
CNC[C@H]1CCN(C(C)C)[C@H]1c1ccccc1C1CC1,0.12005953
CNC[C@@H]1CCN(C(C)C)[C@H]1c1ccccc1C1CC1,0.12005953
CC(C)NC[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.13986337
CC(C)NC[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.13986337
CC(C)NC[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.13986337
CC(C)NC[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.13986337
CC(C)CNC[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.23571144
CC(C)CNC[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.23571144
CC(C)CNC[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.23571144
CC(C)CNC[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.23571144
COCCN1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.28678137
COCCN1CC[C@H](N)[C@@H]1c1ccccc1C1CC1,0.28678137
COCCN1CC[C@@H](N)[C@@H]1c1ccccc1C1CC1,0.28678137
COCCN1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.28678137
CCCNC[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.16289733
