SMILES,ESR1
CCCN1CC[C@H](CN)[C@@H]1c1ccccc1C1CC1,0.25829637
CCCN1CC[C@@H](CN)[C@H]1c1ccccc1C1CC1,0.25829637
CCCN1CC[C@H](CN)[C@H]1c1ccccc1C1CC1,0.25829637
CCCN1CC[C@@H](CN)[C@@H]1c1ccccc1C1CC1,0.25829637
NN[C@@H](c1ccccc1C1CCC1)C1CC1,0.06731445
NN[C@H](c1ccccc1C1CCC1)C1CC1,0.06731445
CC(C)CN1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.2726659
CC(C)CN1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.2726659
CC(C)CN1CC[C@@H](N)[C@@H]1c1ccccc1C1CC1,0.2726659
CC(C)CN1CC[C@H](N)[C@@H]1c1ccccc1C1CC1,0.2726659
CCOc1cc(C2CCC2)c(C2CC2)cc1CO,0.5201537
CC(C)Oc1cc(C2CCCC2)c(C2CC2)cc1CO,0.36046416
C#CCn1c(N)c(c2ccccc2C2CC2)nc1CCC,0.09483454
CN(C)CCN1C(=NC[C@@H]1c1ccccc1C1CC1)N,0.038806427
CN(C)CCN1C(=NC[C@H]1c1ccccc1C1CC1)N,0.038806427
CCOc1cc(C=O)cc(C2CC2)c1C1CCC1,0.14104214
CC1(OCC(=O)O)CN(Cc2ccccc2C2CC2)C1,0.1315416
CC(C)Oc1cc(C2CCC2)c(C2CC2)cc1C=O,0.24131635
CCCN1CC[C@@H](CNC)[C@H]1c1ccccc1C1CC1,0.1568931
CCCN1CC[C@@H](CNC)[C@@H]1c1ccccc1C1CC1,0.1568931
CCCN1CC[C@H](CNC)[C@H]1c1ccccc1C1CC1,0.1568931
CCCN1CC[C@H](CNC)[C@@H]1c1ccccc1C1CC1,0.1568931
CCCc1nc(c2ccccc2C2CC2)c(N)n1CC,0.11883883
CCOc1cc(C2CCC2)c(C2CC2)cc1C=O,0.19471832
CC(C)Oc1cc(C2CCCC2)c(C2CC2)cc1C=O,0.19050203
CCNC[C@@H]1CCN(C)[C@H]1c1ccccc1C1CC1,0.10664161
CCNC[C@@H]1CCN(C)[C@@H]1c1ccccc1C1CC1,0.10664161
CCNC[C@H]1CCN(C)[C@@H]1c1ccccc1C1CC1,0.10664161
CCNC[C@H]1CCN(C)[C@H]1c1ccccc1C1CC1,0.10664161
CC(C)(C)N1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.14868566
CC(C)(C)N1CC[C@H](N)[C@@H]1c1ccccc1C1CC1,0.14868566
CC(C)(C)N1CC[C@@H](N)[C@@H]1c1ccccc1C1CC1,0.14868566
CC(C)(C)N1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.14868566
