SMILES,PIM2
CN(C)CCN1C(=NC[C@@H]1c1ccccc1C1CC1)N,0.17221847
CN(C)CCN1C(=NC[C@H]1c1ccccc1C1CC1)N,0.17221847
CCOc1cc(C=O)cc(C2CC2)c1C1CCC1,0.10418239
CC1(OCC(=O)O)CN(Cc2ccccc2C2CC2)C1,0.08097157
CC(C)Oc1cc(C2CCC2)c(C2CC2)cc1C=O,0.12399337
CCCN1CC[C@@H](CNC)[C@H]1c1ccccc1C1CC1,0.11132455
CCCN1CC[C@@H](CNC)[C@@H]1c1ccccc1C1CC1,0.11132455
CCCN1CC[C@H](CNC)[C@H]1c1ccccc1C1CC1,0.11132455
CCCN1CC[C@H](CNC)[C@@H]1c1ccccc1C1CC1,0.11132455
CCCc1nc(c2ccccc2C2CC2)c(N)n1CC,0.14399555
CCOc1cc(C2CCC2)c(C2CC2)cc1C=O,0.19049463
CC(C)Oc1cc(C2CCCC2)c(C2CC2)cc1C=O,0.122427665
CCNC[C@@H]1CCN(C)[C@H]1c1ccccc1C1CC1,0.118743114
CCNC[C@@H]1CCN(C)[C@@H]1c1ccccc1C1CC1,0.118743114
CCNC[C@H]1CCN(C)[C@@H]1c1ccccc1C1CC1,0.118743114
CCNC[C@H]1CCN(C)[C@H]1c1ccccc1C1CC1,0.118743114
CC(C)(C)N1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.16870084
CC(C)(C)N1CC[C@H](N)[C@@H]1c1ccccc1C1CC1,0.16870084
CC(C)(C)N1CC[C@@H](N)[C@@H]1c1ccccc1C1CC1,0.16870084
CC(C)(C)N1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.16870084
CCN1CC[C@@H](CNC)[C@H]1c1ccccc1C1CC1,0.17675652
CCN1CC[C@H](CNC)[C@@H]1c1ccccc1C1CC1,0.17675652
CCN1CC[C@H](CNC)[C@H]1c1ccccc1C1CC1,0.17675652
CCN1CC[C@@H](CNC)[C@@H]1c1ccccc1C1CC1,0.17675652
CN[C@H](c1ccccc1C1CCC1)C1C(C)(C)C1(C)C,0.23618479
CN[C@@H](c1ccccc1C1CCC1)C1C(C)(C)C1(C)C,0.23618479
CC(C)c1nc(c2ccccc2C2CC2)c(N)n1C(C)C,0.13226143
CC(C)NC[C@@H]1CCN(C)[C@H]1c1ccccc1C1CC1,0.13974583
CC(C)NC[C@@H]1CCN(C)[C@@H]1c1ccccc1C1CC1,0.13974583
CC(C)NC[C@H]1CCN(C)[C@H]1c1ccccc1C1CC1,0.13974583
CC(C)NC[C@H]1CCN(C)[C@@H]1c1ccccc1C1CC1,0.13974583
CNC[C@@H]1CCN(C(C)C)[C@@H]1c1ccccc1C1CC1,0.16302207
CNC[C@H]1CCN(C(C)C)[C@@H]1c1ccccc1C1CC1,0.16302207
CNC[C@H]1CCN(C(C)C)[C@H]1c1ccccc1C1CC1,0.16302207
CNC[C@@H]1CCN(C(C)C)[C@H]1c1ccccc1C1CC1,0.16302207
CC(C)NC[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.1759574
CC(C)NC[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.1759574
CC(C)NC[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.1759574
CC(C)NC[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.1759574
CC(C)CNC[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.106817126
CC(C)CNC[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.106817126
CC(C)CNC[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.106817126
CC(C)CNC[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.106817126
COCCN1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.14830236
COCCN1CC[C@H](N)[C@@H]1c1ccccc1C1CC1,0.14830236
COCCN1CC[C@@H](N)[C@@H]1c1ccccc1C1CC1,0.14830236
COCCN1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.14830236
CCCNC[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.14165822
CCCNC[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.14165822
CCCNC[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.14165822
CCCNC[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.14165822
CC(C)(C)NC[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.15221891
CC(C)(C)NC[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.15221891
CC(C)(C)NC[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.15221891
CC(C)(C)NC[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.15221891
CCCNC[C@H]1CCN(C)[C@H]1c1ccccc1C1CC1,0.11154995
CCCNC[C@@H]1CCN(C)[C@H]1c1ccccc1C1CC1,0.11154995
CCCNC[C@H]1CCN(C)[C@@H]1c1ccccc1C1CC1,0.11154995
CCCNC[C@@H]1CCN(C)[C@@H]1c1ccccc1C1CC1,0.11154995
CCN[C@@H](c1ccccc1C1CCC1)C1C(C)(C)C1(C)C,0.19388036
CCN[C@H](c1ccccc1C1CCC1)C1C(C)(C)C1(C)C,0.19388036
CCOC(=O)c1cc(OCC)c(C2CCC2)c(C2CC2)c1,0.09585249
COCCNC[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.21615899
COCCNC[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.21615899
COCCNC[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.21615899
COCCNC[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.21615896
