SMILES,BCL2
C#CCn1c(C)nc(c2ccccc2C2CC2)c1N,0.046295825
C[C@@H]1NCC[C@H]1c1ccccc1C1CC1,0.10401689
C[C@H]1CCN[C@@H]1c1ccccc1C1CC1,0.13015622
C[C@H]1CCN[C@H]1c1ccccc1C1CC1,0.13015622
C[C@@H]1CCN[C@H]1c1ccccc1C1CC1,0.13015622
C[C@@H]1CCN[C@@H]1c1ccccc1C1CC1,0.13015622
CC(C)Cn1cnc(c2ccccc2C2CC2)c1N,0.06326987
N[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.15967984
N[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.15967984
N[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.15967984
N[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.15967984
C[C@H]1C[C@@H](c2ccccc2C2CC2)CN1,0.05316264
C[C@@H]1C[C@H](c2ccccc2C2CC2)CN1,0.05316264
C[C@H]1C[C@H](c2ccccc2C2CC2)CN1,0.05316264
C[C@@H]1C[C@@H](c2ccccc2C2CC2)CN1,0.05316264
CCC[C@H](N)c1cc(c2ccccc2C2CC2)no1,0.08947336
CCC[C@@H](N)c1cc(c2ccccc2C2CC2)no1,0.08947336
O[C@@H]1CN[C@H](c2ccccc2C2CC2)C1,0.12322616
O[C@H]1CN[C@@H](c2ccccc2C2CC2)C1,0.12322616
O[C@H]1CN[C@H](c2ccccc2C2CC2)C1,0.12322616
O[C@@H]1CN[C@@H](c2ccccc2C2CC2)C1,0.12322616
CC1(C#N)CN(Cc2ccccc2C2CC2)C1,0.070062555
NC1=NC[C@@H](c2ccccc2C2CC2)N1,0.098164044
NC1=NC[C@H](c2ccccc2C2CC2)N1,0.098164044
NC1=NC[C@@H](c2ccccc2C2CC2)O1,0.1532967
NC1=NC[C@H](c2ccccc2C2CC2)O1,0.1532967
CC(C)(C)n1cnc(c2ccccc2C2CC2)c1N,0.06514317
N#C[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.1180015
N#C[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.1180015
N#C[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.1180015
N#C[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.1180015
CN[C@H](c1ccccc1C1CCC1)[C@@H]1C[C@H]1C,0.110400885
CN[C@H](c1ccccc1C1CCC1)[C@H]1C[C@H]1C,0.110400885
CC1([C@@H](NN)c2ccccc2C2CCC2)CC1,0.13051511
CC1([C@H](NN)c2ccccc2C2CCC2)CC1,0.13051511
CC1(C)NCC[C@H]1c1ccccc1C1CC1,0.060073
CC1(C)NCC[C@@H]1c1ccccc1C1CC1,0.060073
C[C@@]1(N)CNC[C@H]1c1ccccc1C1CC1,0.068618074
C[C@@]1(N)CNC[C@@H]1c1ccccc1C1CC1,0.068618074
CC1(C)C[C@H]1[C@H](N)c1ccccc1C1CCC1,0.10707775
CC1(C)C[C@@H]1[C@@H](N)c1ccccc1C1CCC1,0.10707775
CC1(C)C[C@H]1[C@@H](N)c1ccccc1C1CCC1,0.10707775
C[C@]1(N)CNC[C@H]1c1ccccc1C1CC1,0.068618074
C[C@]1(N)CNC[C@@H]1c1ccccc1C1CC1,0.068618074
CC1(C)C[C@@H]1[C@H](N)c1ccccc1C1CCC1,0.10707775
Cn1c(N)c(c2ccccc2C2CC2)nc1C(C)(C)C,0.055774465
CCc1nc(c2ccccc2C2CC2)c(N)n1CC,0.07867009
CN1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.15164487
CN1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.15164487
C[C@@H]1C[C@@H]1[C@H](N)c1ccccc1C1CCC1,0.08203645
C[C@@H]1C[C@H]1[C@H](N)c1ccccc1C1CCC1,0.08203645
CC[C@@H]1CCN[C@H]1c1ccccc1C1CC1,0.12475511
CC[C@@H]1CCN[C@@H]1c1ccccc1C1CC1,0.12475511
CC[C@H]1CCN[C@@H]1c1ccccc1C1CC1,0.12475511
CC[C@H]1CCN[C@H]1c1ccccc1C1CC1,0.12475511
C[C@@H]1C[C@H]1[C@H](O)c1ccccc1C1CCC1,0.14256823
C[C@@H]1C[C@@H]1[C@H](O)c1ccccc1C1CCC1,0.14256823
C[C@@H]1C[C@H]1[C@H](NN)c1ccccc1C1CCC1,0.07487984
C[C@@H]1C[C@H]1[C@@H](NN)c1ccccc1C1CCC1,0.07487984
C[C@@H]1C[C@@H]1[C@@H](NN)c1ccccc1C1CCC1,0.07487984
C[C@@H]1C[C@@H]1[C@H](NN)c1ccccc1C1CCC1,0.07487984
CCc1nc(c2ccccc2C2CC2)c(N)n1C(C)C,0.13359088
CCCCn1c(C)nc(c2ccccc2C2CC2)c1N,0.1534421
CC[C@@H]1N[C@H](C)C[C@H]1c1ccccc1C1CC1,0.07674214
CC(C)(C)c1nc(c2ccccc2C2CC2)c(N)n1N,0.044965766
CC(C)c1onc(c2ccccc2C2CC2)c1C(=O)O,0.24830471
Cc1nc(c2ccccc2C2CC2)c(N)n1CC(C)C,0.09660171
OC[C@@H]1CC(=NO1)c1ccccc1C1CC1,0.17090459
OC[C@H]1CC(=NO1)c1ccccc1C1CC1,0.17090459
NC[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.07481333
NC[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.07481333
NC[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.07481333
NC[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.07481333
CCCc1onc(c2ccccc2C2CC2)c1C(=O)O,0.2554626
C#CCn1c(N)c(c2ccccc2C2CC2)nc1CC,0.048528932
Cc1nc(c2ccccc2C2CC2)c(N)n1C(C)(C)C,0.09737174
CN1CC[C@@H](CN)[C@H]1c1ccccc1C1CC1,0.08478165
CN1CC[C@H](CN)[C@H]1c1ccccc1C1CC1,0.08478165
CCCn1c(N)c(c2ccccc2C2CC2)nc1CC,0.09436603
C=CCn1c(N)c(c2ccccc2C2CC2)nc1CC,0.089689866
CCN1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.13946332
CCN1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.13946332
COCCN1C(=NC[C@H]1c1ccccc1C1CC1)N,0.12467568
COCCN1C(=NC[C@@H]1c1ccccc1C1CC1)N,0.12467568
CC(C)N1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.109390035
CC(C)N1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.109390035
CC1(C)C([C@@H](N)c2ccccc2C2CCC2)C1(C)C,0.10596143
CC1(C)C([C@H](N)c2ccccc2C2CCC2)C1(C)C,0.10596143
C=CCn1c(N)c(c2ccccc2C2CC2)nc1CCC,0.080045104
CC[C@H](C)N1C(=NC[C@H]1c1ccccc1C1CC1)N,0.13873935
CC[C@H](C)N1C(=NC[C@@H]1c1ccccc1C1CC1)N,0.13873935
CC[C@@H](C)N1C(=NC[C@H]1c1ccccc1C1CC1)N,0.13873935
CC[C@@H](C)N1C(=NC[C@@H]1c1ccccc1C1CC1)N,0.13873935
CCCN[C@H](c1ccccc1C1CCC1)[C@@H]1C[C@@H]1C,0.08751328
CCCN[C@H](c1ccccc1C1CCC1)[C@H]1C[C@H]1C,0.08751328
CCCN[C@H](c1ccccc1C1CCC1)[C@H]1C[C@@H]1C,0.08751328
CCCN[C@H](c1ccccc1C1CCC1)[C@@H]1C[C@H]1C,0.08751328
C[C@@H]1CN[C@@H](c2ccccc2C2CC2)C1,0.13258064
C[C@H]1CN[C@@H](c2ccccc2C2CC2)C1,0.13258064
C[C@@H]1CN[C@H](c2ccccc2C2CC2)C1,0.13258064
C[C@H]1CN[C@H](c2ccccc2C2CC2)C1,0.13258064
CCCN[C@@H](c1ccccc1C1CCC1)C1(C)CC1,0.10138791
CCCN[C@H](c1ccccc1C1CCC1)C1(C)CC1,0.10138791
NS(=O)(=O)c1c(C(F)(F)F)ccc(C2CC2)c1c1nn[nH]n1,0.0345132
CC(C)Cc1onc(c2ccccc2C2CC2)c1C(=O)O,0.24949825
CCOc1cc(C=O)cc(C2CC2)c1C1CCCC1,0.081793986
C[C@@]1(C(=O)N)C[N@H+](Cc2ccccc2C2CC2)C1,0.05882118
CC(C)CN1C(=NC[C@H]1c1ccccc1C1CC1)N,0.16984208
CC(C)CN1C(=NC[C@@H]1c1ccccc1C1CC1)N,0.16984208
CC(C)N1CC[C@@H](CN)[C@H]1c1ccccc1C1CC1,0.07144793
CC(C)N1CC[C@H](CN)[C@@H]1c1ccccc1C1CC1,0.07144793
CC(C)N1CC[C@H](CN)[C@H]1c1ccccc1C1CC1,0.07144793
CC(C)N1CC[C@@H](CN)[C@@H]1c1ccccc1C1CC1,0.07144793
CCn1c(N)c(c2ccccc2C2CC2)nc1C(C)C,0.20029879
CCN1CC[C@H](CN)[C@H]1c1ccccc1C1CC1,0.080606304
CCN1CC[C@@H](CN)[C@H]1c1ccccc1C1CC1,0.080606304
CCCCn1c(N)c(c2ccccc2C2CC2)nc1CC,0.14331882
C=CCn1c(N)c(c2ccccc2C2CC2)nc1C(C)C,0.21017511
CCN[C@H](c1ccccc1C1CCC1)[C@H]1C[C@H]1C,0.077034675
CCN[C@H](c1ccccc1C1CCC1)[C@@H]1C[C@H]1C,0.077034675
CCCN1CC[C@H](CN)[C@@H]1c1ccccc1C1CC1,0.086708985
CCCN1CC[C@@H](CN)[C@H]1c1ccccc1C1CC1,0.086708985
CCCN1CC[C@H](CN)[C@H]1c1ccccc1C1CC1,0.086708985
CCCN1CC[C@@H](CN)[C@@H]1c1ccccc1C1CC1,0.086708985
NN[C@@H](c1ccccc1C1CCC1)C1CC1,0.12116411
NN[C@H](c1ccccc1C1CCC1)C1CC1,0.12116411
CC(C)CN1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.10193724
CC(C)CN1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.10193724
CC(C)CN1CC[C@@H](N)[C@@H]1c1ccccc1C1CC1,0.10193724
CC(C)CN1CC[C@H](N)[C@@H]1c1ccccc1C1CC1,0.10193724
CCOc1cc(C2CCC2)c(C2CC2)cc1CO,0.18633378
CC(C)Oc1cc(C2CCCC2)c(C2CC2)cc1CO,0.1870728
C#CCn1c(N)c(c2ccccc2C2CC2)nc1CCC,0.04310083
CN(C)CCN1C(=NC[C@@H]1c1ccccc1C1CC1)N,0.27447006
CN(C)CCN1C(=NC[C@H]1c1ccccc1C1CC1)N,0.27447006
CCOc1cc(C=O)cc(C2CC2)c1C1CCC1,0.082233
CC1(OCC(=O)O)CN(Cc2ccccc2C2CC2)C1,0.07174134
CC(C)Oc1cc(C2CCC2)c(C2CC2)cc1C=O,0.09548484
CCCN1CC[C@@H](CNC)[C@H]1c1ccccc1C1CC1,0.08911911
CCCN1CC[C@@H](CNC)[C@@H]1c1ccccc1C1CC1,0.08911911
CCCN1CC[C@H](CNC)[C@H]1c1ccccc1C1CC1,0.08911911
CCCN1CC[C@H](CNC)[C@@H]1c1ccccc1C1CC1,0.08911911
CCCc1nc(c2ccccc2C2CC2)c(N)n1CC,0.0701191
CCOc1cc(C2CCC2)c(C2CC2)cc1C=O,0.10054716
CC(C)Oc1cc(C2CCCC2)c(C2CC2)cc1C=O,0.094982326
CCNC[C@@H]1CCN(C)[C@H]1c1ccccc1C1CC1,0.11189445
CCNC[C@@H]1CCN(C)[C@@H]1c1ccccc1C1CC1,0.11189445
CCNC[C@H]1CCN(C)[C@@H]1c1ccccc1C1CC1,0.11189445
CCNC[C@H]1CCN(C)[C@H]1c1ccccc1C1CC1,0.11189445
CC(C)(C)N1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.12532923
CC(C)(C)N1CC[C@H](N)[C@@H]1c1ccccc1C1CC1,0.12532923
CC(C)(C)N1CC[C@@H](N)[C@@H]1c1ccccc1C1CC1,0.12532923
CC(C)(C)N1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.12532923
CCN1CC[C@@H](CNC)[C@H]1c1ccccc1C1CC1,0.0828622
CCN1CC[C@H](CNC)[C@@H]1c1ccccc1C1CC1,0.0828622
CCN1CC[C@H](CNC)[C@H]1c1ccccc1C1CC1,0.0828622
CCN1CC[C@@H](CNC)[C@@H]1c1ccccc1C1CC1,0.0828622
CN[C@H](c1ccccc1C1CCC1)C1C(C)(C)C1(C)C,0.080749646
CN[C@@H](c1ccccc1C1CCC1)C1C(C)(C)C1(C)C,0.080749646
CC(C)c1nc(c2ccccc2C2CC2)c(N)n1C(C)C,0.18749745
CC(C)NC[C@@H]1CCN(C)[C@H]1c1ccccc1C1CC1,0.08414286
CC(C)NC[C@@H]1CCN(C)[C@@H]1c1ccccc1C1CC1,0.08414286
CC(C)NC[C@H]1CCN(C)[C@H]1c1ccccc1C1CC1,0.08414286
CC(C)NC[C@H]1CCN(C)[C@@H]1c1ccccc1C1CC1,0.08414286
CNC[C@@H]1CCN(C(C)C)[C@@H]1c1ccccc1C1CC1,0.07346795
CNC[C@H]1CCN(C(C)C)[C@@H]1c1ccccc1C1CC1,0.07346795
CNC[C@H]1CCN(C(C)C)[C@H]1c1ccccc1C1CC1,0.07346795
CNC[C@@H]1CCN(C(C)C)[C@H]1c1ccccc1C1CC1,0.07346795
CC(C)NC[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.075981274
CC(C)NC[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.075981274
CC(C)NC[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.075981274
CC(C)NC[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.075981274
CC(C)CNC[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.14240175
CC(C)CNC[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.14240175
CC(C)CNC[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.14240175
CC(C)CNC[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.14240175
COCCN1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.115994655
COCCN1CC[C@H](N)[C@@H]1c1ccccc1C1CC1,0.115994655
COCCN1CC[C@@H](N)[C@@H]1c1ccccc1C1CC1,0.115994655
COCCN1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.115994655
CCCNC[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.09543923
CCCNC[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.09543923
CCCNC[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.09543923
CCCNC[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.09543923
CC(C)(C)NC[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.03776615
CC(C)(C)NC[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.03776615
CC(C)(C)NC[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.03776615
CC(C)(C)NC[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.03776615
CCCNC[C@H]1CCN(C)[C@H]1c1ccccc1C1CC1,0.10545238
CCCNC[C@@H]1CCN(C)[C@H]1c1ccccc1C1CC1,0.10545238
CCCNC[C@H]1CCN(C)[C@@H]1c1ccccc1C1CC1,0.10545238
CCCNC[C@@H]1CCN(C)[C@@H]1c1ccccc1C1CC1,0.10545238
CCN[C@@H](c1ccccc1C1CCC1)C1C(C)(C)C1(C)C,0.0843103
CCN[C@H](c1ccccc1C1CCC1)C1C(C)(C)C1(C)C,0.0843103
CCOC(=O)c1cc(OCC)c(C2CCC2)c(C2CC2)c1,0.11523856
COCCNC[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.107791126
COCCNC[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.107791126
COCCNC[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.107791126
COCCNC[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.10779117
