SMILES,CASR
CN[C@H](c1ccccc1C1CCC1)[C@@H]1C[C@H]1C,0.17813027
CN[C@H](c1ccccc1C1CCC1)[C@H]1C[C@H]1C,0.17813027
CC1([C@@H](NN)c2ccccc2C2CCC2)CC1,0.20806572
CC1([C@H](NN)c2ccccc2C2CCC2)CC1,0.20806572
CC1(C)NCC[C@H]1c1ccccc1C1CC1,0.22700098
CC1(C)NCC[C@@H]1c1ccccc1C1CC1,0.22700098
C[C@@]1(N)CNC[C@H]1c1ccccc1C1CC1,0.1463765
C[C@@]1(N)CNC[C@@H]1c1ccccc1C1CC1,0.1463765
CC1(C)C[C@H]1[C@H](N)c1ccccc1C1CCC1,0.16706903
CC1(C)C[C@@H]1[C@@H](N)c1ccccc1C1CCC1,0.16706903
CC1(C)C[C@H]1[C@@H](N)c1ccccc1C1CCC1,0.16706903
C[C@]1(N)CNC[C@H]1c1ccccc1C1CC1,0.1463765
C[C@]1(N)CNC[C@@H]1c1ccccc1C1CC1,0.1463765
CC1(C)C[C@@H]1[C@H](N)c1ccccc1C1CCC1,0.16706903
Cn1c(N)c(c2ccccc2C2CC2)nc1C(C)(C)C,0.16496602
CCc1nc(c2ccccc2C2CC2)c(N)n1CC,0.17012063
CN1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.13734949
CN1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.13734949
C[C@@H]1C[C@@H]1[C@H](N)c1ccccc1C1CCC1,0.18831779
C[C@@H]1C[C@H]1[C@H](N)c1ccccc1C1CCC1,0.18831779
CC[C@@H]1CCN[C@H]1c1ccccc1C1CC1,0.15127201
CC[C@@H]1CCN[C@@H]1c1ccccc1C1CC1,0.15127201
CC[C@H]1CCN[C@@H]1c1ccccc1C1CC1,0.15127201
CC[C@H]1CCN[C@H]1c1ccccc1C1CC1,0.15127201
C[C@@H]1C[C@H]1[C@H](O)c1ccccc1C1CCC1,0.3138544
C[C@@H]1C[C@@H]1[C@H](O)c1ccccc1C1CCC1,0.3138544
C[C@@H]1C[C@H]1[C@H](NN)c1ccccc1C1CCC1,0.15438211
C[C@@H]1C[C@H]1[C@@H](NN)c1ccccc1C1CCC1,0.15438211
C[C@@H]1C[C@@H]1[C@@H](NN)c1ccccc1C1CCC1,0.15438211
C[C@@H]1C[C@@H]1[C@H](NN)c1ccccc1C1CCC1,0.15438211
CCc1nc(c2ccccc2C2CC2)c(N)n1C(C)C,0.19063646
CCCCn1c(C)nc(c2ccccc2C2CC2)c1N,0.18679036
CC[C@@H]1N[C@H](C)C[C@H]1c1ccccc1C1CC1,0.40631837
CC(C)(C)c1nc(c2ccccc2C2CC2)c(N)n1N,0.1387754
CC(C)c1onc(c2ccccc2C2CC2)c1C(=O)O,0.25745574
Cc1nc(c2ccccc2C2CC2)c(N)n1CC(C)C,0.21938737
OC[C@@H]1CC(=NO1)c1ccccc1C1CC1,0.19383368
OC[C@H]1CC(=NO1)c1ccccc1C1CC1,0.19383368
NC[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.22700402
NC[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.22700402
NC[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.22700402
NC[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.22700402
CCCc1onc(c2ccccc2C2CC2)c1C(=O)O,0.14721799
C#CCn1c(N)c(c2ccccc2C2CC2)nc1CC,0.12262786
Cc1nc(c2ccccc2C2CC2)c(N)n1C(C)(C)C,0.23552562
CN1CC[C@@H](CN)[C@H]1c1ccccc1C1CC1,0.21800578
CN1CC[C@H](CN)[C@H]1c1ccccc1C1CC1,0.21800578
CCCn1c(N)c(c2ccccc2C2CC2)nc1CC,0.2483481
C=CCn1c(N)c(c2ccccc2C2CC2)nc1CC,0.05237295
CCN1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.1311164
CCN1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.1311164
COCCN1C(=NC[C@H]1c1ccccc1C1CC1)N,0.19864231
COCCN1C(=NC[C@@H]1c1ccccc1C1CC1)N,0.19864231
CC(C)N1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.20456724
CC(C)N1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.20456724
CC1(C)C([C@@H](N)c2ccccc2C2CCC2)C1(C)C,0.1883535
CC1(C)C([C@H](N)c2ccccc2C2CCC2)C1(C)C,0.1883535
C=CCn1c(N)c(c2ccccc2C2CC2)nc1CCC,0.09544106
CC[C@H](C)N1C(=NC[C@H]1c1ccccc1C1CC1)N,0.14208366
CC[C@H](C)N1C(=NC[C@@H]1c1ccccc1C1CC1)N,0.14208366
CC[C@@H](C)N1C(=NC[C@H]1c1ccccc1C1CC1)N,0.14208366
CC[C@@H](C)N1C(=NC[C@@H]1c1ccccc1C1CC1)N,0.14208366
CCCN[C@H](c1ccccc1C1CCC1)[C@@H]1C[C@@H]1C,0.2745682
CCCN[C@H](c1ccccc1C1CCC1)[C@H]1C[C@H]1C,0.2745682
CCCN[C@H](c1ccccc1C1CCC1)[C@H]1C[C@@H]1C,0.2745682
CCCN[C@H](c1ccccc1C1CCC1)[C@@H]1C[C@H]1C,0.2745682
C[C@@H]1CN[C@@H](c2ccccc2C2CC2)C1,0.2305323
C[C@H]1CN[C@@H](c2ccccc2C2CC2)C1,0.2305323
C[C@@H]1CN[C@H](c2ccccc2C2CC2)C1,0.2305323
C[C@H]1CN[C@H](c2ccccc2C2CC2)C1,0.2305323
CCCN[C@@H](c1ccccc1C1CCC1)C1(C)CC1,0.35311255
CCCN[C@H](c1ccccc1C1CCC1)C1(C)CC1,0.35311255
NS(=O)(=O)c1c(C(F)(F)F)ccc(C2CC2)c1c1nn[nH]n1,0.032683183
CC(C)Cc1onc(c2ccccc2C2CC2)c1C(=O)O,0.14717768
CCOc1cc(C=O)cc(C2CC2)c1C1CCCC1,0.07443226
C[C@@]1(C(=O)N)C[N@H+](Cc2ccccc2C2CC2)C1,0.23854803
CC(C)CN1C(=NC[C@H]1c1ccccc1C1CC1)N,0.20623662
CC(C)CN1C(=NC[C@@H]1c1ccccc1C1CC1)N,0.20623662
CC(C)N1CC[C@@H](CN)[C@H]1c1ccccc1C1CC1,0.20605886
CC(C)N1CC[C@H](CN)[C@@H]1c1ccccc1C1CC1,0.20605886
CC(C)N1CC[C@H](CN)[C@H]1c1ccccc1C1CC1,0.20605886
CC(C)N1CC[C@@H](CN)[C@@H]1c1ccccc1C1CC1,0.20605886
CCn1c(N)c(c2ccccc2C2CC2)nc1C(C)C,0.30480275
CCN1CC[C@H](CN)[C@H]1c1ccccc1C1CC1,0.15295503
CCN1CC[C@@H](CN)[C@H]1c1ccccc1C1CC1,0.15295503
CCCCn1c(N)c(c2ccccc2C2CC2)nc1CC,0.20481302
C=CCn1c(N)c(c2ccccc2C2CC2)nc1C(C)C,0.16397226
CCN[C@H](c1ccccc1C1CCC1)[C@H]1C[C@H]1C,0.2270299
CCN[C@H](c1ccccc1C1CCC1)[C@@H]1C[C@H]1C,0.2270299
CCCN1CC[C@H](CN)[C@@H]1c1ccccc1C1CC1,0.20981587
CCCN1CC[C@@H](CN)[C@H]1c1ccccc1C1CC1,0.20981587
CCCN1CC[C@H](CN)[C@H]1c1ccccc1C1CC1,0.20981587
CCCN1CC[C@@H](CN)[C@@H]1c1ccccc1C1CC1,0.20981587
NN[C@@H](c1ccccc1C1CCC1)C1CC1,0.16995956
NN[C@H](c1ccccc1C1CCC1)C1CC1,0.16995956
CC(C)CN1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.28029326
CC(C)CN1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.28029326
CC(C)CN1CC[C@@H](N)[C@@H]1c1ccccc1C1CC1,0.28029326
CC(C)CN1CC[C@H](N)[C@@H]1c1ccccc1C1CC1,0.28029326
CCOc1cc(C2CCC2)c(C2CC2)cc1CO,0.12156399
CC(C)Oc1cc(C2CCCC2)c(C2CC2)cc1CO,0.271084
C#CCn1c(N)c(c2ccccc2C2CC2)nc1CCC,0.21062781
CN(C)CCN1C(=NC[C@@H]1c1ccccc1C1CC1)N,0.16135736
CN(C)CCN1C(=NC[C@H]1c1ccccc1C1CC1)N,0.16135736
CCOc1cc(C=O)cc(C2CC2)c1C1CCC1,0.06150979
CC1(OCC(=O)O)CN(Cc2ccccc2C2CC2)C1,0.18834198
CC(C)Oc1cc(C2CCC2)c(C2CC2)cc1C=O,0.11861487
CCCN1CC[C@@H](CNC)[C@H]1c1ccccc1C1CC1,0.2304527
CCCN1CC[C@@H](CNC)[C@@H]1c1ccccc1C1CC1,0.2304527
CCCN1CC[C@H](CNC)[C@H]1c1ccccc1C1CC1,0.2304527
CCCN1CC[C@H](CNC)[C@@H]1c1ccccc1C1CC1,0.2304527
CCCc1nc(c2ccccc2C2CC2)c(N)n1CC,0.2812759
CCOc1cc(C2CCC2)c(C2CC2)cc1C=O,0.09283028
CC(C)Oc1cc(C2CCCC2)c(C2CC2)cc1C=O,0.14172278
CCNC[C@@H]1CCN(C)[C@H]1c1ccccc1C1CC1,0.14219157
CCNC[C@@H]1CCN(C)[C@@H]1c1ccccc1C1CC1,0.14219157
CCNC[C@H]1CCN(C)[C@@H]1c1ccccc1C1CC1,0.14219157
CCNC[C@H]1CCN(C)[C@H]1c1ccccc1C1CC1,0.14219157
CC(C)(C)N1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.13610253
CC(C)(C)N1CC[C@H](N)[C@@H]1c1ccccc1C1CC1,0.13610253
CC(C)(C)N1CC[C@@H](N)[C@@H]1c1ccccc1C1CC1,0.13610253
CC(C)(C)N1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.13610253
CCN1CC[C@@H](CNC)[C@H]1c1ccccc1C1CC1,0.16919668
CCN1CC[C@H](CNC)[C@@H]1c1ccccc1C1CC1,0.16919668
CCN1CC[C@H](CNC)[C@H]1c1ccccc1C1CC1,0.16919668
CCN1CC[C@@H](CNC)[C@@H]1c1ccccc1C1CC1,0.16919668
CN[C@H](c1ccccc1C1CCC1)C1C(C)(C)C1(C)C,0.20222445
CN[C@@H](c1ccccc1C1CCC1)C1C(C)(C)C1(C)C,0.20222445
CC(C)c1nc(c2ccccc2C2CC2)c(N)n1C(C)C,0.41739342
CC(C)NC[C@@H]1CCN(C)[C@H]1c1ccccc1C1CC1,0.24179712
CC(C)NC[C@@H]1CCN(C)[C@@H]1c1ccccc1C1CC1,0.24179712
CC(C)NC[C@H]1CCN(C)[C@H]1c1ccccc1C1CC1,0.24179712
CC(C)NC[C@H]1CCN(C)[C@@H]1c1ccccc1C1CC1,0.24179712
CNC[C@@H]1CCN(C(C)C)[C@@H]1c1ccccc1C1CC1,0.22643188
CNC[C@H]1CCN(C(C)C)[C@@H]1c1ccccc1C1CC1,0.22643188
CNC[C@H]1CCN(C(C)C)[C@H]1c1ccccc1C1CC1,0.22643188
CNC[C@@H]1CCN(C(C)C)[C@H]1c1ccccc1C1CC1,0.22643188
CC(C)NC[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.26524183
CC(C)NC[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.26524183
CC(C)NC[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.26524183
CC(C)NC[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.26524183
CC(C)CNC[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.2265544
CC(C)CNC[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.2265544
CC(C)CNC[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.2265544
CC(C)CNC[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.2265544
COCCN1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.18215449
COCCN1CC[C@H](N)[C@@H]1c1ccccc1C1CC1,0.18215449
COCCN1CC[C@@H](N)[C@@H]1c1ccccc1C1CC1,0.18215449
COCCN1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.18215449
CCCNC[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.23863547
CCCNC[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.23863547
CCCNC[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.23863547
CCCNC[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.23863547
CC(C)(C)NC[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.32820508
CC(C)(C)NC[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.32820508
CC(C)(C)NC[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.32820508
CC(C)(C)NC[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.32820508
CCCNC[C@H]1CCN(C)[C@H]1c1ccccc1C1CC1,0.21684809
CCCNC[C@@H]1CCN(C)[C@H]1c1ccccc1C1CC1,0.21684809
CCCNC[C@H]1CCN(C)[C@@H]1c1ccccc1C1CC1,0.21684809
CCCNC[C@@H]1CCN(C)[C@@H]1c1ccccc1C1CC1,0.21684809
CCN[C@@H](c1ccccc1C1CCC1)C1C(C)(C)C1(C)C,0.2566858
CCN[C@H](c1ccccc1C1CCC1)C1C(C)(C)C1(C)C,0.2566858
CCOC(=O)c1cc(OCC)c(C2CCC2)c(C2CC2)c1,0.08812032
COCCNC[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.24578199
COCCNC[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.24578199
COCCNC[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.24578199
COCCNC[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.245782
