SMILES,FFAR1
Cc1nc(c2ccccc2C2CC2)c(N)n1CC(C)C,0.0942633
OC[C@@H]1CC(=NO1)c1ccccc1C1CC1,0.25023288
OC[C@H]1CC(=NO1)c1ccccc1C1CC1,0.25023288
NC[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.22379746
NC[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.22379746
NC[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.22379746
NC[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.22379746
CCCc1onc(c2ccccc2C2CC2)c1C(=O)O,0.20085092
C#CCn1c(N)c(c2ccccc2C2CC2)nc1CC,0.13193946
Cc1nc(c2ccccc2C2CC2)c(N)n1C(C)(C)C,0.1090384
CN1CC[C@@H](CN)[C@H]1c1ccccc1C1CC1,0.12363587
CN1CC[C@H](CN)[C@H]1c1ccccc1C1CC1,0.12363587
CCCn1c(N)c(c2ccccc2C2CC2)nc1CC,0.21875097
C=CCn1c(N)c(c2ccccc2C2CC2)nc1CC,0.08114591
CCN1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.24138048
CCN1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.24138048
COCCN1C(=NC[C@H]1c1ccccc1C1CC1)N,0.21816656
COCCN1C(=NC[C@@H]1c1ccccc1C1CC1)N,0.21816656
CC(C)N1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.25363714
CC(C)N1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.25363714
CC1(C)C([C@@H](N)c2ccccc2C2CCC2)C1(C)C,0.21689975
CC1(C)C([C@H](N)c2ccccc2C2CCC2)C1(C)C,0.21689975
C=CCn1c(N)c(c2ccccc2C2CC2)nc1CCC,0.07512113
CC[C@H](C)N1C(=NC[C@H]1c1ccccc1C1CC1)N,0.13891885
CC[C@H](C)N1C(=NC[C@@H]1c1ccccc1C1CC1)N,0.13891885
CC[C@@H](C)N1C(=NC[C@H]1c1ccccc1C1CC1)N,0.13891885
CC[C@@H](C)N1C(=NC[C@@H]1c1ccccc1C1CC1)N,0.13891885
CCCN[C@H](c1ccccc1C1CCC1)[C@@H]1C[C@@H]1C,0.10085512
CCCN[C@H](c1ccccc1C1CCC1)[C@H]1C[C@H]1C,0.10085512
CCCN[C@H](c1ccccc1C1CCC1)[C@H]1C[C@@H]1C,0.10085512
CCCN[C@H](c1ccccc1C1CCC1)[C@@H]1C[C@H]1C,0.10085512
C[C@@H]1CN[C@@H](c2ccccc2C2CC2)C1,0.22595161
C[C@H]1CN[C@@H](c2ccccc2C2CC2)C1,0.22595161
C[C@@H]1CN[C@H](c2ccccc2C2CC2)C1,0.22595161
C[C@H]1CN[C@H](c2ccccc2C2CC2)C1,0.22595161
CCCN[C@@H](c1ccccc1C1CCC1)C1(C)CC1,0.22147648
CCCN[C@H](c1ccccc1C1CCC1)C1(C)CC1,0.22147648
NS(=O)(=O)c1c(C(F)(F)F)ccc(C2CC2)c1c1nn[nH]n1,0.08472932
CC(C)Cc1onc(c2ccccc2C2CC2)c1C(=O)O,0.14278686
CCOc1cc(C=O)cc(C2CC2)c1C1CCCC1,0.21353015
C[C@@]1(C(=O)N)C[N@H+](Cc2ccccc2C2CC2)C1,0.19265243
CC(C)CN1C(=NC[C@H]1c1ccccc1C1CC1)N,0.1432102
CC(C)CN1C(=NC[C@@H]1c1ccccc1C1CC1)N,0.1432102
CC(C)N1CC[C@@H](CN)[C@H]1c1ccccc1C1CC1,0.18522975
CC(C)N1CC[C@H](CN)[C@@H]1c1ccccc1C1CC1,0.18522975
CC(C)N1CC[C@H](CN)[C@H]1c1ccccc1C1CC1,0.18522975
CC(C)N1CC[C@@H](CN)[C@@H]1c1ccccc1C1CC1,0.18522975
CCn1c(N)c(c2ccccc2C2CC2)nc1C(C)C,0.10396095
CCN1CC[C@H](CN)[C@H]1c1ccccc1C1CC1,0.17653549
CCN1CC[C@@H](CN)[C@H]1c1ccccc1C1CC1,0.17653549
CCCCn1c(N)c(c2ccccc2C2CC2)nc1CC,0.17149924
C=CCn1c(N)c(c2ccccc2C2CC2)nc1C(C)C,0.04898197
CCN[C@H](c1ccccc1C1CCC1)[C@H]1C[C@H]1C,0.15539597
CCN[C@H](c1ccccc1C1CCC1)[C@@H]1C[C@H]1C,0.15539597
CCCN1CC[C@H](CN)[C@@H]1c1ccccc1C1CC1,0.17348783
CCCN1CC[C@@H](CN)[C@H]1c1ccccc1C1CC1,0.17348783
CCCN1CC[C@H](CN)[C@H]1c1ccccc1C1CC1,0.17348783
CCCN1CC[C@@H](CN)[C@@H]1c1ccccc1C1CC1,0.17348783
NN[C@@H](c1ccccc1C1CCC1)C1CC1,0.21410172
NN[C@H](c1ccccc1C1CCC1)C1CC1,0.21410172
CC(C)CN1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.14601271
CC(C)CN1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.14601271
CC(C)CN1CC[C@@H](N)[C@@H]1c1ccccc1C1CC1,0.14601271
CC(C)CN1CC[C@H](N)[C@@H]1c1ccccc1C1CC1,0.14601271
CCOc1cc(C2CCC2)c(C2CC2)cc1CO,0.23098016
CC(C)Oc1cc(C2CCCC2)c(C2CC2)cc1CO,0.13189635
C#CCn1c(N)c(c2ccccc2C2CC2)nc1CCC,0.12264667
CN(C)CCN1C(=NC[C@@H]1c1ccccc1C1CC1)N,0.13324201
CN(C)CCN1C(=NC[C@H]1c1ccccc1C1CC1)N,0.13324201
CCOc1cc(C=O)cc(C2CC2)c1C1CCC1,0.2367747
CC1(OCC(=O)O)CN(Cc2ccccc2C2CC2)C1,0.34302965
CC(C)Oc1cc(C2CCC2)c(C2CC2)cc1C=O,0.118951805
CCCN1CC[C@@H](CNC)[C@H]1c1ccccc1C1CC1,0.15778948
CCCN1CC[C@@H](CNC)[C@@H]1c1ccccc1C1CC1,0.15778948
CCCN1CC[C@H](CNC)[C@H]1c1ccccc1C1CC1,0.15778948
CCCN1CC[C@H](CNC)[C@@H]1c1ccccc1C1CC1,0.15778948
CCCc1nc(c2ccccc2C2CC2)c(N)n1CC,0.17373215
CCOc1cc(C2CCC2)c(C2CC2)cc1C=O,0.20268404
CC(C)Oc1cc(C2CCCC2)c(C2CC2)cc1C=O,0.10567266
CCNC[C@@H]1CCN(C)[C@H]1c1ccccc1C1CC1,0.14161448
CCNC[C@@H]1CCN(C)[C@@H]1c1ccccc1C1CC1,0.14161448
CCNC[C@H]1CCN(C)[C@@H]1c1ccccc1C1CC1,0.14161448
CCNC[C@H]1CCN(C)[C@H]1c1ccccc1C1CC1,0.14161448
CC(C)(C)N1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.18155831
CC(C)(C)N1CC[C@H](N)[C@@H]1c1ccccc1C1CC1,0.18155831
CC(C)(C)N1CC[C@@H](N)[C@@H]1c1ccccc1C1CC1,0.18155831
CC(C)(C)N1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.18155831
CCN1CC[C@@H](CNC)[C@H]1c1ccccc1C1CC1,0.16061503
CCN1CC[C@H](CNC)[C@@H]1c1ccccc1C1CC1,0.16061503
CCN1CC[C@H](CNC)[C@H]1c1ccccc1C1CC1,0.16061503
CCN1CC[C@@H](CNC)[C@@H]1c1ccccc1C1CC1,0.16061503
CN[C@H](c1ccccc1C1CCC1)C1C(C)(C)C1(C)C,0.19690217
CN[C@@H](c1ccccc1C1CCC1)C1C(C)(C)C1(C)C,0.19690217
CC(C)c1nc(c2ccccc2C2CC2)c(N)n1C(C)C,0.109807454
CC(C)NC[C@@H]1CCN(C)[C@H]1c1ccccc1C1CC1,0.06449867
CC(C)NC[C@@H]1CCN(C)[C@@H]1c1ccccc1C1CC1,0.06449867
CC(C)NC[C@H]1CCN(C)[C@H]1c1ccccc1C1CC1,0.06449867
CC(C)NC[C@H]1CCN(C)[C@@H]1c1ccccc1C1CC1,0.06449867
CNC[C@@H]1CCN(C(C)C)[C@@H]1c1ccccc1C1CC1,0.16868581
CNC[C@H]1CCN(C(C)C)[C@@H]1c1ccccc1C1CC1,0.16868581
CNC[C@H]1CCN(C(C)C)[C@H]1c1ccccc1C1CC1,0.16868581
CNC[C@@H]1CCN(C(C)C)[C@H]1c1ccccc1C1CC1,0.16868581
CC(C)NC[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.09305406
CC(C)NC[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.09305406
CC(C)NC[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.09305406
CC(C)NC[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.09305406
CC(C)CNC[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.1112934
CC(C)CNC[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.1112934
CC(C)CNC[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.1112934
CC(C)CNC[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.1112934
COCCN1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.20045498
COCCN1CC[C@H](N)[C@@H]1c1ccccc1C1CC1,0.20045498
COCCN1CC[C@@H](N)[C@@H]1c1ccccc1C1CC1,0.20045498
COCCN1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.20045498
CCCNC[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.1325182
CCCNC[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.1325182
CCCNC[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.1325182
CCCNC[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.1325182
CC(C)(C)NC[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.14296584
CC(C)(C)NC[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.14296584
CC(C)(C)NC[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.14296584
CC(C)(C)NC[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.14296584
CCCNC[C@H]1CCN(C)[C@H]1c1ccccc1C1CC1,0.09309554
CCCNC[C@@H]1CCN(C)[C@H]1c1ccccc1C1CC1,0.09309554
CCCNC[C@H]1CCN(C)[C@@H]1c1ccccc1C1CC1,0.09309554
CCCNC[C@@H]1CCN(C)[C@@H]1c1ccccc1C1CC1,0.09309554
CCN[C@@H](c1ccccc1C1CCC1)C1C(C)(C)C1(C)C,0.20547281
CCN[C@H](c1ccccc1C1CCC1)C1C(C)(C)C1(C)C,0.20547281
CCOC(=O)c1cc(OCC)c(C2CCC2)c(C2CC2)c1,0.190995
COCCNC[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.13442923
COCCNC[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.13442923
COCCNC[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.13442923
COCCNC[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.13442911
