SMILES,HDAC1
COCCN1C(=NC[C@@H]1c1ccccc1C1CC1)N,0.026149934
CC(C)N1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.020279652
CC(C)N1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.020279652
CC1(C)C([C@@H](N)c2ccccc2C2CCC2)C1(C)C,0.035584822
CC1(C)C([C@H](N)c2ccccc2C2CCC2)C1(C)C,0.035584822
C=CCn1c(N)c(c2ccccc2C2CC2)nc1CCC,0.11252392
CC[C@H](C)N1C(=NC[C@H]1c1ccccc1C1CC1)N,0.025222415
CC[C@H](C)N1C(=NC[C@@H]1c1ccccc1C1CC1)N,0.025222415
CC[C@@H](C)N1C(=NC[C@H]1c1ccccc1C1CC1)N,0.025222415
CC[C@@H](C)N1C(=NC[C@@H]1c1ccccc1C1CC1)N,0.025222415
CCCN[C@H](c1ccccc1C1CCC1)[C@@H]1C[C@@H]1C,0.046682466
CCCN[C@H](c1ccccc1C1CCC1)[C@H]1C[C@H]1C,0.046682466
CCCN[C@H](c1ccccc1C1CCC1)[C@H]1C[C@@H]1C,0.046682466
CCCN[C@H](c1ccccc1C1CCC1)[C@@H]1C[C@H]1C,0.046682466
C[C@@H]1CN[C@@H](c2ccccc2C2CC2)C1,0.024457624
C[C@H]1CN[C@@H](c2ccccc2C2CC2)C1,0.024457624
C[C@@H]1CN[C@H](c2ccccc2C2CC2)C1,0.024457624
C[C@H]1CN[C@H](c2ccccc2C2CC2)C1,0.024457624
CCCN[C@@H](c1ccccc1C1CCC1)C1(C)CC1,0.025021147
CCCN[C@H](c1ccccc1C1CCC1)C1(C)CC1,0.025021147
NS(=O)(=O)c1c(C(F)(F)F)ccc(C2CC2)c1c1nn[nH]n1,0.0043696645
CC(C)Cc1onc(c2ccccc2C2CC2)c1C(=O)O,0.09193547
CCOc1cc(C=O)cc(C2CC2)c1C1CCCC1,0.004412945
C[C@@]1(C(=O)N)C[N@H+](Cc2ccccc2C2CC2)C1,0.10841746
CC(C)CN1C(=NC[C@H]1c1ccccc1C1CC1)N,0.0755049
CC(C)CN1C(=NC[C@@H]1c1ccccc1C1CC1)N,0.0755049
CC(C)N1CC[C@@H](CN)[C@H]1c1ccccc1C1CC1,0.040862486
CC(C)N1CC[C@H](CN)[C@@H]1c1ccccc1C1CC1,0.040862486
CC(C)N1CC[C@H](CN)[C@H]1c1ccccc1C1CC1,0.040862486
CC(C)N1CC[C@@H](CN)[C@@H]1c1ccccc1C1CC1,0.040862486
CCn1c(N)c(c2ccccc2C2CC2)nc1C(C)C,0.031362094
CCN1CC[C@H](CN)[C@H]1c1ccccc1C1CC1,0.032534394
CCN1CC[C@@H](CN)[C@H]1c1ccccc1C1CC1,0.032534394
CCCCn1c(N)c(c2ccccc2C2CC2)nc1CC,0.036538277
C=CCn1c(N)c(c2ccccc2C2CC2)nc1C(C)C,0.03607362
CCN[C@H](c1ccccc1C1CCC1)[C@H]1C[C@H]1C,0.09004823
CCN[C@H](c1ccccc1C1CCC1)[C@@H]1C[C@H]1C,0.09004823
CCCN1CC[C@H](CN)[C@@H]1c1ccccc1C1CC1,0.019481845
CCCN1CC[C@@H](CN)[C@H]1c1ccccc1C1CC1,0.019481845
CCCN1CC[C@H](CN)[C@H]1c1ccccc1C1CC1,0.019481845
CCCN1CC[C@@H](CN)[C@@H]1c1ccccc1C1CC1,0.019481845
NN[C@@H](c1ccccc1C1CCC1)C1CC1,0.014329916
NN[C@H](c1ccccc1C1CCC1)C1CC1,0.014329916
CC(C)CN1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.11241273
CC(C)CN1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.11241273
CC(C)CN1CC[C@@H](N)[C@@H]1c1ccccc1C1CC1,0.11241273
CC(C)CN1CC[C@H](N)[C@@H]1c1ccccc1C1CC1,0.11241273
CCOc1cc(C2CCC2)c(C2CC2)cc1CO,0.0016335588
CC(C)Oc1cc(C2CCCC2)c(C2CC2)cc1CO,0.002943872
C#CCn1c(N)c(c2ccccc2C2CC2)nc1CCC,0.05434736
CN(C)CCN1C(=NC[C@@H]1c1ccccc1C1CC1)N,0.028034285
CN(C)CCN1C(=NC[C@H]1c1ccccc1C1CC1)N,0.028034285
CCOc1cc(C=O)cc(C2CC2)c1C1CCC1,0.0039810482
CC1(OCC(=O)O)CN(Cc2ccccc2C2CC2)C1,0.2799627
CC(C)Oc1cc(C2CCC2)c(C2CC2)cc1C=O,0.0037284722
