SMILES,S1PR1
CC(C)NC[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.22241469
CC(C)NC[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.22241469
CC(C)CNC[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.36655426
CC(C)CNC[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.36655426
CC(C)CNC[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.36655426
CC(C)CNC[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.36655426
COCCN1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.28366566
COCCN1CC[C@H](N)[C@@H]1c1ccccc1C1CC1,0.28366566
COCCN1CC[C@@H](N)[C@@H]1c1ccccc1C1CC1,0.28366566
COCCN1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.28366566
CCCNC[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.47755456
CCCNC[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.47755456
CCCNC[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.47755456
CCCNC[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.47755456
CC(C)(C)NC[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.2293675
CC(C)(C)NC[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.2293675
CC(C)(C)NC[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.2293675
CC(C)(C)NC[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.2293675
CCCNC[C@H]1CCN(C)[C@H]1c1ccccc1C1CC1,0.33400974
CCCNC[C@@H]1CCN(C)[C@H]1c1ccccc1C1CC1,0.33400974
CCCNC[C@H]1CCN(C)[C@@H]1c1ccccc1C1CC1,0.33400974
CCCNC[C@@H]1CCN(C)[C@@H]1c1ccccc1C1CC1,0.33400974
CCN[C@@H](c1ccccc1C1CCC1)C1C(C)(C)C1(C)C,0.10182845
CCN[C@H](c1ccccc1C1CCC1)C1C(C)(C)C1(C)C,0.10182845
CCOC(=O)c1cc(OCC)c(C2CCC2)c(C2CC2)c1,0.11173325
COCCNC[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.4444997
COCCNC[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.4444997
COCCNC[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.4444997
COCCNC[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.44449973
