SMILES,TNKS2
C[C@@]1(C(=O)N)C[N@H+](Cc2ccccc2C2CC2)C1,0.27687833
CC(C)CN1C(=NC[C@H]1c1ccccc1C1CC1)N,0.21279341
CC(C)CN1C(=NC[C@@H]1c1ccccc1C1CC1)N,0.21279341
CC(C)N1CC[C@@H](CN)[C@H]1c1ccccc1C1CC1,0.21103777
CC(C)N1CC[C@H](CN)[C@@H]1c1ccccc1C1CC1,0.21103777
CC(C)N1CC[C@H](CN)[C@H]1c1ccccc1C1CC1,0.21103777
CC(C)N1CC[C@@H](CN)[C@@H]1c1ccccc1C1CC1,0.21103777
CCn1c(N)c(c2ccccc2C2CC2)nc1C(C)C,0.19244105
CCN1CC[C@H](CN)[C@H]1c1ccccc1C1CC1,0.19292189
CCN1CC[C@@H](CN)[C@H]1c1ccccc1C1CC1,0.19292189
CCCCn1c(N)c(c2ccccc2C2CC2)nc1CC,0.17493801
C=CCn1c(N)c(c2ccccc2C2CC2)nc1C(C)C,0.10119041
CCN[C@H](c1ccccc1C1CCC1)[C@H]1C[C@H]1C,0.24392006
CCN[C@H](c1ccccc1C1CCC1)[C@@H]1C[C@H]1C,0.24392006
CCCN1CC[C@H](CN)[C@@H]1c1ccccc1C1CC1,0.1618066
CCCN1CC[C@@H](CN)[C@H]1c1ccccc1C1CC1,0.1618066
CCCN1CC[C@H](CN)[C@H]1c1ccccc1C1CC1,0.1618066
CCCN1CC[C@@H](CN)[C@@H]1c1ccccc1C1CC1,0.1618066
NN[C@@H](c1ccccc1C1CCC1)C1CC1,0.24217264
NN[C@H](c1ccccc1C1CCC1)C1CC1,0.24217264
CC(C)CN1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.2314632
CC(C)CN1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.2314632
CC(C)CN1CC[C@@H](N)[C@@H]1c1ccccc1C1CC1,0.2314632
CC(C)CN1CC[C@H](N)[C@@H]1c1ccccc1C1CC1,0.2314632
CCOc1cc(C2CCC2)c(C2CC2)cc1CO,0.3555783
CC(C)Oc1cc(C2CCCC2)c(C2CC2)cc1CO,0.2690179
C#CCn1c(N)c(c2ccccc2C2CC2)nc1CCC,0.19828197
CN(C)CCN1C(=NC[C@@H]1c1ccccc1C1CC1)N,0.2633384
CN(C)CCN1C(=NC[C@H]1c1ccccc1C1CC1)N,0.2633384
CCOc1cc(C=O)cc(C2CC2)c1C1CCC1,0.35621315
CC1(OCC(=O)O)CN(Cc2ccccc2C2CC2)C1,0.21715873
CC(C)Oc1cc(C2CCC2)c(C2CC2)cc1C=O,0.25100553
CCCN1CC[C@@H](CNC)[C@H]1c1ccccc1C1CC1,0.21733828
CCCN1CC[C@@H](CNC)[C@@H]1c1ccccc1C1CC1,0.21733828
CCCN1CC[C@H](CNC)[C@H]1c1ccccc1C1CC1,0.21733828
CCCN1CC[C@H](CNC)[C@@H]1c1ccccc1C1CC1,0.21733828
CCCc1nc(c2ccccc2C2CC2)c(N)n1CC,0.23866645
CCOc1cc(C2CCC2)c(C2CC2)cc1C=O,0.36159658
CC(C)Oc1cc(C2CCCC2)c(C2CC2)cc1C=O,0.2680144
CCNC[C@@H]1CCN(C)[C@H]1c1ccccc1C1CC1,0.20418207
CCNC[C@@H]1CCN(C)[C@@H]1c1ccccc1C1CC1,0.20418207
CCNC[C@H]1CCN(C)[C@@H]1c1ccccc1C1CC1,0.20418207
CCNC[C@H]1CCN(C)[C@H]1c1ccccc1C1CC1,0.20418207
CC(C)(C)N1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.22088932
CC(C)(C)N1CC[C@H](N)[C@@H]1c1ccccc1C1CC1,0.22088932
CC(C)(C)N1CC[C@@H](N)[C@@H]1c1ccccc1C1CC1,0.22088932
CC(C)(C)N1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.22088932
CCN1CC[C@@H](CNC)[C@H]1c1ccccc1C1CC1,0.25587255
CCN1CC[C@H](CNC)[C@@H]1c1ccccc1C1CC1,0.25587255
CCN1CC[C@H](CNC)[C@H]1c1ccccc1C1CC1,0.25587255
