SMILES,TYK2
CC1(C)C([C@H](N)c2ccccc2C2CCC2)C1(C)C,0.12550499
C=CCn1c(N)c(c2ccccc2C2CC2)nc1CCC,0.07222229
CC[C@H](C)N1C(=NC[C@H]1c1ccccc1C1CC1)N,0.05163467
CC[C@H](C)N1C(=NC[C@@H]1c1ccccc1C1CC1)N,0.05163467
CC[C@@H](C)N1C(=NC[C@H]1c1ccccc1C1CC1)N,0.05163467
CC[C@@H](C)N1C(=NC[C@@H]1c1ccccc1C1CC1)N,0.05163467
CCCN[C@H](c1ccccc1C1CCC1)[C@@H]1C[C@@H]1C,0.057994198
CCCN[C@H](c1ccccc1C1CCC1)[C@H]1C[C@H]1C,0.057994198
CCCN[C@H](c1ccccc1C1CCC1)[C@H]1C[C@@H]1C,0.057994198
CCCN[C@H](c1ccccc1C1CCC1)[C@@H]1C[C@H]1C,0.057994198
C[C@@H]1CN[C@@H](c2ccccc2C2CC2)C1,0.23787162
C[C@H]1CN[C@@H](c2ccccc2C2CC2)C1,0.23787162
C[C@@H]1CN[C@H](c2ccccc2C2CC2)C1,0.23787162
C[C@H]1CN[C@H](c2ccccc2C2CC2)C1,0.23787162
CCCN[C@@H](c1ccccc1C1CCC1)C1(C)CC1,0.042472977
CCCN[C@H](c1ccccc1C1CCC1)C1(C)CC1,0.042472977
NS(=O)(=O)c1c(C(F)(F)F)ccc(C2CC2)c1c1nn[nH]n1,0.12973249
CC(C)Cc1onc(c2ccccc2C2CC2)c1C(=O)O,0.07162401
CCOc1cc(C=O)cc(C2CC2)c1C1CCCC1,0.049978714
C[C@@]1(C(=O)N)C[N@H+](Cc2ccccc2C2CC2)C1,0.13675766
CC(C)CN1C(=NC[C@H]1c1ccccc1C1CC1)N,0.09180178
CC(C)CN1C(=NC[C@@H]1c1ccccc1C1CC1)N,0.09180178
CC(C)N1CC[C@@H](CN)[C@H]1c1ccccc1C1CC1,0.038543914
CC(C)N1CC[C@H](CN)[C@@H]1c1ccccc1C1CC1,0.038543914
CC(C)N1CC[C@H](CN)[C@H]1c1ccccc1C1CC1,0.038543914
CC(C)N1CC[C@@H](CN)[C@@H]1c1ccccc1C1CC1,0.038543914
CCn1c(N)c(c2ccccc2C2CC2)nc1C(C)C,0.19243744
CCN1CC[C@H](CN)[C@H]1c1ccccc1C1CC1,0.12291953
CCN1CC[C@@H](CN)[C@H]1c1ccccc1C1CC1,0.12291953
CCCCn1c(N)c(c2ccccc2C2CC2)nc1CC,0.053816278
C=CCn1c(N)c(c2ccccc2C2CC2)nc1C(C)C,0.17907436
CCN[C@H](c1ccccc1C1CCC1)[C@H]1C[C@H]1C,0.11712704
CCN[C@H](c1ccccc1C1CCC1)[C@@H]1C[C@H]1C,0.11712704
CCCN1CC[C@H](CN)[C@@H]1c1ccccc1C1CC1,0.06942452
CCCN1CC[C@@H](CN)[C@H]1c1ccccc1C1CC1,0.06942452
CCCN1CC[C@H](CN)[C@H]1c1ccccc1C1CC1,0.06942452
CCCN1CC[C@@H](CN)[C@@H]1c1ccccc1C1CC1,0.06942452
NN[C@@H](c1ccccc1C1CCC1)C1CC1,0.11919849
NN[C@H](c1ccccc1C1CCC1)C1CC1,0.11919849
CC(C)CN1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.1026088
CC(C)CN1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.1026088
CC(C)CN1CC[C@@H](N)[C@@H]1c1ccccc1C1CC1,0.1026088
CC(C)CN1CC[C@H](N)[C@@H]1c1ccccc1C1CC1,0.1026088
CCOc1cc(C2CCC2)c(C2CC2)cc1CO,0.13557473
CC(C)Oc1cc(C2CCCC2)c(C2CC2)cc1CO,0.09541536
C#CCn1c(N)c(c2ccccc2C2CC2)nc1CCC,0.10132698
CN(C)CCN1C(=NC[C@@H]1c1ccccc1C1CC1)N,0.1098466
CN(C)CCN1C(=NC[C@H]1c1ccccc1C1CC1)N,0.1098466
CCOc1cc(C=O)cc(C2CC2)c1C1CCC1,0.055503137
CC1(OCC(=O)O)CN(Cc2ccccc2C2CC2)C1,0.07885238
CC(C)Oc1cc(C2CCC2)c(C2CC2)cc1C=O,0.057531428
CCCN1CC[C@@H](CNC)[C@H]1c1ccccc1C1CC1,0.074859045
CCCN1CC[C@@H](CNC)[C@@H]1c1ccccc1C1CC1,0.074859045
CCCN1CC[C@H](CNC)[C@H]1c1ccccc1C1CC1,0.074859045
CCCN1CC[C@H](CNC)[C@@H]1c1ccccc1C1CC1,0.074859045
CCCc1nc(c2ccccc2C2CC2)c(N)n1CC,0.087193534
CCOc1cc(C2CCC2)c(C2CC2)cc1C=O,0.06508392
CC(C)Oc1cc(C2CCCC2)c(C2CC2)cc1C=O,0.05181615
CCNC[C@@H]1CCN(C)[C@H]1c1ccccc1C1CC1,0.12610607
CCNC[C@@H]1CCN(C)[C@@H]1c1ccccc1C1CC1,0.12610607
CCNC[C@H]1CCN(C)[C@@H]1c1ccccc1C1CC1,0.12610607
CCNC[C@H]1CCN(C)[C@H]1c1ccccc1C1CC1,0.12610607
CC(C)(C)N1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.14229804
CC(C)(C)N1CC[C@H](N)[C@@H]1c1ccccc1C1CC1,0.14229804
CC(C)(C)N1CC[C@@H](N)[C@@H]1c1ccccc1C1CC1,0.14229804
CC(C)(C)N1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.14229804
CCN1CC[C@@H](CNC)[C@H]1c1ccccc1C1CC1,0.131948
CCN1CC[C@H](CNC)[C@@H]1c1ccccc1C1CC1,0.131948
CCN1CC[C@H](CNC)[C@H]1c1ccccc1C1CC1,0.131948
CCN1CC[C@@H](CNC)[C@@H]1c1ccccc1C1CC1,0.131948
CN[C@H](c1ccccc1C1CCC1)C1C(C)(C)C1(C)C,0.23274674
CN[C@@H](c1ccccc1C1CCC1)C1C(C)(C)C1(C)C,0.23274674
CC(C)c1nc(c2ccccc2C2CC2)c(N)n1C(C)C,0.14165471
CC(C)NC[C@@H]1CCN(C)[C@H]1c1ccccc1C1CC1,0.06457537
CC(C)NC[C@@H]1CCN(C)[C@@H]1c1ccccc1C1CC1,0.06457537
CC(C)NC[C@H]1CCN(C)[C@H]1c1ccccc1C1CC1,0.06457537
CC(C)NC[C@H]1CCN(C)[C@@H]1c1ccccc1C1CC1,0.06457537
CNC[C@@H]1CCN(C(C)C)[C@@H]1c1ccccc1C1CC1,0.04166937
CNC[C@H]1CCN(C(C)C)[C@@H]1c1ccccc1C1CC1,0.04166937
CNC[C@H]1CCN(C(C)C)[C@H]1c1ccccc1C1CC1,0.04166937
CNC[C@@H]1CCN(C(C)C)[C@H]1c1ccccc1C1CC1,0.04166937
CC(C)NC[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.07680914
CC(C)NC[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.07680914
CC(C)NC[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.07680914
CC(C)NC[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.07680914
CC(C)CNC[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.11963142
CC(C)CNC[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.11963142
CC(C)CNC[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.11963142
CC(C)CNC[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.11963142
COCCN1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.14674376
COCCN1CC[C@H](N)[C@@H]1c1ccccc1C1CC1,0.14674376
COCCN1CC[C@@H](N)[C@@H]1c1ccccc1C1CC1,0.14674376
COCCN1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.14674376
CCCNC[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.09589054
CCCNC[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.09589054
CCCNC[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.09589054
CCCNC[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.09589054
CC(C)(C)NC[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.13652779
CC(C)(C)NC[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.13652779
CC(C)(C)NC[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.13652779
CC(C)(C)NC[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.13652779
CCCNC[C@H]1CCN(C)[C@H]1c1ccccc1C1CC1,0.08088384
CCCNC[C@@H]1CCN(C)[C@H]1c1ccccc1C1CC1,0.08088384
CCCNC[C@H]1CCN(C)[C@@H]1c1ccccc1C1CC1,0.08088384
CCCNC[C@@H]1CCN(C)[C@@H]1c1ccccc1C1CC1,0.08088384
CCN[C@@H](c1ccccc1C1CCC1)C1C(C)(C)C1(C)C,0.1610085
CCN[C@H](c1ccccc1C1CCC1)C1C(C)(C)C1(C)C,0.1610085
CCOC(=O)c1cc(OCC)c(C2CCC2)c(C2CC2)c1,0.06258552
COCCNC[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.17618814
COCCNC[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.17618814
COCCNC[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.17618814
COCCNC[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.17618807
