SMILES,LYN
CCCN[C@H](c1ccccc1C1CCC1)[C@H]1C[C@H]1C,0.104186825
CCCN[C@H](c1ccccc1C1CCC1)[C@H]1C[C@@H]1C,0.104186825
CCCN[C@H](c1ccccc1C1CCC1)[C@@H]1C[C@H]1C,0.104186825
C[C@@H]1CN[C@@H](c2ccccc2C2CC2)C1,0.19039786
C[C@H]1CN[C@@H](c2ccccc2C2CC2)C1,0.19039786
C[C@@H]1CN[C@H](c2ccccc2C2CC2)C1,0.19039786
C[C@H]1CN[C@H](c2ccccc2C2CC2)C1,0.19039786
CCCN[C@@H](c1ccccc1C1CCC1)C1(C)CC1,0.09908752
CCCN[C@H](c1ccccc1C1CCC1)C1(C)CC1,0.09908752
NS(=O)(=O)c1c(C(F)(F)F)ccc(C2CC2)c1c1nn[nH]n1,0.10420217
CC(C)Cc1onc(c2ccccc2C2CC2)c1C(=O)O,0.10818827
CCOc1cc(C=O)cc(C2CC2)c1C1CCCC1,0.16766147
C[C@@]1(C(=O)N)C[N@H+](Cc2ccccc2C2CC2)C1,0.14040133
CC(C)CN1C(=NC[C@H]1c1ccccc1C1CC1)N,0.1655206
CC(C)CN1C(=NC[C@@H]1c1ccccc1C1CC1)N,0.1655206
CC(C)N1CC[C@@H](CN)[C@H]1c1ccccc1C1CC1,0.21590683
CC(C)N1CC[C@H](CN)[C@@H]1c1ccccc1C1CC1,0.21590683
CC(C)N1CC[C@H](CN)[C@H]1c1ccccc1C1CC1,0.21590683
CC(C)N1CC[C@@H](CN)[C@@H]1c1ccccc1C1CC1,0.21590683
CCn1c(N)c(c2ccccc2C2CC2)nc1C(C)C,0.15569703
CCN1CC[C@H](CN)[C@H]1c1ccccc1C1CC1,0.20305222
CCN1CC[C@@H](CN)[C@H]1c1ccccc1C1CC1,0.20305222
CCCCn1c(N)c(c2ccccc2C2CC2)nc1CC,0.15811944
C=CCn1c(N)c(c2ccccc2C2CC2)nc1C(C)C,0.14562486
CCN[C@H](c1ccccc1C1CCC1)[C@H]1C[C@H]1C,0.10712604
CCN[C@H](c1ccccc1C1CCC1)[C@@H]1C[C@H]1C,0.10712604
CCCN1CC[C@H](CN)[C@@H]1c1ccccc1C1CC1,0.214763
CCCN1CC[C@@H](CN)[C@H]1c1ccccc1C1CC1,0.214763
CCCN1CC[C@H](CN)[C@H]1c1ccccc1C1CC1,0.214763
CCCN1CC[C@@H](CN)[C@@H]1c1ccccc1C1CC1,0.214763
NN[C@@H](c1ccccc1C1CCC1)C1CC1,0.15839
NN[C@H](c1ccccc1C1CCC1)C1CC1,0.15839
CC(C)CN1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.15912324
CC(C)CN1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.15912324
CC(C)CN1CC[C@@H](N)[C@@H]1c1ccccc1C1CC1,0.15912324
CC(C)CN1CC[C@H](N)[C@@H]1c1ccccc1C1CC1,0.15912324
CCOc1cc(C2CCC2)c(C2CC2)cc1CO,0.14518073
CC(C)Oc1cc(C2CCCC2)c(C2CC2)cc1CO,0.15444143
C#CCn1c(N)c(c2ccccc2C2CC2)nc1CCC,0.09136231
CN(C)CCN1C(=NC[C@@H]1c1ccccc1C1CC1)N,0.23835883
CN(C)CCN1C(=NC[C@H]1c1ccccc1C1CC1)N,0.23835883
CCOc1cc(C=O)cc(C2CC2)c1C1CCC1,0.16341238
CC1(OCC(=O)O)CN(Cc2ccccc2C2CC2)C1,0.13594644
