SMILES,MERTK
C#CCn1c(N)c(c2ccccc2C2CC2)nc1CC,0.19380622
Cc1nc(c2ccccc2C2CC2)c(N)n1C(C)(C)C,0.13725369
CN1CC[C@@H](CN)[C@H]1c1ccccc1C1CC1,0.23044102
CN1CC[C@H](CN)[C@H]1c1ccccc1C1CC1,0.23044102
CCCn1c(N)c(c2ccccc2C2CC2)nc1CC,0.168472
C=CCn1c(N)c(c2ccccc2C2CC2)nc1CC,0.17961064
CCN1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.1561941
CCN1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.1561941
COCCN1C(=NC[C@H]1c1ccccc1C1CC1)N,0.12559116
COCCN1C(=NC[C@@H]1c1ccccc1C1CC1)N,0.12559116
CC(C)N1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.13856132
CC(C)N1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.13856132
CC1(C)C([C@@H](N)c2ccccc2C2CCC2)C1(C)C,0.11948276
CC1(C)C([C@H](N)c2ccccc2C2CCC2)C1(C)C,0.11948276
C=CCn1c(N)c(c2ccccc2C2CC2)nc1CCC,0.1768632
CC[C@H](C)N1C(=NC[C@H]1c1ccccc1C1CC1)N,0.21957676
CC[C@H](C)N1C(=NC[C@@H]1c1ccccc1C1CC1)N,0.21957676
CC[C@@H](C)N1C(=NC[C@H]1c1ccccc1C1CC1)N,0.21957676
CC[C@@H](C)N1C(=NC[C@@H]1c1ccccc1C1CC1)N,0.21957676
CCCN[C@H](c1ccccc1C1CCC1)[C@@H]1C[C@@H]1C,0.15630631
CCCN[C@H](c1ccccc1C1CCC1)[C@H]1C[C@H]1C,0.15630631
CCCN[C@H](c1ccccc1C1CCC1)[C@H]1C[C@@H]1C,0.15630631
CCCN[C@H](c1ccccc1C1CCC1)[C@@H]1C[C@H]1C,0.15630631
C[C@@H]1CN[C@@H](c2ccccc2C2CC2)C1,0.23289637
C[C@H]1CN[C@@H](c2ccccc2C2CC2)C1,0.23289637
C[C@@H]1CN[C@H](c2ccccc2C2CC2)C1,0.23289637
C[C@H]1CN[C@H](c2ccccc2C2CC2)C1,0.23289637
CCCN[C@@H](c1ccccc1C1CCC1)C1(C)CC1,0.16558807
CCCN[C@H](c1ccccc1C1CCC1)C1(C)CC1,0.16558807
NS(=O)(=O)c1c(C(F)(F)F)ccc(C2CC2)c1c1nn[nH]n1,0.11233998
CC(C)Cc1onc(c2ccccc2C2CC2)c1C(=O)O,0.13675351
CCOc1cc(C=O)cc(C2CC2)c1C1CCCC1,0.23806919
C[C@@]1(C(=O)N)C[N@H+](Cc2ccccc2C2CC2)C1,0.11229286
CC(C)CN1C(=NC[C@H]1c1ccccc1C1CC1)N,0.16970518
CC(C)CN1C(=NC[C@@H]1c1ccccc1C1CC1)N,0.16970518
CC(C)N1CC[C@@H](CN)[C@H]1c1ccccc1C1CC1,0.16420159
CC(C)N1CC[C@H](CN)[C@@H]1c1ccccc1C1CC1,0.16420159
CC(C)N1CC[C@H](CN)[C@H]1c1ccccc1C1CC1,0.16420159
CC(C)N1CC[C@@H](CN)[C@@H]1c1ccccc1C1CC1,0.16420159
CCn1c(N)c(c2ccccc2C2CC2)nc1C(C)C,0.26952028
CCN1CC[C@H](CN)[C@H]1c1ccccc1C1CC1,0.17371827
CCN1CC[C@@H](CN)[C@H]1c1ccccc1C1CC1,0.17371827
CCCCn1c(N)c(c2ccccc2C2CC2)nc1CC,0.2902662
C=CCn1c(N)c(c2ccccc2C2CC2)nc1C(C)C,0.25878727
CCN[C@H](c1ccccc1C1CCC1)[C@H]1C[C@H]1C,0.105564974
CCN[C@H](c1ccccc1C1CCC1)[C@@H]1C[C@H]1C,0.105564974
CCCN1CC[C@H](CN)[C@@H]1c1ccccc1C1CC1,0.14395392
CCCN1CC[C@@H](CN)[C@H]1c1ccccc1C1CC1,0.14395392
CCCN1CC[C@H](CN)[C@H]1c1ccccc1C1CC1,0.14395392
CCCN1CC[C@@H](CN)[C@@H]1c1ccccc1C1CC1,0.14395392
NN[C@@H](c1ccccc1C1CCC1)C1CC1,0.15987557
NN[C@H](c1ccccc1C1CCC1)C1CC1,0.15987557
CC(C)CN1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.14732301
CC(C)CN1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.14732301
CC(C)CN1CC[C@@H](N)[C@@H]1c1ccccc1C1CC1,0.14732301
CC(C)CN1CC[C@H](N)[C@@H]1c1ccccc1C1CC1,0.14732301
CCOc1cc(C2CCC2)c(C2CC2)cc1CO,0.18272705
CC(C)Oc1cc(C2CCCC2)c(C2CC2)cc1CO,0.1483681
C#CCn1c(N)c(c2ccccc2C2CC2)nc1CCC,0.19089212
CN(C)CCN1C(=NC[C@@H]1c1ccccc1C1CC1)N,0.14589567
CN(C)CCN1C(=NC[C@H]1c1ccccc1C1CC1)N,0.14589567
CCOc1cc(C=O)cc(C2CC2)c1C1CCC1,0.23251995
CC1(OCC(=O)O)CN(Cc2ccccc2C2CC2)C1,0.13799194
CC(C)Oc1cc(C2CCC2)c(C2CC2)cc1C=O,0.201632
CCCN1CC[C@@H](CNC)[C@H]1c1ccccc1C1CC1,0.124458045
CCCN1CC[C@@H](CNC)[C@@H]1c1ccccc1C1CC1,0.124458045
CCCN1CC[C@H](CNC)[C@H]1c1ccccc1C1CC1,0.124458045
CCCN1CC[C@H](CNC)[C@@H]1c1ccccc1C1CC1,0.124458045
CCCc1nc(c2ccccc2C2CC2)c(N)n1CC,0.16440764
CCOc1cc(C2CCC2)c(C2CC2)cc1C=O,0.24623816
CC(C)Oc1cc(C2CCCC2)c(C2CC2)cc1C=O,0.20664258
CCNC[C@@H]1CCN(C)[C@H]1c1ccccc1C1CC1,0.1313885
CCNC[C@@H]1CCN(C)[C@@H]1c1ccccc1C1CC1,0.1313885
CCNC[C@H]1CCN(C)[C@@H]1c1ccccc1C1CC1,0.1313885
CCNC[C@H]1CCN(C)[C@H]1c1ccccc1C1CC1,0.1313885
CC(C)(C)N1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.15402459
CC(C)(C)N1CC[C@H](N)[C@@H]1c1ccccc1C1CC1,0.15402459
CC(C)(C)N1CC[C@@H](N)[C@@H]1c1ccccc1C1CC1,0.15402459
CC(C)(C)N1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.15402459
CCN1CC[C@@H](CNC)[C@H]1c1ccccc1C1CC1,0.15090202
CCN1CC[C@H](CNC)[C@@H]1c1ccccc1C1CC1,0.15090202
CCN1CC[C@H](CNC)[C@H]1c1ccccc1C1CC1,0.15090202
CCN1CC[C@@H](CNC)[C@@H]1c1ccccc1C1CC1,0.15090202
CN[C@H](c1ccccc1C1CCC1)C1C(C)(C)C1(C)C,0.15178844
CN[C@@H](c1ccccc1C1CCC1)C1C(C)(C)C1(C)C,0.15178844
CC(C)c1nc(c2ccccc2C2CC2)c(N)n1C(C)C,0.21842584
